# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2031 新光鋼|鋼鐵工業|-26 -15 -9|66 75 -25 -24|0.5 21|12 -16 -1 -6 15
2033 佳大|鋼鐵工業|14 3 3|84 84 -1 43|0.6 9|2 5 0 -21 -23
2034 允強|鋼鐵工業|32 10 15|73 77 -19 -21|0.4 12|6 -15 0 17 -19
2049 上銀|電機機械|12 7 7|94 94 41 43|2.2 3166|31 4 2 114 -6
2059 川湖|電子零組|66 62 -9|92 92 38 8|1.0 1558|19 8 2 -4 -4
2062 橋椿|居家生活|-30 -21 -31|78 78 -20 20|0.4 59|11 -4 -1 -3 13
2066 世德|電機機械|-14 3 2|62 66 -12 -32|0.6 15|12 -7 0 -1 4
2070 精湛|電機機械|3 19 -18|62 62 -34 25|0.2 46|0 -2 0 -8 22
2101 南港|橡膠工業|2 296 208|70 83 -10 -11|0.6 75|7 -8 0 0 -0
2102 泰豐|橡膠工業|89 124 122|77 77 -17 -12|0.5 9|6 -19 0 23 7
2103 台橡|橡膠工業|10 23 6|78 78 -20 -16|0.5 22|26 -17 0 2 13
2104 國際中橡|橡膠工業|-11 -14 -14|64 70 -25 -29|1.0 13|11 -8 0 -21 3
2105 正新|橡膠工業|-5 -2 -2|82 91 -8 4|0.4 147|14 2 -9 -6 -8
2106 建大|橡膠工業|-14 -7 -7|77 79 -16 -22|0.4 12|9 -21 0 -4 36
2107 厚生|橡膠工業|25 36 26|91 91 0 1|0.7 6|8 -8 0 -8 11
2108 南帝|橡膠工業|45 42 16|73 76 -6 -27|1.5 15|7 -8 0 37 8
2201 裕隆|汽車工業|-13 -9 -16|70 81 -14 -18|0.8 94|6 -5 0 -5 4
2204 中華|汽車工業|-41 -32 -41|55 61 12 -37|0.4 242|19 3 -7 -17 -12
2206 三陽工業|汽車工業|-8 -6 -9|83 88 -6 -9|0.4 97|10 -13 7 5 7
2207 和泰車|汽車工業|3 3 0|85 85 -9 -1|0.9 108|24 -37 1 -11 8
2208 台船|航運業|-12 -34 -2|72 79 -17 -15|0.7 19|5 -1 0 na -4
2211 長榮鋼|鋼鐵工業|114 84 57|58 64 -22 -33|4.4 539|9 21 -30 194 -65
2227 裕日車|汽車工業|-25 -28 -20|41 57 -38 -43|0.8 6|41 -9 0 na na
2228 劍麟|汽車工業|5 3 -4|79 79 -14 -14|0.2 21|8 -4 0 -3 -17
2230 泰茂|居家生活|320 269 100|58 63 -35 -33|0.4 83|3 1 0 -9 2
2231 為升|汽車工業|78 48 39|79 90 3 -10|0.8 58|7 3 0 -35 -17
2233 宇隆|汽車工業|-2 2 -10|97 97 71 92|3.3 1351|11 -0 0 25 36
2236 百達-KY|汽車工業|-9 -20 -14|89 89 7 23|0.4 47|63 -3 0 -7 -5
2241 艾姆勒|汽車工業|-41 -41 -26|56 74 -7 -23|0.5 12|8 5 0 -0 -4
2243 宏旭-KY|汽車工業|-44 -57 -147|54 54 -41 -8|0.3 6|29 -3 0 2 -0
2247 汎德永業|汽車工業|70 37 25|89 99 3 0|0.9 11|5 16 0 4 -24
2250 IKKA-KY|汽車工業|-15 -9 -12|92 92 36 28|2.9 102|7 1 0 157 -18
2254 巨鎧精密-創|汽車工業|-1 -39 -86|83 83 6 -2|1.3 18|25 0 0 0 0
2258 鴻華先進-創|汽車工業|367 538 -488|85 91 -9 -8|0.9 11|0 -9 0 na na
2301 光寶科|電腦及週|1 -4 5|85 92 -0 -5|0.6 546|26 10 -18 -3 -25
2302 麗正|半導體業|58 37 34|90 90 4 -2|0.6 13|2 6 0 -12 1
2303 聯電|半導體業|7 6 4|76 78 -17 -21|0.6 2431|25 -9 5 -7 -5
2305 全友|電腦及週|-20 15 -25|49 57 -30 -38|2.6 7|2 -3 0 6 0
2308 台達電|電子零組|9 9 6|96 96 12 4|0.7 2822|66 15 4 -34 -19
2312 金寶|其他電子|4 12 13|77 77 18 9|0.2 623|17 -5 0 -1 18
2313 華通|電子零組|-3 -7 -16|77 77 6 -20|0.8 1665|16 3 3 -4 13
2314 台揚|通信網路|7 -23 26|96 96 31 15|3.2 141|2 -2 0 na na
2316 楠梓電|電子零組|-5 1 6|78 78 -15 -15|0.3 41|29 -11 0 0 32
2317 鴻海|其他電子|3 8 0|81 81 -8 -19|0.5 9392|37 -18 -9 1 4
2323 中環|光電業|-5 -1 -2|75 78 -17 -23|0.7 30|10 -4 -0 -1 1
2324 仁寶|電腦及週|-6 -3 0|88 91 4 3|1.0 640|45 8 -12 -8 18
2327 國巨*|電子零組|7 11 -2|67 67 -14 -29|0.7 915|51 -16 -0 -4 -16
2328 廣宇|電子零組|-22 -15 -0|97 97 17 7|3.3 344|14 -3 -0 41 77
2329 華泰|半導體業|-13 -17 -20|42 61 -13 -39|0.2 59|7 12 -0 -3 -10
2330 台積電|半導體業|34 34 5|98 98 6 4|0.7 33498|74 4 0 -2 -36
2331 精英|電腦及週|-10 -4 8|58 65 -12 -36|0.7 25|8 -2 0 -6 -13
2332 友訊|通信網路|-10 -9 2|88 88 27 26|2.4 421|16 -0 -0 47 125
2337 旺宏|半導體業|8 4 12|61 66 -26 -31|0.8 151|13 -18 -1 0 7
2338 光罩|半導體業|1 -4 -10|59 59 -20 -38|0.6 47|6 3 -12 14 -3
2340 台亞|半導體業|10 6 -5|62 67 -24 -33|1.0 31|11 1 0 -6 -3
2342 茂矽|半導體業|75 54 35|86 86 -5 -7|0.5 16|8 -4 0 -0 -3
