key,WF,p5_geo
nofilt|grid|g_tp0.8_tr0.3_ab0.15_tdnone,-0.0044,-0.0043999999999999595
nofilt|grid|g_tpnone_tr0.3_ab0.15_td50,-0.0049,-0.0049000000000000155
nofilt|rgxtdx|ev_v2_thesis_inst_rgx_tdx,-0.0067,-0.006700000000000039
role40|grid|g_tp0.4_trnone_abnone_td50,-0.0075,-0.007499999999999951
role40|grid|g_tp0.4_tr0.3_abnone_tdnone,-0.0076,-0.007600000000000051
role20|grid|g_tp0.4_tr0.3_ab0.15_tdnone,-0.0076,-0.007600000000000051
role40|grid|g_tp0.8_tr0.3_ab0.15_tdnone,-0.0104,-0.010399999999999965
role20|grid|g_tp0.4_trnone_ab0.15_tdnone,-0.0108,-0.010800000000000032
role20|grid|g_tp0.8_tr0.3_abnone_tdnone,-0.0113,-0.011299999999999977
role20|grid|g_tp0.4_trnone_abnone_tdnone,-0.0124,-0.012399999999999967
role20|grid|g_tp0.6_tr0.3_ab0.15_td50,-0.0151,-0.015100000000000002
nofilt|grid|g_tp0.4_tr0.3_ab0.15_tdnone,-0.0154,-0.01539999999999997
role40|grid|g_tpnone_tr0.3_abnone_td50,-0.0156,-0.015599999999999947
role20|grid|g_tp0.6_tr0.3_abnone_td50,-0.0162,-0.016199999999999992
role20|grid|g_tp0.8_trnone_abnone_td50,-0.0167,-0.016700000000000048
nofilt|grid|g_tp0.6_trnone_ab0.15_td50,-0.0178,-0.017800000000000038
role20|grid|g_tp0.6_trnone_ab0.15_tdnone,-0.0179,-0.017900000000000027
nofilt|grid|g_tp0.6_tr0.3_abnone_td50,-0.0182,-0.018199999999999994
role40|grid|g_tp0.6_tr0.3_abnone_td50,-0.0182,-0.018199999999999994
role20|grid|g_tp0.6_trnone_ab0.15_td50,-0.0183,-0.018299999999999983
nofilt|grid|g_tp0.6_trnone_abnone_tdnone,-0.0189,-0.018900000000000028
role40|grid|g_tp0.8_tr0.3_abnone_tdnone,-0.0193,-0.019299999999999984
role20|grid|g_tpnone_tr0.3_abnone_td50,-0.0193,-0.019299999999999984
role20|grid|g_tp0.8_tr0.3_abnone_td50,-0.0238,-0.023800000000000043
role20|grid|g_tp0.6_trnone_abnone_tdnone,-0.0242,-0.0242
role40|grid|g_tp0.8_trnone_abnone_td50,-0.0259,-0.025900000000000034
role40|grid|g_tp0.4_trnone_abnone_tdnone,-0.0268,-0.026800000000000046
role40|grid|g_tp0.6_trnone_abnone_tdnone,-0.0275,-0.02749999999999997
role40|grid|g_tp0.6_trnone_ab0.15_tdnone,-0.029,-0.029000000000000026
role40|grid|g_tp0.6_trnone_abnone_td50,-0.0325,-0.03249999999999997
nofilt|grid|g_tp0.6_tr0.3_ab0.15_tdnone,-0.0327,-0.03269999999999995
role40|grid|g_tp0.6_trnone_ab0.15_td50,-0.033,-0.03300000000000003
role20|grid|g_tpnone_tr0.3_ab0.15_td50,-0.0332,-0.03320000000000001
nofilt|grid|g_tp0.6_tr0.3_ab0.15_td50,-0.036,-0.03600000000000003
nofilt|grid|g_tp0.8_tr0.3_abnone_tdnone,-0.0365,-0.03649999999999998
role40|grid|g_tp0.4_tr0.3_ab0.15_tdnone,-0.042,-0.04200000000000004
role40|grid|g_tp0.8_tr0.3_abnone_td50,-0.0434,-0.043399999999999994
nofilt|grid|g_tp0.8_tr0.3_ab0.15_td50,-0.0444,-0.044399999999999995
role40|grid|g_tp0.6_tr0.3_ab0.15_td50,-0.048,-0.04800000000000004
role20|grid|g_tp0.6_tr0.3_ab0.15_tdnone,-0.0586,-0.058599999999999985
role40|grid|g_tp0.6_tr0.3_ab0.15_tdnone,-0.0609,-0.060899999999999954
nofilt|grid|g_tp0.6_tr0.3_abnone_tdnone,-0.0637,-0.06369999999999998
role40|grid|g_tp0.4_trnone_ab0.15_tdnone,-0.0644,-0.06440000000000001
role20|grid|g_tp0.6_tr0.3_abnone_tdnone,-0.0705,-0.07050000000000001
role40|grid|g_tp0.6_tr0.3_abnone_tdnone,-0.0725,-0.07250000000000001
nofilt|grid|g_tpnone_trnone_abnone_td50,-0.0754,-0.07540000000000002
nofilt|grid|g_tpnone_trnone_abnone_tdnone,-0.0769,-0.07689999999999997
nofilt|grid|g_tpnone_trnone_ab0.15_td50,-0.0784,-0.07840000000000003
nofilt|grid|g_tpnone_trnone_ab0.15_tdnone,-0.0796,-0.0796
role40|grid|g_tpnone_trnone_abnone_tdnone,-0.0856,-0.08560000000000001
role20|grid|g_tpnone_trnone_ab0.15_td50,-0.0862,-0.08620000000000005
role40|grid|g_tpnone_trnone_abnone_td50,-0.0877,-0.0877
role20|grid|g_tpnone_trnone_abnone_td50,-0.0893,-0.08930000000000005
role20|grid|g_tpnone_trnone_ab0.15_tdnone,-0.0935,-0.09350000000000003
role40|grid|g_tpnone_trnone_ab0.15_td50,-0.104,-0.10399999999999998
role40|grid|g_tpnone_trnone_ab0.15_tdnone,-0.1062,-0.10619999999999996
role20|grid|g_tpnone_trnone_abnone_tdnone,-0.1082,-0.10819999999999996
