"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"2365","昆盈",40.26,960.46,177.99,169.38,65.55,5.95,61.34,37.01,9.86,22.13,1.38,11.25,18.67,25.79,41.48,7.92,3.51,30.97,123.93,9.06
"2367","燿華",39.64,175.80,163.99,140.37,16.31,4.22,86.49,13.18,27.69,2.27,0.92,9.90,15.64,28.42,30.15,9.57,2.58,47.26,123.19,9.89
"2368","金像電",36.83,241.61,170.40,150.38,29.32,2.93,124.57,15.08,24.20,3.53,0.99,10.31,16.13,28.41,27.00,9.74,2.51,51.25,132.99,10.93
"2369","菱生",32.00,182.52,157.05,132.17,6.21,4.91,74.33,12.84,28.42,1.96,0.80,3.32,4.01,9.93,7.26,3.52,0.61,59.05,82.09,9.63
"2371","大同",54.25,1622.85,100.72,70.83,0.00,2.93,124.57,4.21,86.69,10.04,0.40,-8.71,-19.67,-4.76,-18.87,-23.59,-1.97,-9.18,-46.80,-2.69
"2373","震旦行",30.37,1140.00,124.63,89.92,12.34,7.94,45.96,5.54,65.88,11.00,0.80,7.93,11.36,10.34,18.02,9.79,1.76,120.70,172.51,12.69
"2374","佳能",42.02,507.22,174.72,168.10,56.47,10.06,36.28,112.96,3.23,19.38,2.62,9.09,18.14,27.98,28.57,3.62,2.50,56.45,73.65,13.52
"2375","凱美",28.54,1025.07,139.23,131.23,-15.15,1.23,296.74,7.14,51.12,1.01,0.09,-7.78,-11.28,-3.38,-13.31,-92.08,-1.36,-0.16,1.45,-0.02
"2376","技嘉",31.45,789.25,201.67,146.45,4.24,8.73,41.80,5.16,70.73,16.22,1.59,0.86,1.05,11.79,2.17,0.45,0.29,26.21,36.67,0.79
"2377","微星",49.43,788.57,146.10,85.61,37131.00,6.92,52.74,5.82,62.71,27.31,1.90,3.18,6.02,8.39,15.90,1.67,1.42,1.75,60.78,0.00
"2379","瑞昱",9.61,954.69,635.21,567.06,"*****",5.94,61.44,4.82,75.72,5.99,0.58,12.56,13.97,33.33,32.86,21.83,3.25,124.86,157.43,6.74
"2380","虹光",16.05,914.59,324.34,232.95,1392.63,4.23,86.28,6.49,56.24,9.45,0.91,7.12,8.35,13.50,16.08,7.87,1.63,47.45,116.13,0.00
"2382","廣達",58.15,1000.22,141.80,137.63,26.40,6.16,59.25,51.65,7.06,63.76,2.67,7.97,18.21,25.44,46.08,2.80,3.71,4.38,97.76,-5.85
"2383","台光電",45.86,227.49,150.80,114.61,16.86,3.58,101.95,7.00,52.14,2.22,0.69,8.49,15.37,9.53,20.73,10.28,1.78,10.58,34.28,3.22
"2385","群光",36.36,1948.42,123.09,87.97,16.42,8.84,41.28,21.07,17.32,60.06,2.13,16.37,27.86,31.07,37.79,7.51,3.82,61.55,223.94,26.85
"2387","精元",13.95,737.80,226.98,199.33,596.37,3.51,103.98,6.24,58.49,3.42,0.42,16.41,20.25,10.19,28.47,39.15,2.67,0.92,135.55,-2.70
"2388","威盛",41.25,891.26,220.08,153.64,-11.51,6.87,53.12,2.81,129.89,11.59,0.86,-4.24,-7.63,0.84,-7.20,-5.39,-0.90,3.01,173.79,1.28
"2390","云辰",11.58,1158.82,159.32,145.12,21.74,6.86,53.20,61.73,5.91,4.35,0.34,5.53,6.27,1.88,7.28,15.88,0.74,92.37,90.80,8.25
"2392","正崴",50.95,576.08,186.65,141.13,24.19,4.49,81.29,8.36,43.66,13.69,1.56,9.29,8.91,76.89,85.17,5.72,6.57,19.23,58.00,10.15
"2393","億光",34.00,744.00,293.00,269.00,327.00,3.90,93.58,10.06,36.28,6.09,0.63,16.81,24.00,54.00,69.00,24.00,5.91,97.00,146.00,12.00
"2395","研華",11.79,859.04,465.98,377.14,"NA",4.80,76.04,6.18,59.06,6.51,0.67,19.08,22.02,43.07,70.29,27.44,6.30,158.21,86.97,2.11
"2397","友通",15.00,1785.00,599.00,517.00,3788.00,5.14,71.01,4.55,80.21,17.05,0.82,16.38,20.00,56.00,64.00,20.00,5.09,55.00,172.00,0.00
"2399","映泰",44.54,1435.79,199.51,156.56,134989.12,4.71,77.49,10.96,33.30,53.04,2.30,7.62,14.97,23.62,20.00,3.31,1.63,14.16,111.90,10.20
"2401","凌陽",14.89,1329.28,398.77,318.25,191.28,6.81,53.59,5.02,72.70,13.06,0.84,14.63,17.81,21.25,30.48,17.41,2.94,161.20,113.53,12.21
"2402","毅嘉",29.37,504.48,185.98,158.11,144.37,3.68,99.18,6.02,60.63,5.09,0.71,10.92,17.56,31.06,34.97,15.40,3.33,56.89,32.64,19.50
"2404","漢唐",46.06,1628.50,184.31,118.82,0.00,4.45,82.02,0.22,1659.09,29.08,0.92,8.52,15.09,26.49,33.00,8.69,2.57,20.20,62.75,5.73
"2405","浩鑫",16.00,263.94,261.45,218.59,149.36,3.46,105.49,5.46,66.84,1.62,0.51,0.32,0.40,0.97,0.36,0.67,0.05,79.30,225.38,10.03
"2406","國碩",30.69,165.01,235.79,206.34,-8.00,2.71,134.68,6.23,58.58,0.85,0.44,-6.53,-10.70,-12.60,-12.24,-16.23,-1.22,72.46,63.13,6.11
"2408","南亞科",43.05,364.19,458.92,403.14,29.23,6.16,59.25,9.72,37.55,2.29,0.55,15.19,25.84,36.43,51.64,23.16,4.55,148.51,172.74,11.63
"2409","友達",58.00,113.00,95.00,69.00,4.00,5.81,62.82,9.90,36.86,0.82,0.53,3.00,5.00,17.00,13.00,3.00,1.41,40.00,57.00,11.00
"2412","中華電",13.23,116.87,193.09,187.32,14157.02,14.50,25.17,10.58,34.49,0.54,0.40,9.76,11.13,59.19,59.62,24.35,4.63,195.70,135.62,7.49
"2413","環科",49.96,429.03,156.15,87.46,3.20,3.94,92.63,2.91,125.42,3.77,0.68,3.80,4.73,10.90,9.67,3.52,0.76,2.48,49.01,0.85
"2414","精技",54.91,237.19,147.17,107.82,6.98,5.30,68.86,12.36,29.53,11.13,2.46,4.72,9.00,12.19,11.77,1.71,1.20,8.51,-101.00,4.59
"2415","錩新",51.47,1035.62,148.38,122.61,4.69,2.63,138.78,7.50,48.66,5.41,0.41,2.29,3.33,7.76,9.78,3.97,0.50,1.98,22.78,"NA"
"2417","圓剛",26.43,390.26,265.70,231.61,68.40,5.60,65.17,4.84,75.41,3.78,0.71,13.60,18.64,29.60,28.67,18.13,3.05,45.49,116.99,7.05
"2419","仲琦",56.16,359.87,172.19,118.38,111.67,2.03,179.80,4.76,76.68,3.77,0.72,1.22,0.29,10.41,0.51,0.18,0.04,7.07,46.19,2.63
"2420","新巨",34.22,309.25,214.52,173.23,"NA",4.09,89.24,6.13,59.54,4.97,1.09,12.47,19.18,27.63,32.81,10.86,2.78,15.17,122.68,1.20
"2421","建準",41.81,325.62,182.75,116.06,1400.00,3.92,93.11,4.83,75.56,5.32,1.09,6.13,10.52,3.62,12.60,5.26,1.35,9.59,72.82,17.77
"2423","固緯",35.68,225.80,153.49,86.41,29.42,4.53,80.57,3.36,108.63,1.93,0.65,10.51,16.65,25.92,28.66,15.61,2.42,96.57,89.22,12.16
"2424","隴華",42.53,661.18,142.47,139.48,-47.72,3.67,99.45,8.55,42.69,10.21,0.89,-13.85,-25.35,-4.08,-15.99,-16.40,-1.45,33.18,0.00,0.00
"2425","承啟",45.75,5088.08,178.15,124.49,36.83,4.05,90.12,5.77,63.25,154.59,1.65,4.23,6.71,4.44,4.65,2.12,0.55,3.85,165.69,3.02
"2426","鼎元",27.66,310.05,215.00,144.00,21.32,5.12,71.28,5.61,65.06,5.40,1.28,20.47,28.03,26.56,36.45,29.83,1.70,37.66,85.31,8.33
"2427","三商電",53.62,480.85,182.64,67.77,113.89,3.51,103.98,2.45,148.97,4.19,3.66,0.73,0.13,6.93,0.34,0.14,0.02,0.00,0.00,0.00
"2428","興勤",25.81,581.21,179.66,148.19,118.70,3.19,114.42,6.88,53.05,5.15,0.66,11.34,16.00,26.85,31.02,16.17,2.55,52.31,151.21,10.40
"2429","銘旺科",88.10,94.02,83.13,61.17,-9.27,2.79,130.82,5.11,71.42,2.57,0.84,-27.69,-169.94,-8.22,-32.66,-42.81,-5.69,"NA","NA","NA"
"2430","燦坤",71.46,137.60,95.94,60.64,-35.78,30.65,11.90,7.77,46.97,11.12,2.32,-13.27,-39.69,46.57,-87.89,-6.58,-7.88,21.47,105.80,25.28
