# 2024-03 月中(2024-03-11,上月月報甫公佈)全池量化快照(1266 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2892 第一金|金融保險|-4 2 5|97 97 -1 2|1.1 355|23 -8 1 15 154
2897 王道銀行|金融保險|2 -11 -16|100 100 3 3|2.6 47|6 9 -0 -15 5
2903 遠百|貿易百貨|13 -7 -8|98 98 3 7|2.0 40|11 -1 -1 -54 55
2905 三商|貿易百貨|1860 601 433|76 90 -9 -7|1.0 6|4 -12 0 8 6
2906 高林|貿易百貨|11 15 19|92 92 10 10|0.8 30|5 0 0 -0 -25
2912 統一超|貿易百貨|12 8 -1|95 98 -1 -0|1.0 208|26 -8 0 2 -3
2913 農林|貿易百貨|-4 -7 -9|67 88 -6 -9|0.7 40|6 -1 0 -1 -2
2915 潤泰全|貿易百貨|30 3 4|93 94 -5 0|1.1 115|7 -5 0 5 24
3002 歐格|電腦及週|-5 -6 7|85 85 11 18|0.6 14|2 -0 0 8 46
3003 健和興|電子零組|-9 -1 11|78 92 -5 -4|1.3 25|3 5 -0 -6 -10
3004 豐達科|鋼鐵工業|9 23 -16|81 92 7 -3|1.5 83|4 9 0 -22 -48
3005 神基|電腦及週|-5 11 -3|92 92 19 67|1.7 2171|21 -9 3 93 -1
3006 晶豪科|半導體業|2 20 28|83 83 -2 7|0.9 595|9 -1 -1 6 -12
3008 大立光|光電業|32 29 22|88 88 6 22|0.5 2032|37 1 -1 -33 11
3010 華立|電子通路|3 17 18|97 97 12 17|2.4 227|14 2 0 196 42
3011 今皓|電子零組|-13 7 17|74 80 -17 -15|1.9 25|3 3 0 na na
3013 晟銘電|電腦及週|-43 -20 -18|95 95 20 36|4.7 458|11 5 0 66 -35
3014 聯陽|半導體業|6 24 -9|92 92 4 6|1.3 329|32 7 0 24 -23
3015 全漢|電子零組|-26 -11 -4|97 97 9 14|2.2 22|15 19 -0 27 -6
3016 嘉晶|半導體業|-1 -12 13|84 95 -3 1|4.3 30|2 7 0 1 2
3017 奇鋐|電腦及週|7 44 27|93 93 105 71|1.6 7810|47 4 -0 -2 -41
3019 亞光|光電業|-4 14 15|88 88 -4 -1|0.6 52|12 -11 2 -3 8
3022 威強電|電腦及週|-32 -19 -15|81 92 -6 -2|1.8 73|16 -5 1 5 -2
3023 信邦|電子零組|-12 -10 -13|73 82 -7 -16|1.2 229|52 -18 0 49 4
3024 憶聲|光電業|-2 15 11|90 90 -1 8|0.7 32|6 -5 0 2 5
3025 星通|通信網路|-53 238 157|82 82 17 37|0.5 473|11 1 0 -10 -15
3026 禾伸堂|電子零組|-42 -14 -2|95 95 -5 -4|1.5 14|11 -5 0 -7 4
3027 盛達|通信網路|15 92 6|79 94 2 5|1.9 109|2 3 0 9 -19
3028 增你強|電子通路|-11 13 18|96 96 6 12|1.4 32|9 17 -0 1 8
3029 零壹|資訊服務|-8 -0 -6|96 96 12 22|1.2 182|9 -1 0 -20 -2
3030 德律|其他電子|44 77 87|98 98 22 24|1.4 68|19 15 -0 -22 -14
3031 佰鴻|光電業|-52 4 23|88 94 5 10|0.6 7|2 10 0 11 -14
3032 偉訓|電子零組|8 28 -3|89 89 8 24|0.9 483|4 -1 -0 -38 -15
3033 威健|電子通路|-27 21 16|92 93 9 4|0.8 123|11 16 -0 -29 -13
3034 聯詠|半導體業|-7 9 -8|96 96 16 36|1.5 4074|47 -12 7 74 26
3035 智原|半導體業|-24 -17 -5|80 80 -0 -2|0.6 5529|27 -4 -4 19 35
3036 文曄|電子通路|62 39 25|90 90 37 122|0.6 2269|22 8 -3 -15 75
3037 欣興|電子零組|3 -9 15|87 90 3 -4|0.9 2677|49 6 0 -9 17
3038 全台|光電業|-21 -13 -4|81 91 7 -0|0.8 86|8 -4 0 -33 24
3041 揚智|半導體業|-40 5 36|85 85 -6 55|0.5 283|9 0 0 1 -11
3042 晶技|電子零組|-1 10 20|99 99 2 2|3.0 183|21 6 1 202 -31
3043 科風|其他電子|-60 -46 -47|48 61 -19 -45|1.0 6|1 3 0 -8 -6
3044 健鼎|電子零組|-13 6 11|92 92 4 4|1.9 1305|37 -7 3 75 48
3045 台灣大|通信網路|11 12 4|98 98 -2 6|1.1 280|14 -8 -1 -5 19
3046 建碁|電腦及週|-16 81 -2|64 80 -2 -21|0.6 33|2 2 0 10 -6
3047 訊舟|通信網路|-16 -24 3|82 82 2 12|0.7 169|5 1 0 -13 5
3048 益登|電子通路|-20 -1 5|89 93 0 3|1.2 14|3 11 0 -8 -20
