# 2023-08 月中(2023-08-11,上月月報甫公佈)全池量化快照(1150 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1536 和大|汽車工業|-21 -14 -17|69 86 -8 -9|1.0 48|11 -27 -1 -1 61
1537 廣隆|電機機械|-27 -19 -56|99 99 4 3|1.4 14|16 -4 1 96 41
1540 喬福|電機機械|16 37 -39|87 87 8 7|0.3 6|2 1 0 -11 -11
1558 伸興|電機機械|50 16 -4|84 87 2 -8|0.9 10|7 -5 0 2 3
1560 中砂|電機機械|-15 -15 -13|77 83 17 11|0.5 698|9 -3 -0 5 64
1565 精華|生技醫療|-17 -17 -4|80 80 -9 -15|0.9 37|16 -37 -0 -5 -2
1568 倉佑|汽車工業|-41 -21 -3|80 88 2 6|1.2 9|3 0 0 -12 -7
1569 濱川|電腦及週|-26 -28 1|87 94 9 4|1.6 6|2 -4 0 5 5
1580 新麥|電機機械|4 4 3|94 94 12 43|0.9 22|8 -6 0 1 15
1582 信錦|電子零組|-23 -25 2|91 99 6 3|2.3 10|7 -21 0 4 14
1584 精剛|其他|32 46 -13|77 77 -4 24|0.6 111|2 0 -1 -10 5
1587 吉茂|汽車工業|-35 -22 -13|84 84 10 9|1.5 18|21 -1 0 49 141
1589 永冠-KY|電機機械|-24 -16 -28|65 65 -28 -18|0.3 59|11 -12 -3 8 -22
1590 亞德客-KY|電機機械|22 12 4|76 76 -11 -11|1.0 713|76 -8 1 14 -35
1591 駿吉-KY|電機機械|-90 -93 -57|97 97 51 69|1.0 73|16 -1 0 4 33
1598 岱宇|運動休閒|15 9 18|65 65 -18 -32|0.7 12|5 -14 0 17 53
1603 華電|電器電纜|38 38 -6|91 91 31 36|0.8 67|4 1 0 5 10
1604 聲寶|電器電纜|-2 2 7|82 82 2 8|0.5 16|9 -2 1 -43 -1
1605 華新|電器電纜|0 0 -3|68 68 -15 -25|0.7 970|20 -10 -3 6 -19
1608 華榮|電器電纜|-17 -20 -7|85 85 15 37|0.4 69|1 -5 -0 21 35
1609 大亞|電器電纜|-1 -6 0|87 87 16 52|0.5 1003|10 -2 0 -3 18
1611 中電|電器電纜|-10 -17 -2|81 81 -4 26|0.2 25|10 -8 -1 -13 14
1612 宏泰|電器電纜|-1 6 6|88 88 16 39|0.4 76|14 -0 0 2 14
1615 大山|電器電纜|90 30 18|91 91 14 35|1.2 6|1 -2 0 12 100
1616 億泰|電器電纜|13 15 4|90 90 12 35|1.4 7|3 1 0 na na
1618 合機|電器電纜|122 118 40|86 86 39 78|0.4 245|3 -3 -0 -24 187
1701 中化|生技醫療|5 3 -6|68 88 -4 -12|0.6 23|10 12 -1 -14 -37
1702 南僑|食品工業|11 9 1|95 95 -2 8|0.6 21|11 -0 0 20 7
1707 葡萄王|生技醫療|0 -0 -6|89 89 -2 1|1.4 66|19 -8 -0 23 1
1708 東鹼|化學工業|-34 -27 -34|69 79 -1 -12|0.7 49|6 -4 0 1 19
1709 和益|化學工業|-27 -24 -21|90 90 -3 8|1.3 20|4 -1 0 -8 4
1710 東聯|化學工業|53 21 30|92 92 3 17|1.0 71|11 10 -1 1 -17
1711 永光|化學工業|-13 -14 0|88 88 -4 5|0.5 44|7 -3 -0 5 10
1712 興農|化學工業|-28 -27 -22|84 89 1 -2|0.9 27|12 -10 3 14 6
1717 長興|化學工業|-16 -17 -1|87 87 -7 -3|0.9 38|14 -3 -0 -1 2
1720 生達|生技醫療|22 5 -18|87 87 -0 17|1.2 56|6 -9 -0 1 6
1721 三晃|化學工業|-35 -37 -14|75 75 -15 -10|0.5 11|1 -4 0 6 3
1722 台肥|化學工業|-22 57 51|96 96 4 11|1.3 114|12 1 -0 29 -18
1723 中碳|化學工業|-33 -33 -26|97 97 3 6|0.6 37|9 -16 3 11 41
1727 中華化|化學工業|-25 -24 -10|71 71 -18 15|0.4 60|2 -3 0 -2 4
1731 美吾華|生技醫療|-8 3 3|85 85 -6 12|0.4 9|4 4 0 8 46
1733 五鼎|生技醫療|-26 -31 -18|92 92 3 7|0.2 5|5 -14 0 -10 -9
1734 杏輝|生技醫療|16 4 -11|90 90 6 8|0.5 30|7 -18 -0 1 65
1736 喬山|運動休閒|38 40 22|92 96 27 11|0.8 96|8 6 0 8 -33
1737 臺鹽|食品工業|-12 -1 9|96 96 2 6|0.4 10|9 6 0 -36 -16
1752 南光|生技醫療|-3 7 -19|72 72 -14 -1|0.3 57|3 -2 0 1 10
1760 寶齡富錦|生技醫療|-28 -39 -29|55 56 -24 -38|0.5 129|14 8 -1 -26 -9
1762 中化生|生技醫療|-19 -5 -27|67 67 -29 4|0.6 66|10 -5 0 -30 38
1773 勝一|化學工業|-14 -20 -2|89 93 8 2|0.9 33|5 8 1 -12 -26
1783 和康生|生技醫療|15 7 -8|83 83 -2 2|0.4 56|7 -2 -2 -5 24
1784 訊聯|生技醫療|7 21 5|91 91 3 46|2.1 105|8 4 0 3 -24
1785 光洋科|其他電子|-18 -22 6|88 88 6 2|0.7 99|7 -2 0 -3 19
1786 科妍|生技醫療|18 29 1|86 86 17 35|0.5 79|3 -5 0 53 11
1789 神隆|生技醫療|-32 -17 -25|85 85 11 12|0.8 118|4 -4 0 8 88
1795 美時|生技醫療|119 59 1|79 79 -3 -2|0.9 2903|71 -5 0 18 85
1796 金穎生技|食品工業|35 41 11|62 62 -36 31|0.5 10|2 -3 -6 -9 26
1802 台玻|玻璃陶瓷|12 3 12|84 89 13 -8|1.8 581|9 1 0 115 32
1808 潤隆|建材營造|16243 7350 5438|99 99 11 13|3.0 26|3 17 1 6 -3
1809 中釉|玻璃陶瓷|-8 -9 -13|89 89 3 4|0.3 15|3 -4 0 -15 -16
1810 和成|玻璃陶瓷|2 1 10|72 72 -13 7|0.3 37|4 7 0 -4 -22
1815 富喬|電子零組|-48 -36 -11|85 85 13 7|0.7 68|3 -1 0 6 37
1903 士紙|造紙工業|38 11 13|78 78 36 20|0.6 108|12 1 -0 18 7
1904 正隆|造紙工業|-11 -8 2|86 86 -2 9|1.0 136|9 -1 -0 -10 30
1905 華紙|造紙工業|-23 -23 -22|79 79 6 52|0.8 660|4 -0 -0 -5 24
1907 永豐餘|造紙工業|-15 -13 -6|83 83 8 27|0.4 240|11 1 -0 -3 -2
1909 榮成|造紙工業|-5 -10 4|82 82 -4 -14|1.0 34|12 -1 0 -2 10
2002 中鋼|鋼鐵工業|-28 -28 -4|89 89 -2 -9|1.0 627|18 -16 10 -2 -4
2006 東和鋼鐵|鋼鐵工業|-1 2 7|99 99 5 13|1.9 88|16 25 -0 3 -21
2009 第一銅|鋼鐵工業|-25 -18 4|81 81 -2 -13|2.8 58|0 -1 0 9 -2
2010 春源|鋼鐵工業|-1 -11 7|94 94 10 9|0.8 17|8 6 0 11 -14
2014 中鴻|鋼鐵工業|6 -25 9|84 84 7 -14|1.7 215|6 1 2 -0 -1
2015 豐興|鋼鐵工業|-14 -15 0|95 95 2 3|0.8 10|11 10 -5 5 -10
2017 官田鋼|鋼鐵工業|-18 -13 8|86 86 -2 5|1.4 16|1 -2 0 9 -1
2020 美亞|鋼鐵工業|28 42 32|96 96 18 17|1.7 25|3 15 0 60 -2
2023 燁輝|鋼鐵工業|-13 -18 3|88 88 0 -9|1.0 36|6 -1 -0 -19 2
2027 大成鋼|鋼鐵工業|-17 -15 -9|97 97 11 13|0.7 493|16 -11 8 -9 38
2028 威致|鋼鐵工業|-25 -13 0|80 84 -4 -14|0.5 6|0 1 0 2 -30
2029 盛餘|鋼鐵工業|-10 -10 19|96 96 0 2|0.7 7|69 -6 -1 4 40
2030 彰源|鋼鐵工業|-26 -24 -4|81 88 -7 -10|1.6 18|2 -12 0 -5 31
2031 新光鋼|鋼鐵工業|31 9 1|94 94 11 14|1.1 118|17 23 1 -12 -36
2034 允強|鋼鐵工業|-16 -22 -4|92 92 1 -6|0.7 18|7 -22 0 -4 30
2038 海光|鋼鐵工業|-30 -24 -15|80 82 -3 -15|0.6 7|1 4 0 1 -10
2049 上銀|電機機械|-19 -19 -3|76 76 -14 -17|1.0 314|30 -7 -15 9 11
2059 川湖|電子零組|-36 -35 -21|80 80 93 108|1.9 2337|13 -3 7 18 48
2066 世德|電機機械|-8 -3 -19|79 79 -6 1|1.1 30|13 -7 0 -24 -11
2101 南港|橡膠工業|7 2 11|92 92 -3 9|0.4 23|7 4 0 -1 -3
2103 台橡|橡膠工業|-20 -16 -10|84 85 -6 -13|1.0 20|26 -18 -1 -8 22
2104 國際中橡|橡膠工業|-34 -32 -21|88 88 1 -0|0.6 43|12 -3 -0 -11 25
2105 正新|橡膠工業|-6 -4 -4|93 93 0 17|0.6 139|16 9 0 -11 15
2106 建大|橡膠工業|-14 -19 -15|85 99 5 2|0.7 17|6 -16 0 16 10
2107 厚生|橡膠工業|-23 4 30|98 98 4 4|0.9 7|7 10 0 -31 -48
2108 南帝|橡膠工業|-3 -23 14|81 81 -8 -7|0.5 13|8 4 -3 -9 -3
2201 裕隆|汽車工業|-2 7 4|86 86 -1 2|0.4 805|8 -4 -3 7 -0
2204 中華|汽車工業|16 36 17|94 94 16 67|0.6 338|27 10 -11 10 -32
2206 三陽工業|汽車工業|21 33 -0|81 81 31 114|0.8 931|10 -10 0 10 88
2207 和泰車|汽車工業|13 23 6|85 85 -0 19|0.6 146|25 -2 -5 17 -30
2208 台船|航運業|43 30 -3|78 78 -10 4|0.8 59|5 -4 0 -18 -25
2211 長榮鋼|鋼鐵工業|14 7 29|97 97 18 37|1.0 164|6 -36 -0 -6 -38
2221 大甲|其他|-31 -28 -6|88 88 -0 2|1.1 6|2 -12 0 39 -6
2228 劍麟|汽車工業|7 20 1|86 86 12 19|0.6 58|8 -8 0 -16 38
2230 泰茂|居家生活|40 34 24|75 75 19 85|0.5 47|6 -9 0 -4 -6
2231 為升|汽車工業|27 20 0|77 77 -9 -6|0.5 64|8 -15 -4 -1 31
2233 宇隆|汽車工業|-4 -5 -1|88 88 -2 6|0.9 19|4 -2 -6 -26 -18
2236 百達-KY|汽車工業|55 31 10|92 92 62 60|0.3 23|72 -9 0 26 1
2239 英利-KY|汽車工業|1 45 8|78 78 -10 4|0.4 8|77 -14 0 -2 10
2241 艾姆勒|汽車工業|53 41 61|93 93 16 23|1.2 19|24 2 0 20 7
2247 汎德永業|汽車工業|38 39 15|90 90 13 49|0.4 54|6 1 4 -52 -12
2301 光寶科|電腦及週|-15 -14 -6|86 86 74 105|1.4 14338|37 -3 1 -29 122
2302 麗正|半導體業|-14 -6 -13|78 78 -7 7|0.4 10|1 -8 -1 -27 29
2303 聯電|半導體業|-23 -23 -22|89 89 -0 -2|0.6 2045|34 -17 -2 -1 3
2305 全友|電腦及週|-3 19 9|60 78 0 -15|2.3 8|0 -1 0 1 12
2308 台達電|電子零組|5 9 -11|96 96 22 25|0.7 2849|67 1 -3 -11 -27
2312 金寶|其他電子|-18 -11 -23|90 90 25 19|0.5 457|10 -1 -0 10 20
2313 華通|電子零組|-12 -15 -10|89 92 7 5|1.2 411|18 -7 5 1 27
2314 台揚|通信網路|-35 -10 -30|79 80 -11 -8|0.5 33|3 6 -0 -4 na
2316 楠梓電|電子零組|-20 -32 -4|73 73 27 28|2.5 299|27 -0 0 366 147
2317 鴻海|其他電子|-1 -10 -14|97 97 12 13|0.7 3482|40 4 -0 -0 -7
2323 中環|光電業|6 -0 12|84 84 51 65|0.4 307|13 5 0 -22 -44
2324 仁寶|電腦及週|-13 -18 -1|89 89 18 36|0.7 1114|47 -4 -1 37 23
2327 國巨*|電子零組|-15 -16 -11|83 83 -2 -7|0.5 903|46 -7 -0 1 21
2328 廣宇|電子零組|10 5 3|86 86 6 1|0.4 241|15 -8 -0 -3 6
2329 華泰|半導體業|17 4 12|90 90 148 148|0.7 1413|12 -0 -0 21 73
2330 台積電|半導體業|-5 -7 -24|92 92 9 2|0.7 12287|73 -12 -1 4 28
2331 精英|電腦及週|-41 -39 -2|83 83 9 35|0.4 145|14 3 -0 -6 -4
2332 友訊|通信網路|-6 -5 -9|85 85 3 21|0.3 86|14 -7 -0 4 94
2337 旺宏|半導體業|-39 -40 -5|86 88 0 -10|0.5 231|19 -18 8 2 13
2338 光罩|半導體業|-8 -6 -9|74 74 -8 -16|0.6 183|7 -11 -7 9 41
2340 台亞|半導體業|-11 -16 16|87 87 39 36|0.4 492|13 3 0 -25 -8
2342 茂矽|半導體業|-29 -33 -14|75 75 -8 -12|1.0 28|3 -2 -1 -7 -13
2344 華邦電|半導體業|-15 -22 4|91 91 11 20|0.5 705|23 -7 1 14 2
2345 智邦|通信網路|10 7 -16|96 96 32 44|0.7 1217|68 -10 4 20 -30
2347 聯強|電子通路|-3 -8 -2|95 95 -3 -1|0.5 164|29 18 -14 -15 -36
2351 順德|半導體業|-9 -8 -4|73 73 -14 -17|0.5 167|16 -11 -9 7 6
2352 佳世達|電腦及週|-22 -18 -6|76 76 25 59|1.1 1531|15 -5 4 37 95
2353 宏碁|電腦及週|2 -11 13|90 90 28 51|0.8 1205|35 4 -2 57 3
2354 鴻準|其他電子|39 6 10|94 94 9 5|0.8 205|18 -1 -0 27 -13
2355 敬鵬|電子零組|4 -9 -3|97 97 17 18|1.7 94|21 7 0 32 -19
2356 英業達|電腦及週|-11 -1 5|80 80 93 131|1.2 4076|26 3 -0 -27 -22
2357 華碩|電腦及週|2 -5 5|95 95 27 41|1.6 3553|52 10 0 697 -21
2359 所羅門|其他電子|7 -8 -3|86 86 27 50|0.5 248|5 -1 0 -7 47
2360 致茂|其他電子|-36 -20 -35|91 91 42 43|0.9 913|68 -2 1 -22 15
2362 藍天|電腦及週|-13 -13 -18|90 90 6 9|0.3 36|6 -11 -1 -2 -1
2363 矽統|半導體業|-45 -40 -11|100 100 46 45|6.3 125|6 1 -0 212 133
2364 倫飛|電腦及週|6 6 -14|53 69 -26 -31|0.9 15|17 5 0 -1 0
2365 昆盈|電腦及週|-38 -23 11|91 91 7 11|0.6 7|8 -5 0 8 4
2367 燿華|電子零組|-28 -15 -24|68 83 -10 -11|1.8 48|6 -17 -0 -4 17
2368 金像電|電子零組|-2 -16 -16|95 95 88 114|1.1 2811|23 1 -0 9 -13
2369 菱生|半導體業|-1 -6 20|88 88 26 22|0.6 50|15 2 0 -1 -5
2371 大同|電機機械|68 89 32|91 91 36 55|0.5 1260|16 -1 1 -6 4
2374 佳能|光電業|6 -15 -15|79 91 1 -1|0.9 24|5 -7 1 2 40
2375 凱美|電子零組|-22 -24 0|75 75 -13 2|0.7 20|5 -1 -1 -10 -13
2376 技嘉|電腦及週|17 24 27|87 87 112 161|1.3 9844|28 -2 1 32 118
2377 微星|電腦及週|7 -6 12|85 85 16 37|0.9 1197|40 4 4 18 -0
2379 瑞昱|半導體業|-8 -10 8|91 91 6 15|1.2 1374|46 -13 12 3 35
2382 廣達|電腦及週|-33 -21 -22|84 84 121 208|1.5 29464|26 -1 1 55 -12
2383 台光電|電子零組|11 -2 10|91 91 138 111|1.7 4854|30 -7 6 90 -32
2385 群光|電子零組|-22 -17 -8|94 94 9 21|1.3 286|34 -1 9 1 -7
2387 精元|電腦及週|-25 -1 -1|100 100 18 23|1.3 35|12 14 -1 18 -8
2388 威盛|半導體業|101 60 28|73 73 46 48|1.7 1739|13 2 -0 -9 -73
2390 云辰|其他電子|26 24 10|75 90 4 -4|0.8 6|3 -1 0 -2 -5
2392 正崴|電子零組|2 -15 -15|93 93 4 4|0.6 103|12 -26 -1 35 56
2393 億光|光電業|-14 -18 2|94 94 22 39|0.4 82|33 6 0 -37 13
2395 研華|電腦及週|-19 -9 -16|86 86 -1 8|1.1 471|42 -10 -1 11 -19
2397 友通|電腦及週|-18 -4 -3|80 80 3 17|0.7 12|23 -4 1 11 28
2399 映泰|電腦及週|-8 5 16|81 81 45 56|0.3 149|6 3 0 8 -11
2401 凌陽|半導體業|8 -13 20|98 98 33 20|0.9 223|11 0 0 11 -5
2402 毅嘉|電子零組|29 25 -0|98 98 29 96|1.1 676|12 -2 -0 12 11
2404 漢唐|其他電子|17 38 -89|96 96 8 10|1.4 346|32 24 -4 -7 -67
2405 輔信|電腦及週|1 -12 0|85 85 23 14|0.5 147|6 -1 0 -0 47
2406 國碩|光電業|-55 -61 -23|69 76 -12 -18|0.7 15|5 6 0 -9 -1
2408 南亞科|半導體業|-45 -53 8|89 89 8 22|0.4 495|17 -2 -6 14 -4
2409 友達|光電業|22 11 37|90 90 13 16|0.8 815|26 7 -1 -7 -35
2412 中華電|通信網路|2 4 1|96 96 -3 8|0.8 704|17 5 -8 -4 -10
2413 環科|電子零組|-8 -8 -38|69 69 -13 -1|0.5 40|1 -6 0 -9 -19
2414 精技|電子通路|-21 -11 -13|96 96 3 14|1.1 7|5 -2 0 60 30
2415 錩新|電子零組|17 3 7|92 92 30 33|3.1 19|1 -3 0 -13 138
2419 仲琦|通信網路|-46 -26 -51|72 72 48 47|0.4 745|4 0 0 -30 16
2420 新巨|電子零組|-22 -24 -10|96 96 12 23|0.7 40|5 -5 0 53 28
2421 建準|電子零組|-6 -12 -13|90 90 106 215|0.2 1583|27 -2 1 51 42
2423 固緯|其他電子|-8 -5 -10|86 86 2 24|0.9 12|4 -12 0 -6 69
2425 承啟|電腦及週|59 11 20|90 90 94 60|0.9 511|14 0 0 35 65
2426 鼎元|光電業|1 -6 16|84 84 2 5|0.9 19|9 -2 0 -4 -3
2427 三商電|資訊服務|3 -22 -20|75 75 43 95|0.3 104|3 -1 -0 -16 56
2428 興勤|電子零組|-1 -3 -1|95 95 14 16|1.3 122|16 -6 0 11 68
2430 燦坤|電子通路|-8 -10 -0|85 85 -5 -5|2.5 6|5 -4 0 -8 -22
2436 偉詮電|半導體業|27 18 38|91 91 24 22|0.3 240|7 -1 -0 -22 -8
2438 翔耀|光電業|-14 -30 20|84 84 1 62|0.7 6|1 -2 0 na na
2439 美律|通信網路|-27 -10 -17|89 89 0 4|0.6 57|14 -17 0 -2 59
2441 超豐|半導體業|-8 -18 14|98 98 15 18|1.1 100|14 3 -1 -1 -12
2442 新美齊|建材營造|35 138 88|92 92 15 42|0.4 19|4 16 0 -19 -38
2444 兆勁|通信網路|34 21 10|63 72 -12 -21|0.5 8|0 -1 0 na na
2449 京元電子|半導體業|-11 -14 -3|94 94 44 63|0.9 1159|42 7 4 3 -43
2450 神腦|通信網路|-1 4 4|100 100 8 20|1.2 7|3 8 0 -24 -5
2451 創見|半導體業|-21 -17 3|96 96 7 12|0.3 33|11 10 -3 -37 -3
2453 凌群|資訊服務|3 15 10|70 70 -16 46|0.3 174|6 -1 -0 -11 130
2454 聯發科|半導體業|-22 -29 -7|95 95 11 3|0.7 4158|57 1 1 -4 -26
2455 全新|通信網路|18 0 35|98 98 41 57|0.7 780|32 3 -1 0 -20
2457 飛宏|電子零組|14 2 -2|74 74 -15 59|0.3 681|10 2 -0 -9 -10
2458 義隆|半導體業|2 -20 17|100 100 28 22|1.8 524|23 -3 1 -5 92
2459 敦吉|其他電子|-5 -7 -13|98 98 9 16|1.2 6|18 -0 0 14 -8
2460 建通|電子零組|9 -15 16|98 98 20 40|1.6 20|1 5 0 -17 19
2461 光群雷|其他電子|1 -9 -1|88 88 13 31|0.7 99|10 3 0 -14 33
2462 良得電|電子零組|-20 -29 -10|95 95 22 19|2.9 73|7 7 0 65 -5
2464 盟立|其他電子|-18 -26 -17|90 90 12 4|4.9 60|4 -3 0 155 164
2465 麗臺|電腦及週|-34 -32 3|82 86 6 -11|1.6 34|1 -0 0 -17 -38
2467 志聖|電子零組|-46 -42 -22|88 88 3 11|0.4 10|6 -11 0 39 9
2468 華經|資訊服務|-17 35 16|63 63 11 -3|0.2 47|3 -4 0 -2 -27
2471 資通|資訊服務|-14 -4 -1|77 77 -13 61|0.2 53|3 -1 -0 4 33
2472 立隆電|電子零組|-17 -18 -3|81 81 -6 0|1.1 18|2 -13 -0 -3 -1
2474 可成|其他電子|-38 -3 8|94 94 -2 -3|1.0 338|42 -29 22 11 -2
2476 鉅祥|電子零組|-24 -16 -11|83 85 -2 3|1.4 33|2 -0 -1 2 -7
2478 大毅|電子零組|12 -1 17|91 91 -1 4|0.3 6|5 -18 0 2 20
2480 敦陽科|資訊服務|4 12 6|89 89 10 36|0.4 54|6 -8 -0 9 128
2481 強茂|半導體業|-10 -2 11|85 85 3 2|0.6 373|10 -5 0 -4 19
2482 連宇|其他電子|-13 15 -118|68 68 -18 26|0.4 144|5 -0 -0 -12 127
2484 希華|電子零組|-37 -35 -12|82 85 -2 -8|0.7 21|4 -8 -1 -7 0
2485 兆赫|通信網路|-10 6 -7|88 88 3 10|0.4 23|8 -5 -0 7 55
2486 一詮|光電業|-4 -11 8|88 88 62 100|0.4 196|6 2 0 -15 -17
2488 漢平|其他電子|-28 -23 -13|98 98 17 25|3.6 8|5 13 0 20 3
2489 瑞軒|光電業|34 -2 20|82 82 2 26|0.5 36|13 -2 0 -2 30
2492 華新科|電子零組|1 -8 8|85 85 -4 0|0.6 211|13 -4 -0 12 -4
2493 揚博|電子零組|-5 -13 -14|95 95 15 39|1.1 16|6 -1 0 7 18
2495 普安|電腦及週|-29 -21 -43|74 74 -16 8|0.5 67|20 2 0 -19 -39
2497 怡利電|汽車工業|53 27 -1|74 83 -0 -10|1.0 50|1 -6 0 -3 6
2498 宏達電|通信網路|-21 -2 5|73 75 -13 -23|0.7 437|11 -6 -0 1 12
