# 2023-02 月中(2023-02-13,上月月報甫公佈)全池量化快照(949 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1475 業旺|紡織纖維|18 21 -274|88 94 12 15|0.8 9|0 1 0 10 2
1476 儒鴻|紡織纖維|-43 -31 -38|83 97 14 12|1.0 413|41 5 -1 -12 9
1477 聚陽|紡織纖維|-16 -10 -20|88 88 1 18|1.0 441|39 9 -11 31 -9
1503 士電|電機機械|7 11 -0|98 98 22 8|1.5 61|32 1 0 -10 3
1504 東元|電機機械|-3 2 -8|91 98 0 1|1.2 111|20 6 1 -3 5
1506 正道|電機機械|-8 -4 -12|96 100 22 28|2.8 5|0 -0 0 na na
1513 中興電|電機機械|34 12 1|100 100 57 32|1.0 1707|19 -2 0 -8 33
1514 亞力|電機機械|24 35 -2|93 96 24 12|0.7 121|10 2 1 8 -10
1515 力山|電機機械|-74 -77 -0|70 84 5 -4|0.6 13|9 4 0 -16 -14
1517 利奇|電機機械|-61 -45 -45|77 79 -10 -15|0.4 7|2 4 0 -12 -8
1519 華城|電機機械|-39 -21 -8|92 92 38 47|0.7 463|10 -0 0 19 21
1522 堤維西|汽車工業|1 6 -9|87 90 7 -8|0.3 39|6 10 0 -10 -6
1524 耿鼎|汽車工業|-28 1 -19|85 85 10 -3|0.7 91|3 3 0 13 4
1526 日馳|電機機械|-32 -24 -39|72 72 -10 -18|0.4 6|3 -10 0 -7 -12
1527 鑽全|電機機械|-37 -30 -12|94 98 5 3|1.0 7|10 13 0 -4 -7
1529 樂事綠能|電機機械|178 76 29|70 93 36 43|0.6 106|1 -1 -0 9 64
1532 勤美|電機機械|-49 -50 -28|92 99 15 6|2.5 11|11 10 -2 38 -6
1533 車王電|汽車工業|-12 2 -15|70 78 -1 -17|0.6 7|6 2 0 -3 -19
1535 中宇|電機機械|-19 -4 -6|92 92 5 1|1.3 5|1 3 0 -2 11
1536 和大|汽車工業|-5 4 -7|76 76 -5 -6|0.5 85|15 8 -4 -6 -15
1537 廣隆|電機機械|-26 -13 -65|98 98 3 1|1.4 9|18 6 0 -9 1
1539 巨庭|電機機械|-72 -71 -46|59 59 -4 -6|0.4 11|3 5 0 -8 -7
1558 伸興|電機機械|-32 5 1|88 92 11 -7|0.5 6|7 -6 0 1 -3
1560 中砂|電機機械|-11 -4 -17|69 69 9 -24|0.3 342|11 -1 1 -1 4
1565 精華|生技醫療|-29 -21 -11|90 94 14 -1|0.7 38|27 3 -3 -9 5
1580 新麥|電機機械|-7 -13 -8|94 95 11 2|0.9 10|6 -5 -3 1 -7
1582 信錦|電子零組|-46 -41 -36|88 88 0 -10|1.1 6|10 -8 0 -7 6
1584 精剛|其他|23 55 -7|97 97 59 25|1.6 318|2 -0 0 14 34
1589 永冠-KY|電機機械|-21 4 -2|94 96 30 23|2.0 57|7 6 5 22 -10
1590 亞德客-KY|電機機械|-25 -6 -8|96 96 30 30|1.5 943|79 8 4 -47 -53
1591 駿吉-KY|電機機械|-86 -60 na|98 98 52 33|2.7 16|18 3 0 98 2
1598 岱宇|運動休閒|9 -3 31|100 100 32 24|3.0 7|5 18 0 29 -23
1603 華電|電器電纜|3 40 -5|82 90 -0 -2|1.0 8|2 -1 0 13 11
1605 華新|電器電纜|12 -2 -20|97 97 32 54|0.5 2803|26 4 -1 -5 -47
1608 華榮|電器電纜|-5 -11 -13|71 96 8 2|0.7 15|2 0 0 -7 -3
1609 大亞|電器電纜|-25 -16 -13|81 97 34 12|0.9 114|11 0 0 4 0
1611 中電|電器電纜|-26 -21 -9|68 76 -2 -22|0.7 9|11 -5 0 -4 -10
1612 宏泰|電器電纜|-28 10 11|66 93 18 10|0.7 34|12 0 0 12 -3
1618 合機|電器電纜|-32 31 12|92 92 -5 18|0.4 11|2 5 -1 1 26
1701 中化|生技醫療|2 13 5|76 76 37 31|1.3 289|11 -1 0 -7 118
1702 南僑|食品工業|-9 -1 -4|96 99 3 2|1.8 12|11 15 0 -21 -9
1707 葡萄王|生技醫療|-5 3 -1|97 97 33 27|0.6 131|16 19 4 -21 0
1708 東鹼|化學工業|-25 -6 -73|59 78 -4 -15|0.6 72|12 -4 -0 -5 7
1709 和益|化學工業|-33 -14 -23|76 90 7 -5|0.6 9|4 3 0 -4 3
1710 東聯|化學工業|-23 -20 0|83 97 6 8|0.4 14|9 19 0 -10 -0
1711 永光|化學工業|-35 -25 -19|71 88 7 -7|0.5 13|8 18 0 -5 -7
1712 興農|化學工業|-20 -7 -25|85 85 5 7|0.7 43|16 7 -1 -16 -16
1717 長興|化學工業|-39 -22 -17|80 90 5 -2|0.6 34|15 20 -5 -6 4
1720 生達|生技醫療|3 16 -10|90 90 28 25|0.3 99|7 8 0 -39 -26
1721 三晃|化學工業|-40 -20 -23|62 85 9 -8|0.6 8|1 5 0 3 -5
1722 台肥|化學工業|-22 -31 -46|70 87 2 -12|0.8 79|13 -16 -1 -10 7
1723 中碳|化學工業|-19 -13 -39|88 92 4 -5|1.1 22|10 1 -1 0 6
1727 中華化|化學工業|-25 -13 -27|53 80 9 -16|0.5 6|2 11 0 -1 -7
1732 毛寶|化學工業|-24 -16 -9|59 77 4 -3|0.5 9|2 -4 0 -13 0
1733 五鼎|生技醫療|-12 -13 -19|90 90 8 -5|2.3 5|6 -8 0 -17 30
1734 杏輝|生技醫療|-5 8 -8|88 88 11 13|0.4 43|6 2 1 -17 14
1736 喬山|運動休閒|-20 10 3|82 82 7 30|0.4 136|8 2 -7 -17 56
1752 南光|生技醫療|16 27 17|87 87 70 60|0.9 457|2 0 0 -11 51
1760 寶齡富錦|生技醫療|-25 -8 -29|89 89 23 48|0.6 991|13 1 -1 -5 22
1762 中化生|生技醫療|83 26 -4|95 95 27 19|1.0 42|7 4 0 5 -2
1773 勝一|化學工業|-30 -24 -22|73 89 27 -7|0.5 20|5 7 0 25 -13
1777 生泰|生技醫療|46 65 19|96 96 11 27|0.5 6|1 -5 0 -12 46
1783 和康生|生技醫療|20 30 12|92 92 59 50|2.4 133|9 2 1 35 -12
1784 訊聯|生技醫療|-10 10 4|97 97 25 16|1.3 11|5 9 0 21 7
1785 光洋科|其他電子|-41 -37 -16|72 94 23 -2|1.0 49|10 13 1 -1 -3
1786 科妍|生技醫療|78 30 7|100 100 28 45|0.9 24|3 14 1 -21 25
1789 神隆|生技醫療|-11 57 37|89 89 8 -3|0.6 28|5 8 0 -15 1
1795 美時|生技醫療|112 53 24|98 98 74 91|1.6 3288|74 -3 0 25 10
1802 台玻|玻璃陶瓷|-22 -18 -2|91 91 6 27|0.2 79|8 17 2 -33 -26
1808 潤隆|建材營造|27 -1 68|99 99 24 26|2.0 28|2 33 0 5 2
1809 中釉|玻璃陶瓷|-42 -20 -36|95 97 9 14|1.0 26|2 0 0 3 14
1810 和成|玻璃陶瓷|-23 -23 -18|86 86 41 73|0.9 84|3 -1 0 5 19
1815 富喬|電子零組|-26 -25 -12|81 81 3 2|0.6 16|3 8 0 -11 -4
1904 正隆|造紙工業|-27 -20 -15|84 98 6 3|1.5 34|9 25 0 -23 -5
1905 華紙|造紙工業|-19 -5 -12|72 90 -1 -3|0.6 9|4 19 0 -12 -11
1907 永豐餘|造紙工業|-33 -19 -11|79 93 -1 10|0.6 32|16 14 2 -5 -8
1909 榮成|造紙工業|-38 -24 -18|85 97 19 22|0.6 102|12 7 4 -28 -12
2002 中鋼|鋼鐵工業|-34 -29 -22|87 98 15 9|0.3 524|20 10 3 -19 -27
2006 東和鋼鐵|鋼鐵工業|-29 -18 -19|75 97 12 5|0.7 80|12 15 -1 -27 -21
2007 燁興|鋼鐵工業|-27 -23 -19|57 94 25 2|0.6 17|0 5 0 -27 -4
2009 第一銅|鋼鐵工業|-41 -35 -24|70 96 20 29|1.1 180|0 -1 0 18 22
2010 春源|鋼鐵工業|-40 -30 -21|67 99 8 2|0.8 7|7 27 0 -26 -7
2013 中鋼構|鋼鐵工業|11 6 -15|95 95 5 -2|2.9 10|8 2 0 -71 -34
2014 中鴻|鋼鐵工業|-28 -35 -18|66 99 40 11|0.5 481|9 1 2 -33 -6
2015 豐興|鋼鐵工業|-35 -19 -18|76 99 21 4|0.8 13|11 15 4 -21 2
2017 官田鋼|鋼鐵工業|-32 -39 -25|88 100 30 28|1.3 13|2 9 0 -6 -6
2023 燁輝|鋼鐵工業|-31 -33 -24|69 97 14 11|0.5 45|6 15 -0 -27 -9
2027 大成鋼|鋼鐵工業|9 -0 -16|85 98 12 13|0.4 320|16 17 -0 -16 -27
2028 威致|鋼鐵工業|-41 -5 1|71 93 26 17|0.5 37|1 3 1 -14 12
2029 盛餘|鋼鐵工業|-44 -39 -23|68 97 4 -1|0.6 9|69 8 -0 -23 -2
2030 彰源|鋼鐵工業|-39 -32 -37|63 90 5 -7|0.4 29|4 8 0 -16 3
2031 新光鋼|鋼鐵工業|-36 6 -15|66 92 25 17|0.7 89|11 12 -2 -20 -25
2032 新鋼|鋼鐵工業|-36 -9 -6|59 95 19 6|0.3 12|1 7 1 -15 -5
2033 佳大|鋼鐵工業|-60 -35 -23|61 92 19 3|0.5 7|1 3 0 -19 1
2034 允強|鋼鐵工業|-23 -19 -13|87 99 16 4|1.1 51|8 10 0 -32 -4
2038 海光|鋼鐵工業|-44 -27 -32|68 94 22 3|0.4 24|2 5 0 -11 -7
2049 上銀|電機機械|-40 -26 -29|88 98 40 15|2.5 759|33 6 7 -42 33
2059 川湖|電子零組|-35 -9 -28|81 81 -12 -16|0.7 109|16 -11 -6 28 6
2062 橋椿|居家生活|-59 -34 -16|85 92 13 -7|1.1 6|10 13 0 -9 4
2063 世鎧精密|鋼鐵工業|-16 -4 -3|98 98 28 27|0.6 6|2 16 2 -21 -15
2065 世豐|鋼鐵工業|-20 -13 -2|100 100 10 16|1.0 5|2 3 1 -16 0
2066 世德|電機機械|5 19 -6|94 94 14 25|1.4 10|13 7 0 -15 23
2069 運錩|鋼鐵工業|-26 -28 -28|62 89 4 -6|0.4 7|2 8 0 -11 -14
2101 南港|橡膠工業|-20 -15 -7|73 88 3 -12|2.9 14|7 5 0 1 -1
2102 泰豐|橡膠工業|-18 -12 -27|66 88 3 1|2.0 8|7 9 0 16 -5
2103 台橡|橡膠工業|-12 -11 -14|80 96 7 4|2.0 29|29 3 3 21 5
2104 國際中橡|橡膠工業|-18 -20 -22|72 91 3 -1|0.6 25|13 21 0 -1 -6
2105 正新|橡膠工業|-26 -15 -11|86 86 2 -3|1.0 90|14 -0 -6 -16 -17
2106 建大|橡膠工業|-20 -9 -18|83 86 0 -9|0.9 11|7 13 -3 -7 5
2108 南帝|橡膠工業|-48 -43 6|52 94 15 -4|1.2 35|9 27 -3 -4 -28
2201 裕隆|汽車工業|-14 -3 -1|92 92 71 90|0.7 2144|8 -1 1 30 8
2204 中華|汽車工業|2 15 14|93 93 31 27|0.5 104|25 9 3 -43 4
2206 三陽工業|汽車工業|8 6 -17|89 89 -2 3|0.9 57|18 5 -1 -5 -4
2207 和泰車|汽車工業|-18 2 1|94 94 6 2|0.6 122|25 10 -1 -19 -20
2208 台船|航運業|-7 5 -9|95 100 14 12|1.0 45|6 20 0 -22 -32
2211 長榮鋼|鋼鐵工業|-62 -58 -41|85 85 2 -14|0.2 9|16 14 0 -6 -6
2228 劍麟|汽車工業|-4 7 -11|92 92 -2 11|0.7 10|8 -6 -2 -0 7
2230 泰茂|居家生活|-39 -13 -3|98 98 96 174|0.9 152|7 1 0 -4 -17
2231 為升|汽車工業|-13 4 5|95 97 10 29|1.1 83|8 8 -2 8 -32
2233 宇隆|汽車工業|-24 -5 -7|84 85 7 -11|0.7 10|10 -0 0 -3 13
2236 百達-KY|汽車工業|6 6 2|97 97 95 87|3.2 38|77 2 0 91 3
2243 宏旭-KY|汽車工業|5476 1797 1287|94 97 47 13|4.0 5|42 -1 0 38 -28
2247 汎德永業|汽車工業|-4 5 2|100 100 9 7|1.2 9|4 3 0 -33 25
2301 光寶科|電腦及週|-26 -13 -16|99 99 4 3|0.6 392|46 6 -1 -56 -35
2302 麗正|半導體業|-43 -5 -16|88 88 -8 2|1.5 7|3 -8 0 -2 19
2303 聯電|半導體業|-4 5 -24|86 98 24 17|0.9 3164|35 22 5 -36 -17
2305 全友|電腦及週|-34 -24 -15|71 71 -18 -2|0.2 11|5 4 0 -16 3
2308 台達電|電子零組|13 19 -4|96 96 7 10|1.0 1967|67 7 -3 -15 1
2312 金寶|其他電子|1 18 -12|80 91 -6 6|0.4 49|11 3 0 -19 -9
2313 華通|電子零組|-23 -11 -31|85 85 1 -11|0.6 539|26 -12 -7 12 -3
2314 台揚|通信網路|69 49 25|64 86 18 -7|1.8 30|2 4 -0 -32 -100
2317 鴻海|其他電子|48 8 -8|89 90 1 -10|0.7 3067|40 -19 -1 6 -27
2324 仁寶|電腦及週|-24 -34 -22|95 100 10 3|0.8 214|41 3 10 -6 -21
2327 國巨*|電子零組|-17 2 -9|86 95 31 27|0.8 1467|45 15 3 -11 13
2328 廣宇|電子零組|-15 -3 -9|94 94 18 11|0.8 113|12 5 0 -9 -26
2329 華泰|半導體業|-21 -15 -11|83 95 11 11|0.6 33|10 9 0 -2 -10
2330 台積電|半導體業|16 30 -12|85 99 36 6|0.7 16955|72 33 0 -29 -37
2331 精英|電腦及週|-44 -47 -46|80 80 -0 -0|0.4 16|10 7 0 -3 5
2332 友訊|通信網路|21 6 -7|92 92 9 -4|1.3 23|8 1 0 -1 3
2337 旺宏|半導體業|-41 -40 -24|84 95 10 6|0.3 172|21 21 -1 -19 -30
2338 光罩|半導體業|-16 4 -21|84 88 44 14|0.6 753|9 -3 2 -11 12
2340 台亞|半導體業|-49 -42 -15|64 88 10 -11|0.5 44|12 13 0 -3 -13
2342 茂矽|半導體業|-21 -14 -22|90 97 16 4|0.6 37|6 8 0 11 -20
2344 華邦電|半導體業|-44 -31 -22|65 95 10 3|1.6 491|24 5 1 -18 -21
2345 智邦|通信網路|19 26 -3|93 93 9 -2|1.5 890|63 12 -8 -24 0
2347 聯強|電子通路|-16 -16 -20|85 100 15 14|0.6 180|31 -3 12 -19 -36
2351 順德|半導體業|-20 -12 -15|76 98 26 1|1.0 168|23 3 7 -6 31
2352 佳世達|電腦及週|-23 -16 -20|91 97 8 5|0.8 89|15 -1 -1 2 -31
2353 宏碁|電腦及週|-46 -34 -17|91 99 5 15|1.0 211|31 12 9 -19 -11
2354 鴻準|其他電子|2 22 29|88 97 17 7|0.9 198|17 11 0 0 -19
2355 敬鵬|電子零組|-13 -12 -7|80 92 7 2|0.8 18|17 5 0 -9 -7
2356 英業達|電腦及週|-6 -12 -17|97 97 7 5|0.6 160|25 -5 15 3 -40
2357 華碩|電腦及週|-37 -25 -21|83 97 13 5|0.7 424|43 -6 7 -3 -5
2358 廷鑫|其他|-49 -22 -10|59 89 -2 7|0.8 63|2 1 0 -9 3
2359 所羅門|其他電子|-42 -2 -33|79 92 8 -5|1.3 56|2 -5 0 10 34
2360 致茂|其他電子|-8 7 -21|90 93 5 2|0.7 202|66 9 -0 -25 9
2362 藍天|電腦及週|-15 -27 -9|87 87 -0 -2|1.5 5|10 -19 0 2 7
2363 矽統|半導體業|-43 -4 17|82 84 9 -8|0.8 32|5 10 0 -10 -22
2364 倫飛|電腦及週|25 35 21|76 76 11 49|1.4 43|17 -2 0 -9 -19
2367 燿華|電子零組|-17 -15 -47|76 76 -3 -9|0.9 63|8 1 0 -5 7
2368 金像電|電子零組|-17 1 -20|84 84 -3 -1|1.3 756|17 -5 -16 50 1
2369 菱生|半導體業|-37 -35 -11|62 87 7 -9|1.7 10|14 -5 0 -5 -11
2371 大同|電機機械|30 49 29|90 93 8 -4|0.5 113|17 7 -0 -10 -17
2373 震旦行|其他電子|-16 -16 -8|91 92 2 -6|0.8 6|2 15 0 -11 28
2374 佳能|光電業|-20 -10 -62|72 81 -2 -15|0.7 7|5 5 0 -1 -6
2375 凱美|電子零組|-48 -34 -9|54 79 9 -5|0.9 24|7 4 0 -5 3
2376 技嘉|電腦及週|-42 -12 4|89 98 16 42|0.8 767|20 14 -3 -17 -59
2377 微星|電腦及週|-35 -27 -13|89 98 11 20|0.7 306|31 7 4 -16 -23
2379 瑞昱|半導體業|-46 -32 -34|71 95 29 7|0.9 1252|47 8 2 -12 -23
2380 虹光|電腦及週|-51 -22 -24|73 76 -6 -17|0.6 9|0 -4 0 na na
2382 廣達|電腦及週|-11 -9 -22|88 96 14 -4|0.6 401|23 -14 8 -31 -30
2383 台光電|電子零組|-38 -22 -18|71 97 17 19|0.7 368|38 8 -4 -12 -26
2385 群光|電子零組|-29 -16 -22|100 100 12 7|0.9 128|35 19 1 4 -14
2387 精元|電腦及週|-40 -20 -21|93 93 -1 1|0.6 10|7 -8 0 -7 -4
2388 威盛|半導體業|-27 10 -19|81 81 5 -8|0.9 498|10 2 -0 -5 0
2390 云辰|其他電子|14 16 12|56 78 -6 -11|0.5 7|3 18 0 -4 -25
2392 正崴|電子零組|10 -2 -15|97 97 13 19|1.1 57|14 21 0 -43 -4
2393 億光|光電業|-24 -23 -1|72 93 3 -5|1.1 28|25 8 0 -9 -22
2395 研華|電腦及週|5 6 -10|95 100 22 8|0.9 288|42 4 -0 45 -23
2399 映泰|電腦及週|-21 -39 -19|65 95 2 -0|0.7 18|5 9 0 -11 -24
2401 凌陽|半導體業|-52 -47 -28|74 95 8 -9|3.4 39|12 3 0 -3 -22
2402 毅嘉|電子零組|2 19 1|95 95 -1 26|0.7 34|11 6 -1 -10 6
2404 漢唐|其他電子|113 139 42|100 100 44 34|1.1 202|26 20 0 4 -12
2405 輔信|電腦及週|8 -9 -6|80 80 -1 -6|2.2 12|5 3 0 -4 0
2406 國碩|光電業|-44 -39 -20|71 84 11 -11|0.3 16|6 12 0 -5 -15
2408 南亞科|半導體業|-67 -65 -26|74 95 1 6|0.6 451|16 6 4 -42 -5
2409 友達|光電業|-43 -43 -7|73 85 -6 11|1.6 522|26 9 2 -17 -25
2412 中華電|通信網路|2 0 -3|89 91 5 -9|1.0 1005|17 -19 -1 -1 -14
2413 環科|電子零組|-10 24 3|93 93 8 48|1.3 64|6 6 -0 -1 -30
2417 圓剛|電腦及週|-42 -22 -5|69 93 12 4|0.3 6|2 29 0 -15 -15
2419 仲琦|通信網路|39 53 16|86 86 0 -5|0.9 50|2 -3 0 9 -1
2421 建準|電子零組|-30 -15 -17|88 88 -6 -1|0.3 35|23 -11 -2 5 57
2425 承啟|電腦及週|-35 -27 -21|93 93 24 31|5.1 44|15 -2 0 44 27
2426 鼎元|光電業|-26 -32 -8|62 91 5 -7|0.8 5|8 5 0 -24 -9
2428 興勤|電子零組|-21 -9 -7|97 97 22 6|0.7 100|15 5 4 16 50
2430 燦坤|電子通路|-14 -10 -7|84 97 8 12|1.4 6|6 1 0 67 -5
2436 偉詮電|半導體業|-53 -38 -15|53 86 11 -9|0.7 94|7 1 0 13 -8
2439 美律|通信網路|13 -11 -14|90 90 2 4|0.5 37|13 27 -1 -12 -10
2441 超豐|半導體業|-50 -43 -21|74 84 10 -11|0.4 50|15 4 -0 -7 -22
2444 兆勁|通信網路|-17 13 8|80 80 27 8|0.7 45|4 -1 0 na na
2449 京元電子|半導體業|-17 -12 -20|94 100 22 7|0.8 143|31 16 2 -26 -13
2451 創見|半導體業|-35 -30 -12|100 100 5 4|1.0 19|9 30 4 -16 7
2454 聯發科|半導體業|-49 -28 -35|69 97 18 7|0.8 4949|61 6 -0 -20 -29
2455 全新|通信網路|-61 -48 -15|66 95 36 21|0.8 359|30 3 7 -8 21
2457 飛宏|電子零組|-33 -13 -23|83 94 7 5|0.7 102|6 4 -0 -8 -7
2458 義隆|半導體業|-39 -49 -17|66 97 24 1|0.9 188|26 2 4 -17 4
2462 良得電|電子零組|-49 -29 -23|81 100 24 11|0.8 8|2 6 0 -5 -4
2464 盟立|其他電子|-14 -5 -13|95 95 5 -2|0.4 5|4 -1 0 -10 -4
2465 麗臺|電腦及週|-72 -51 -9|61 91 6 29|0.3 100|2 -1 0 -14 -1
2468 華經|資訊服務|-22 -2 -9|87 87 -0 94|0.9 86|1 -0 0 31 24
2472 立隆電|電子零組|-34 -20 -21|88 98 17 3|1.2 19|3 18 0 -27 -5
2474 可成|其他電子|-58 -38 -6|100 100 7 13|0.7 347|46 18 1 -13 -14
2476 鉅祥|電子零組|-24 -5 -8|79 80 5 -12|0.5 22|3 18 0 -2 -22
2480 敦陽科|資訊服務|4 -3 -7|97 100 14 -1|1.8 15|6 9 -0 24 1
2481 強茂|半導體業|-36 -25 -16|64 93 16 0|0.9 233|12 12 0 -11 -23
2482 連宇|其他電子|173 158 83|98 98 80 59|0.5 157|20 4 0 -13 -29
2484 希華|電子零組|-19 -14 -13|89 89 10 -7|1.3 37|7 -1 0 -1 7
2485 兆赫|通信網路|-8 16 10|90 90 4 1|0.7 10|6 9 0 -10 -5
2486 一詮|光電業|-30 -25 -10|46 83 27 -14|0.3 36|3 8 0 -10 -29
2489 瑞軒|光電業|-35 -38 -12|66 85 5 -11|0.3 9|10 17 0 -7 -25
2492 華新科|電子零組|-28 -21 -4|62 92 15 0|1.3 202|15 5 1 -19 -38
2493 揚博|電子零組|-7 -1 -17|97 97 15 13|1.6 11|5 18 0 -1 3
2495 普安|電腦及週|37 24 0|79 79 3 14|0.7 33|22 -4 0 -6 70
2497 怡利電|汽車工業|-2 17 -24|64 82 -1 8|0.4 104|1 -0 -0 5 -1
2498 宏達電|通信網路|-40 -22 -8|95 95 26 3|1.3 1614|14 2 -0 -0 -12
2501 國建|建材營造|188 119 24|90 97 13 -1|0.7 9|7 15 0 -15 1
2504 國產|建材營造|-27 -12 -8|88 100 12 8|1.5 34|15 7 1 -12 -12
2511 太子|建材營造|-67 -57 -55|84 95 10 -4|1.2 9|9 11 0 -20 -2
2520 冠德|建材營造|-51 15 7|80 96 10 1|0.8 17|15 13 0 -19 -12
2530 華建|建材營造|-89 -8 -21603|91 91 0 22|0.9 10|2 8 -5 -17 -5
2534 宏盛|建材營造|59 185 110|90 90 -7 -4|0.9 18|7 -3 0 12 14
2535 達欣工|建材營造|-20 -4 -22|92 97 4 2|1.1 7|7 -14 0 -21 -1
2538 基泰|建材營造|17 27 -21|88 88 11 -4|1.5 6|12 3 0 -2 -13
2539 櫻花建|建材營造|na na na|100 100 8 13|0.7 6|1 18 0 5 -0
2540 愛山林|建材營造|-40 -35 -19|81 81 9 11|0.2 11|0 -0 0 3 28
2542 興富發|建材營造|-44 46 84|93 93 -0 9|0.3 92|9 10 -0 -25 -9
2545 皇翔|建材營造|-66 -68 -81|80 93 7 -9|1.5 9|4 -8 0 8 -0
2546 根基|建材營造|48 66 25|98 98 19 12|1.2 6|4 13 0 150 -3
2548 華固|建材營造|-28 -74 -1908|96 96 4 -0|1.0 29|19 8 -0 -15 5
2597 潤弘|建材營造|-23 -1 -17|90 95 26 40|0.9 11|1 18 0 -9 -10
