# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1611 中電|電器電纜|-20 -17 -8|80 80 -4 -1|1.5 33|11 -5 0 12 27
1612 宏泰|電器電纜|23 0 -9|78 87 -5 -9|0.6 20|15 15 0 -8 -43
1616 億泰|電器電纜|14 27 8|75 82 4 -5|0.9 17|3 7 0 63 -42
1618 合機|電器電纜|16 -19 -57|73 75 -7 -6|0.8 84|3 -6 0 6 31
1702 南僑|食品工業|10 4 -1|83 87 -4 -9|0.3 24|15 -8 -6 -18 -7
1707 葡萄王|生技醫療|7 18 9|99 99 8 2|1.1 50|16 43 2 1 -29
1708 東鹼|化學工業|31 22 16|94 94 7 25|0.7 124|20 10 0 -2 4
1709 和益|化學工業|-1 8 -5|82 82 -10 7|0.3 10|3 3 -0 -19 -34
1710 東聯|化學工業|-2 11 -2|77 84 -12 -7|0.7 14|9 -15 -0 -17 -1
1711 永光|化學工業|-5 -6 -8|79 79 -14 19|0.1 57|8 5 -0 10 -5
1712 興農|化學工業|6 -2 -3|95 95 6 9|1.0 25|16 -5 25 10 16
1717 長興|化學工業|1 -2 -6|84 84 -5 -4|0.4 43|16 -24 -0 -8 35
1720 生達|生技醫療|5 8 -1|85 85 -3 -5|0.6 17|5 -10 0 -18 -0
1721 三晃|化學工業|-3 7 -2|69 69 8 24|0.3 59|7 1 0 -7 -0
1722 台肥|化學工業|3 2 16|85 89 -6 -10|1.0 72|11 -12 -1 37 -0
1723 中碳|化學工業|-15 4 11|77 87 -4 -13|0.4 16|8 1 1 -3 -4
1727 中華化|化學工業|52 48 31|81 81 -2 20|0.2 33|6 -4 0 -7 1
1736 喬山|運動休閒|33 29 10|90 90 24 72|0.5 116|10 -4 0 -20 -21
1737 臺鹽|食品工業|0 -7 0|90 90 -8 -1|0.3 5|8 -14 0 -7 1
1760 寶齡富錦|生技醫療|-8 1 -11|74 86 -4 -8|1.3 17|12 18 0 -13 -33
1773 勝一|化學工業|16 15 4|87 90 2 5|1.0 44|7 4 -5 7 -3
1777 生泰|生技醫療|48 25 7|98 98 5 14|1.8 10|2 4 0 25 4
1784 訊聯|生技醫療|3 0 -7|64 64 -11 20|1.1 31|4 0 0 6 8
1785 光洋科|其他電子|21 26 -2|81 81 -12 28|0.2 376|13 15 0 -19 -42
1786 科妍|生技醫療|34 16 -18|67 67 -32 -16|0.7 58|5 -4 0 6 -0
1789 神隆|生技醫療|-12 -0 -15|80 80 -7 -19|0.7 8|5 -22 0 -3 -13
1795 美時|生技醫療|107 42 29|85 92 -0 -0|1.6 725|59 13 0 -1 -36
1799 易威|生技醫療|111 155 4|29 29 -70 -32|0.5 41|16 5 -5 na na
1802 台玻|玻璃陶瓷|-12 -18 -13|95 95 23 7|1.4 200|6 4 -0 -5 -16
1808 潤隆|建材營造|-97 -94 -1379|31 31 -67 -61|0.6 126|8 -7 0 1 -22
1809 中釉|玻璃陶瓷|-6 -9 -13|59 78 -2 -15|1.1 16|3 0 0 -5 -0
1810 和成|玻璃陶瓷|9 -2 -4|80 89 -7 -9|0.8 7|4 -0 0 -1 -16
1815 富喬|電子零組|45 47 32|96 96 21 0|3.8 1040|10 2 0 64 43
