# 2023-02 事件流(256 事件,按日排序)。欄位:日期|代碼 名稱|產業|事件|最新YoY 3月YoY|距52高% 距120高% 120日漲% 量能x
2023-02-03|3023 信邦|電子零組|創高|22 26|100 104 13 3.9
2023-02-03|3322 建舜電|電子零組|爆量急漲|-43 -42|83 93 30 11.6
2023-02-03|5340 建榮|電子零組|爆量急漲|17 6|100 107 68 8.0
2023-02-03|6546 正基|通信網路|爆量急漲|-48 -51|na 60 -25 9.3
2023-02-03|6548 長科*|半導體業|爆量急漲|-16 -9|33 39 -54 11.6
2023-02-06|2243 宏旭-KY|汽車工業|創高|-36 -18|97 107 13 3.4
2023-02-06|2731 雄獅|觀光餐旅|創高|192 164|100 102 28 2.3
2023-02-06|4164 承業醫|生技醫療|創高|-19 6|100 100 46 5.8
2023-02-06|4744 皇將|生技醫療|爆量急漲|-15 -17|88 106 16 5.4
2023-02-06|5403 中菲|資訊服務|創高|10 17|100 101 18 1.7
2023-02-06|6235 華孚|電腦及週|爆量急漲|38 41|91 98 6 6.9
2023-02-06|6469 大樹|生技醫療|創高|28 24|100 100 30 1.6
2023-02-06|6649 台生材|生技醫療|創高|1933 1202|100 106 76 4.8
2023-02-06|8936 國統|其他|創高|-32 -15|100 102 27 3.0
2023-02-07|3022 威強電|電腦及週|創高|3 43|100 101 38 1.8
2023-02-07|4142 國光生|生技醫療|創高|288 63|93 101 12 5.9
2023-02-07|4572 駐龍|電機機械|創高|79 62|95 102 4 1.6
2023-02-07|6146 耕興|其他電子|爆量急漲|-8 8|91 91 7 5.2
2023-02-07|6231 系微|資訊服務|爆量急漲|1 -10|95 103 43 6.1
2023-02-07|6235 華孚|電腦及週|創高|38 41|95 102 8 7.2
2023-02-07|6472 保瑞|生技醫療|創高|358 360|100 100 117 2.3
2023-02-08|1409 新纖|紡織纖維|創高|-19 -21|94 102 8 2.8
2023-02-08|1591 駿吉-KY|電機機械|創高|-91 45|100 104 36 4.8
2023-02-08|2401 凌陽|半導體業|爆量急漲|-44 -42|77 94 -6 9.9
2023-02-08|3094 聯傑|半導體業|爆量急漲|-2 7|77 94 6 21.4
2023-02-08|3357 臺慶科|電子零組|爆量急漲|-22 -18|88 108 17 7.9
2023-02-08|4960 誠美材|光電業|爆量急漲|-23 -33|89 104 21 8.6
2023-02-08|5203 訊連|資訊服務|爆量急漲|0 9|84 91 5 16.5
2023-02-08|6123 上奇|資訊服務|創高|5 34|100 103 15 11.6
2023-02-08|6142 友勁|通信網路|創高|28 87|100 100 20 2.8
2023-02-08|6215 和椿|其他電子|創高|-36 -31|100 106 17 4.1
2023-02-08|6510 精測|半導體業|創高|-19 -10|90 106 34 4.0
2023-02-08|6625 必應|其他|爆量急漲|24 83|100 106 72 12.4
2023-02-08|8054 安國|半導體業|爆量急漲|3 5|58 88 -5 5.4
2023-02-09|1342 八貫|其他|爆量急漲|7 11|100 101 106 5.5
2023-02-09|1532 勤美|電機機械|創高|-55 -47|92 101 6 5.8
2023-02-09|2634 漢翔|航運業|創高|-5 26|98 101 2 3.7
2023-02-09|3088 艾訊|電腦及週|創高+爆量急漲|20 26|94 103 14 7.4
2023-02-09|3209 全科|電子通路|創高|72 52|100 104 7 7.6
2023-02-09|3537 堡達|電子零組|創高|-19 -22|98 101 17 2.8
2023-02-09|4119 旭富|生技醫療|創高|125 70|100 102 28 1.9
2023-02-09|5475 德宏|電子零組|爆量急漲|-43 -56|46 90 21 5.3
2023-02-09|6227 茂綸|電子通路|創高|7 9|100 101 23 2.0
2023-02-09|6266 泰詠|電子零組|創高|12 35|100 101 9 3.7
2023-02-09|6533 晶心科|半導體業|創高|-47 40|100 103 138 1.9
2023-02-10|1598 岱宇|運動休閒|營收爆發|9 -3|100 104 24 6.4
2023-02-10|1795 美時|生技醫療|營收爆發|112 53|98 98 94 1.1
2023-02-10|2101 南港|橡膠工業|爆量急漲|-20 -15|78 94 -5 10.3
2023-02-10|2243 宏旭-KY|汽車工業|營收爆發|5476 1797|93 95 13 1.3
2023-02-10|2314 台揚|通信網路|營收爆發|69 49|58 78 -20 1.1
2023-02-10|2546 根基|建材營造|營收爆發|48 66|99 99 12 0.8
2023-02-10|2855 統一證|金融保險|營收爆發|2774 907|83 97 2 1.4
2023-02-10|4163 鐿鈦|生技醫療|營收爆發|47 40|99 99 38 1.0
2023-02-10|4744 皇將|生技醫療|創高|-33 -29|96 102 29 3.1
2023-02-10|5222 全訊|半導體業|爆量急漲|-8 30|83 91 15 5.6
2023-02-10|6005 群益證|金融保險|營收爆發|78 11|81 96 0 2.0
2023-02-10|6026 福邦證|金融業|營收爆發|-12 -50|65 86 -8 0.8
2023-02-10|6163 華電網|資訊服務|營收爆發|8 48|86 98 4 0.8
2023-02-10|6266 泰詠|電子零組|爆量急漲|57 35|100 107 16 25.1
2023-02-10|6649 台生材|生技醫療|營收爆發|-48 1114|99 99 67 1.2
2023-02-10|6806 森崴能源|綠能環保|營收爆發|286 67|79 96 20 2.6
2023-02-10|8033 雷虎|其他|創高|20 19|100 102 181 2.0
2023-02-10|8104 錸寶|光電業|營收爆發|96 55|52 91 -6 0.7
2023-02-10|8271 宇瞻|半導體業|創高|-39 -22|93 101 11 3.4
2023-02-13|1234 黑松|食品工業|創高|11 8|98 100 1 2.8
2023-02-13|2314 台揚|通信網路|爆量急漲|69 49|64 86 -7 5.5
2023-02-13|2727 王品|觀光餐旅|創高|27 7|100 102 72 2.2
2023-02-13|2916 滿心|居家生活|創高|49 18|100 100 32 2.0
2023-02-13|4503 金雨|電機機械|創高|22 19|98 103 27 7.2
2023-02-13|4960 誠美材|光電業|創高|-42 -32|91 101 18 3.4
2023-02-13|6142 友勁|通信網路|爆量急漲|94 63|100 107 7 9.3
2023-02-13|6277 宏正|電腦及週|創高|12 2|100 102 9 6.1
2023-02-13|6290 良維|電子零組|爆量急漲|-21 -20|100 106 11 10.0
2023-02-13|6592 和潤企業|其他|創高|20 21|92 102 5 2.8
2023-02-13|6690 安碁資訊|數位雲端|創高|18 54|100 102 28 3.1
2023-02-13|6752 叡揚|資訊服務|爆量急漲|31 29|100 110 56 8.1
2023-02-13|8222 寶一|電機機械|爆量急漲|26 15|100 104 57 10.6
2023-02-13|9942 茂順|其他|創高|-5 6|100 101 35 2.4
2023-02-14|1201 味全|食品工業|創高|-5 -6|92 101 4 3.6
2023-02-14|1268 漢來美食|觀光餐旅|爆量急漲|41 23|100 107 39 6.5
2023-02-14|1432 大魯閣|運動休閒|爆量急漲|57 27|89 105 41 8.9
2023-02-14|1796 金穎生技|食品工業|創高|3 4|100 100 58 3.2
2023-02-14|2471 資通|資訊服務|創高+爆量急漲|8 -7|100 110 31 56.3
2023-02-14|2472 立隆電|電子零組|創高|-34 -20|91 102 6 5.3
2023-02-14|2729 瓦城|觀光餐旅|爆量急漲|67 26|100 108 43 7.6
2023-02-14|2754 亞洲藏壽司|觀光餐旅|爆量急漲|62 30|100 110 95 5.2
2023-02-14|3221 台嘉碩|通信網路|爆量急漲|-32 -22|74 79 -19 5.9
2023-02-14|3438 類比科|半導體業|爆量急漲|-50 -49|84 107 15 5.2
2023-02-14|4953 緯致|資訊服務|爆量急漲|9 15|100 110 22 8.0
2023-02-14|4967 十銓|半導體業|爆量急漲|-24 -13|65 94 13 7.1
2023-02-14|5904 寶雅|居家生活|創高|21 15|100 104 37 2.4
2023-02-14|6605 帝寶|汽車工業|創高|4 2|100 101 5 8.2
2023-02-14|9962 有益|鋼鐵工業|創高|33 27|93 100 21 2.8
2023-02-15|2462 良得電|電子零組|爆量急漲|-49 -29|86 106 12 5.8
2023-02-15|3078 僑威|電子零組|爆量急漲|-31 -24|87 96 -0 6.8
2023-02-15|3564 其陽|通信網路|爆量急漲|42 3|100 100 12 7.5
2023-02-15|3617 碩天|其他電子|創高|39 33|100 102 39 3.7
2023-02-15|5706 鳳凰|觀光餐旅|創高+爆量急漲|2394 1038|99 101 14 11.4
2023-02-15|8464 億豐|居家生活|創高|-23 -16|90 102 13 2.0
2023-02-15|8931 大汽電|油電燃氣|爆量急漲|65 85|100 102 80 5.1
2023-02-15|9925 新保|其他|創高|-1 -1|100 101 1 1.9
2023-02-16|2017 官田鋼|鋼鐵工業|創高|-32 -39|98 105 28 3.9
2023-02-16|2375 凱美|電子零組|爆量急漲|-48 -34|63 93 11 12.5
2023-02-16|2453 凌群|資訊服務|創高|0 0|100 102 52 2.0
2023-02-16|2610 華航|航運業|爆量急漲|5 -10|69 92 -4 5.6
2023-02-16|2640 大車隊|數位雲端|創高+爆量急漲|-4 8|100 106 30 6.8
2023-02-16|2702 華園|觀光餐旅|爆量急漲|68 42|89 89 16 9.9
2023-02-16|2731 雄獅|觀光餐旅|爆量急漲|591 314|100 107 53 12.2
2023-02-16|3055 蔚華科|電子通路|創高|12 -50|91 102 14 2.8
2023-02-16|3152 璟德|通信網路|爆量急漲|-31 -27|78 105 26 5.1
2023-02-16|3357 臺慶科|電子零組|創高|-25 -21|91 101 16 3.9
2023-02-16|3558 神準|通信網路|創高|46 97|100 107 26 2.4
2023-02-16|3564 其陽|通信網路|創高|42 3|100 101 15 10.2
2023-02-16|3611 鼎翰|電腦及週|創高|10 13|100 100 4 2.0
2023-02-16|6690 安碁資訊|數位雲端|爆量急漲|18 54|100 105 16 9.1
2023-02-16|8942 森鉅|其他|創高|-33 -30|98 101 1 1.6
2023-02-17|1514 亞力|電機機械|創高|24 35|98 101 9 1.9
2023-02-17|3563 牧德|光電業|爆量急漲|-20 -19|73 106 16 9.9
2023-02-17|3617 碩天|其他電子|爆量急漲|39 33|100 107 46 6.2
2023-02-17|3680 家登|半導體業|創高|-7 19|100 100 11 1.7
2023-02-17|4148 全宇生技-KY|生技醫療|爆量急漲|39 35|78 98 10 6.4
2023-02-17|5704 老爺知|觀光餐旅|創高|15 2|100 108 79 3.6
2023-02-17|6284 佳邦|電子零組|創高|-27 -16|94 102 14 4.7
2023-02-17|6561 是方|通信網路|創高+爆量急漲|6 9|100 108 11 15.8
2023-02-17|6752 叡揚|資訊服務|創高|31 29|100 104 71 5.1
2023-02-17|8043 蜜望實|電子零組|創高+爆量急漲|-33 -29|100 105 16 15.3
2023-02-17|8383 千附|半導體業|創高|-6 12|100 102 7 8.9
2023-02-20|1504 東元|電機機械|創高+爆量急漲|-3 2|96 104 5 7.7
2023-02-20|1527 鑽全|電機機械|創高|-37 -30|97 101 4 2.2
2023-02-20|1535 中宇|電機機械|爆量急漲|-19 -4|99 99 6 15.5
2023-02-20|1796 金穎生技|食品工業|爆量急漲|3 4|100 109 94 5.7
2023-02-20|2208 台船|航運業|爆量急漲|-7 5|100 108 26 5.2
2023-02-20|2352 佳世達|電腦及週|創高|-23 -16|95 101 4 1.8
2023-02-20|2457 飛宏|電子零組|創高+爆量急漲|-33 -13|96 109 17 5.9
2023-02-20|3011 今皓|電子零組|爆量急漲|-52 -47|82 107 7 8.4
2023-02-20|3049 精金|光電業|爆量急漲|-65 -44|71 93 -7 6.9
2023-02-20|3078 僑威|電子零組|創高|-31 -24|90 100 0 3.2
2023-02-20|3224 三顧|電子通路|爆量急漲|-32 -42|84 93 22 16.3
2023-02-20|3416 融程電|電腦及週|爆量急漲|7 13|100 110 22 14.2
2023-02-20|3594 磐儀|電腦及週|爆量急漲|1 20|100 110 49 7.0
2023-02-20|4564 元翎|電機機械|爆量急漲|-36 -38|69 83 -5 7.3
2023-02-20|4977 眾達-KY|通信網路|創高|77 84|100 101 30 2.0
2023-02-20|6112 邁達特|資訊服務|創高|23 7|100 100 13 5.8
2023-02-20|6205 詮欣|電子零組|創高+爆量急漲|3 3|100 108 15 6.9
2023-02-20|6288 聯嘉|汽車工業|創高|-8 -3|94 109 11 7.4
2023-02-20|6414 樺漢|電腦及週|創高|23 27|97 101 3 1.9
2023-02-20|6667 信紘科|其他電子|爆量急漲|-10 3|80 83 -10 5.1
2023-02-20|6691 洋基工程|其他電子|爆量急漲|12 23|100 105 58 5.4
2023-02-20|6854 錼創科技-KY創|半導體業|爆量急漲|42 37|na na na 5.5
2023-02-20|8016 矽創|半導體業|創高|-45 -41|91 102 26 2.4
2023-02-20|8383 千附|半導體業|爆量急漲|-6 12|100 108 14 24.6
2023-02-20|8927 北基|油電燃氣|創高+爆量急漲|11 9|100 105 17 8.8
2023-02-21|1506 正道|電機機械|創高|-8 -4|100 107 38 4.8
2023-02-21|2049 上銀|電機機械|創高|-40 -26|91 100 15 4.3
2023-02-21|2476 鉅祥|電子零組|爆量急漲|-24 -5|85 85 -9 5.9
2023-02-21|3362 先進光|光電業|創高|-36 -32|100 100 17 4.2
2023-02-21|4119 旭富|生技醫療|爆量急漲|43 64|100 110 32 5.4
2023-02-21|5289 宜鼎|電腦及週|創高|-19 -13|100 101 16 2.8
2023-02-21|5371 中光電|光電業|創高|-36 -32|94 101 1 2.0
2023-02-21|6165 浪凡|數位雲端|創高|2 -3|94 104 30 18.5
2023-02-21|6168 宏齊|光電業|爆量急漲|-28 -27|89 106 11 13.4
2023-02-21|6570 維田|電腦及週|爆量急漲|-21 -5|97 97 21 5.7
2023-02-21|6670 復盛應用|運動休閒|創高|-10 20|100 101 13 2.0
2023-02-22|1473 台南|紡織纖維|創高|1 5|100 103 17 5.0
2023-02-22|1506 正道|電機機械|爆量急漲|-8 -4|100 109 37 8.3
2023-02-22|3416 融程電|電腦及週|創高|7 13|100 101 24 7.2
2023-02-22|3481 群創|光電業|創高|-48 -42|92 102 32 2.9
2023-02-22|3673 TPK-KY|光電業|爆量急漲|-29 -22|88 91 -7 12.2
2023-02-22|4190 佐登-KY|生技醫療|創高|0 3|100 101 23 3.5
2023-02-22|4911 德英|生技醫療|爆量急漲|615 559|96 96 20 5.1
2023-02-22|6579 研揚|電腦及週|創高|3 -1|100 101 10 1.6
2023-02-22|8433 弘帆|居家生活|創高|-10 -14|100 100 20 6.3
2023-02-23|1210 大成|食品工業|創高|-8 6|94 101 4 4.8
2023-02-23|1535 中宇|電機機械|創高|-19 -4|100 100 0 6.0
2023-02-23|1593 祺驊|運動休閒|創高|24 42|100 104 33 3.0
2023-02-23|2243 宏旭-KY|汽車工業|爆量急漲|5476 1797|99 102 23 6.2
2023-02-23|2399 映泰|電腦及週|爆量急漲|-21 -39|73 107 11 7.3
2023-02-23|2480 敦陽科|資訊服務|創高|4 -3|98 101 7 1.9
2023-02-23|2504 國產|建材營造|創高|-27 -12|90 101 9 1.6
2023-02-23|2605 新興|航運業|爆量急漲|28 10|74 101 1 7.1
2023-02-23|2734 易飛網|觀光餐旅|爆量急漲|877 418|92 99 12 8.9
2023-02-23|2736 富野|觀光餐旅|創高+爆量急漲|36 4|95 107 13 10.9
2023-02-23|4147 中裕|生技醫療|創高+爆量急漲|86 344|100 107 31 7.6
2023-02-23|5258 虹堡|電腦及週|爆量急漲|10 40|100 107 32 5.9
2023-02-23|5457 宣德|電子零組|爆量急漲|-44 -40|83 89 -2 5.7
2023-02-23|5464 霖宏|電子零組|創高+爆量急漲|-24 -17|100 109 26 10.4
2023-02-23|5704 老爺知|觀光餐旅|爆量急漲|15 2|100 107 122 7.9
2023-02-23|6101 寬魚國際|文化創意|創高+爆量急漲|40866 13608|100 105 90 8.3
2023-02-23|6570 維田|電腦及週|創高|-21 -5|100 102 25 9.5
2023-02-23|6733 博晟生醫|生技醫療|創高+爆量急漲|73 128|100 106 28 19.7
2023-02-23|8924 大田|運動休閒|創高+爆量急漲|-28 -8|92 102 6 9.5
2023-02-23|8938 明安|運動休閒|爆量急漲|-26 8|93 93 10 6.1
2023-02-24|2388 威盛|半導體業|爆量急漲|-27 10|98 98 20 5.4
2023-02-24|2420 新巨|電子零組|創高|-15 -10|100 101 4 3.5
2023-02-24|2601 益航|航運業|爆量急漲|-15 -25|78 99 3 15.3
2023-02-24|2606 裕民|航運業|爆量急漲|-15 -22|94 108 53 5.7
2023-02-24|2739 寒舍|觀光餐旅|爆量急漲|48 47|100 110 106 22.1
2023-02-24|2852 第一保|金融保險|創高|5 2|100 100 14 1.6
2023-02-24|3033 威健|電子通路|創高|-30 -16|91 100 3 1.6
2023-02-24|3653 健策|電子零組|創高|4 26|100 102 11 3.8
2023-02-24|4923 力士|半導體業|爆量急漲|-42 -27|na 104 4 11.9
2023-02-24|5289 宜鼎|電腦及週|爆量急漲|-19 -13|100 110 28 9.4
2023-02-24|5534 長虹|建材營造|創高|-95 16|100 101 4 1.8
2023-02-24|5608 四維航|航運業|爆量急漲|-40 -37|63 95 -5 8.2
2023-02-24|6669 緯穎|電腦及週|創高|29 44|96 103 23 4.9
2023-02-24|6811 宏碁資訊|數位雲端|爆量急漲|10 12|na 109 16 5.5
2023-02-24|8088 品安|半導體業|爆量急漲|-14 -14|100 107 29 9.1
2023-02-24|8938 明安|運動休閒|創高|-26 8|100 101 19 13.4
