# 2025-04 事件流(160 事件,按日排序)。欄位:日期|代碼 名稱|產業|事件|最新YoY 3月YoY|距52高% 距120高% 120日漲% 量能x
2025-04-24|6482 弘煜科|文化創意|創高|17 14|100 102 42 5.8
2025-04-25|3297 杭特|光電業|創高|24 17|91 103 42 2.5
2025-04-25|3356 奇偶|光電業|爆量急漲|-6 -19|77 85 -6 7.0
2025-04-25|3570 大塚|資訊服務|創高|88 64|100 106 44 3.5
2025-04-25|6499 益安|生技醫療|創高|107 117|94 102 7 3.7
2025-04-25|6752 叡揚|資訊服務|創高+爆量急漲|34 21|100 104 44 5.0
2025-04-25|7714 創泓科技|數位雲端|爆量急漲|160 92|na na na 5.2
2025-04-28|3219 倚強科|其他電子|爆量急漲|97 114|54 67 -18 5.9
2025-04-28|6151 晉倫|其他電子|爆量急漲|23 20|53 53 -44 5.3
2025-04-29|2390 云辰|其他電子|爆量急漲|-0 27|78 81 -17 5.4
2025-04-29|3047 訊舟|通信網路|爆量急漲|68 32|52 66 -29 14.0
2025-04-29|4174 浩鼎|生技醫療|爆量急漲|-9 25|44 59 -40 5.4
2025-04-29|5210 寶碩|資訊服務|爆量急漲|7 -7|70 87 -11 5.4
2025-04-29|6113 亞矽|電子通路|創高+爆量急漲|-11 -8|91 106 17 7.6
2025-04-29|8089 康全電訊|通信網路|爆量急漲|139 23|46 58 -20 5.9
2025-04-30|2745 五福|觀光餐旅|爆量急漲|16 23|74 87 1 6.0
2025-04-30|4561 健椿|電機機械|爆量急漲|-4 -23|63 64 -24 5.6
2025-04-30|8374 羅昇|電機機械|爆量急漲|47 62|62 64 -24 6.2
2025-04-30|9919 康那香|其他|爆量急漲|-1 -0|73 79 -11 5.8
