date,nav,cash,active,turnover,requested_turnover,commission,tax,slippage_cost,blocked_orders,partial_orders,filled_orders
2014-04-10,2265913.9689473487,45.376378243895545,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-04-11,2280492.8714632317,24.667128469374802,5,0.2118896964190745,0.21242830188046827,304.55373006826983,716.9186413310982,241.37237956468147,1,1,5
2014-04-14,2271425.141645675,24.667128469374802,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-04-15,2297815.1626326176,42.565722682353226,3,0.5174704189465257,0.5185216955293118,674.7971530168113,1779.490260634985,296.144897589941,0,1,5
2014-04-16,2262870.700678163,65.76348539572791,5,0.5183655467737482,0.519766583489849,675.0207349379771,1780.0878145682686,595.3467365893682,0,1,5
2014-04-17,2264484.3755047545,65.76348539572791,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-04-18,2311666.021762925,65.76348539572791,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-04-21,2295424.4599601026,65.76348539572791,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-04-22,2333574.4573875233,63.52359464808069,4,0.5293912020381435,0.5307891640616262,723.6198216949226,1826.183114618142,626.7874787867618,1,1,5
2014-04-23,2332913.089807731,19.66967246223885,5,0.5529139629986336,0.5540961247908678,787.123480065457,1974.3786282796775,648.7970892868091,0,1,6
2014-04-24,2329865.259038654,45.695073102832225,5,0.3344271119342462,0.335312729316193,483.93371979477695,1176.3654903197637,394.30138374377975,1,1,5
2014-04-25,2254696.4622428874,18.256871253659483,4,0.32364866788964286,0.3245526828204314,464.1300435274269,1133.2385583606006,198.45297280475944,1,1,4
2014-04-28,2272221.1524153315,14.057147359621013,5,0.518371745086735,0.5196543012339123,708.1315862386476,1749.7608331458564,589.732245648099,0,1,6
2014-04-29,2280041.531190328,36.50088994868065,5,0.2772414432753632,0.2781460818076178,397.6377474354773,954.3423334318877,330.72164799788015,1,1,5
2014-04-30,2282222.224122026,66.25817807862711,5,0.23952696378433608,0.2402421258308514,382.02788354332495,821.6264405408134,278.4935830790191,0,1,6
2014-05-02,2333473.311893316,5.366884652350564,6,0.6009088444479541,0.6024031088213824,512.7900970151807,2102.032840887315,743.4458434965109,0,1,7
2014-05-05,2315643.0903334483,5.366884652350564,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-06,2371967.304391263,5.366884652350564,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-07,2442305.823877813,5.366884652350564,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-08,2439092.6428721864,5.366884652350564,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-09,2371037.815677991,5.366884652350564,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-12,2294960.507228137,5.366884652350564,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-13,2335029.6662304234,586711.5715671028,4,0.26274492640937713,0.26288467416212663,418.1495623018497,1802.4661660150916,337.78038943442004,0,0,6
2014-05-14,2368006.7072193534,242165.94025910326,5,0.146309681087648,0.14623354382283782,266.75806498358935,0.0,179.1573294794281,0,0,5
2014-05-15,2379920.8051663446,42.93563025880212,6,0.13590649921501258,0.13627045975300062,244.82260000410324,117.85457034103977,163.08801130855917,0,1,6
2014-05-16,2397094.567839358,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-19,2407794.868590308,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-20,2431605.631747248,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-21,2430078.1874808697,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-22,2503479.636647555,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-23,2552584.1576493634,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-26,2592297.430067015,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-27,2662121.4145817906,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-28,2668644.4533794597,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-29,2644123.073208459,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-05-30,2612076.1607027054,42.93563025880212,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-03,2661293.506132384,69.68336808634194,6,0.18186569332451785,0.18235752530257807,190.45449964940934,717.8962097061681,239.25708646987036,0,1,7
2014-06-04,2734406.990931457,69.68336808634194,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-05,2770152.2320883675,69.68336808634194,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-06,2724075.3747652937,69.68336808634194,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-09,2682741.554959504,69.68336808634194,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-10,2709931.4997023777,69.68336808634194,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-11,2669326.816218497,69.68336808634194,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-12,2655590.54896387,515784.46533768927,5,0.23544659304244467,0.2354421670716813,252.653706663772,1710.7829093846285,31.286556679010403,0,0,6
2014-06-13,2654462.418333997,84670.42962129215,6,0.1686427339951387,0.16856002132295045,326.3530493107276,23.89702935267725,227.05699652096374,1,0,5
2014-06-16,2679701.607168821,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-17,2682178.113563183,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-18,2653572.0712179504,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-19,2690020.492266772,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-20,2682287.649679235,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-23,2635434.141784267,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-24,2644579.3151091826,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-25,2643747.2150577037,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-26,2643425.391977171,84670.42962129215,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-06-27,2636560.8444043687,472593.58673156286,5,0.1650237691974788,0.16510037709512276,320.73309086641325,1239.5270687166958,226.4942921778537,0,0,6
2014-06-30,2654516.0080595096,50324.29363445791,6,0.1635448268174678,0.16346148158240745,322.13329793754656,16.25774191431113,225.96879959741094,1,0,5
2014-07-01,2649451.9556388,50324.29363445791,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-02,2670922.061471579,50324.29363445791,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-03,2703554.1693738373,50324.29363445791,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-04,2694504.679521771,50324.29363445791,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-07,2720625.52273809,51598.81162222268,6,0.024954790395460252,0.02495508517674621,120.0,103.01693788862241,33.64616919758261,0,0,6
2014-07-08,2701359.7372507383,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-09,2736608.1525827344,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-10,2732618.9460220025,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-11,2690978.753286542,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-14,2703492.347307532,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-15,2714252.15300455,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-16,2659700.583071949,51598.81162222268,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-17,2607251.1456645536,355547.5209814402,6,0.14285478658265055,0.14291423909515502,181.71841092125806,1016.3920077477544,188.8167845214132,0,0,6
2014-07-18,2563476.080005753,955.0407568515611,6,0.14665421021077318,0.146650998492694,206.29376255730045,32.53038748313774,16.914986186000718,0,0,7
2014-07-21,2564821.1459274413,955.0407568515611,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-22,2587771.9575608606,955.0407568515611,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-24,2652981.8526326963,955.0407568515611,6,0.0,0.0,0.0,0.0,0.0,0,0,0
