"109年04月20日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"光電類指數","33.68","+","0.35","1.05","",
"通信網路類指數","121.15","+","0.05","0.04","",
"電子零組件類指數","104.26","+","0.36","0.35","",
"電子通路類指數","114.57","+","0.39","0.34","",
"資訊服務類指數","116.72","+","0.69","0.59","",
"其他電子類指數","75.18","+","0.30","0.40","",
"建材營造類指數","276.48","+","0.50","0.18","",
"航運類指數","54.73","-","0.09","-0.16","",
"觀光類指數","76.62","+","0.26","0.34","",
"金融保險類指數","1,196.78","-","7.82","-0.65","",
"貿易百貨類指數","245.56","+","0.40","0.16","",
"油電燃氣類指數","106.44","-","1.09","-1.01","",
"其他類指數","229.43","+","4.47","1.99","",
"臺指日報酬兩倍指數","15,236.14","-","29.76","-0.19","",
"臺指反向一倍指數","7,025.14","+","6.84","0.10","",
"電子類兩倍槓桿指數","13,879.10","-","40.47","-0.29","",
"電子類反向指數","6,811.00","+","9.89","0.15","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,821.43","+","85.57","2.29","",
"臺灣中小型公司治理指數","5,257.80","-","10.45","-0.20","",
"臺灣IPO指數","4,889.96","+","30.70","0.63","",
"智慧中立指數","4,983.49","+","52.04","1.06","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","16,965.55","-","223.17","-1.30","",
"金融類日報酬反向一倍指數","6,837.83","+","44.10","0.65","",
"漲升股利150指數","5,753.65","+","6.15","0.11","",
"漲升股利100指數","5,749.90","+","4.13","0.07","",
"藍籌30指數","5,565.07","-","10.59","-0.19","",
"工業菁英30指數","5,812.69","-","6.61","-0.11","",
"電子菁英30指數","6,063.63","+","2.89","0.05","",
"低波動股利精選30指數","5,510.97","-","23.19","-0.42","",
"低貝塔100指數","5,498.57","+","1.10","0.02","",
"藍籌30反向一倍指數","8,294.10","+","15.72","0.19","",
"中小型精選50指數","5,376.12","-","0.33","-0.01","",
"中小型A級動能50指數","6,850.41","-","60.62","-0.88","",
"特選高息低波指數","4,996.43","+","13.97","0.28","",
"臺灣永續指數","5,281.80","-","18.85","-0.36","",
"工業菁英30反向一倍指數","9,129.02","+","10.36","0.11","",
"特選內需高收益指數","5,402.67","+","36.19","0.67","",
"價值投資指數","5,715.50","+","100.62","1.79","",
"中小型300指數","5,473.22","+","37.92","0.70","",
"臺灣勞工權益指數","5,094.68","-","20.18","-0.39","",
"智慧投資多因子30指數","4,684.41","+","20.55","0.44","",
"臺股期貨指數","4,603.76","-","37.35","-0.80","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","15,216.59","-","3.31","-0.02","",
"發行量加權股價報酬指數","19,796.34","-","19.32","-0.10","",
"臺灣公司治理100報酬指數","7,511.76","-","38.00","-0.50","",
"臺灣50報酬指數","15,692.46","-","69.63","-0.44","",
"臺灣50權重上限30%報酬指數","15,345.89","-","56.58","-0.37","",
"臺灣中型100報酬指數","13,535.66","+","75.84","0.56","",
"臺灣資訊科技股報酬指數","22,087.63","-","135.15","-0.61","",
"臺灣發達報酬指數","12,724.29","+","45.42","0.36","",
"臺灣高股息報酬指數","14,053.00","+","145.12","1.04","",
"臺灣就業99報酬指數","8,308.34","-","22.23","-0.27","",
"臺灣高薪100報酬指數","7,162.40","-","19.65","-0.27","",
"未含金融電子報酬指數","20,176.05","+","54.26","0.27","",
"小型股300報酬指數","7,041.72","+","41.86","0.60","",
"水泥類報酬指數","270.94","+","0.85","0.31","",
"食品類報酬指數","2,352.64","+","15.94","0.68","",
"塑膠類報酬指數","336.54","-","2.97","-0.87","",
"紡織纖維類報酬指數","636.21","+","4.47","0.71","",
"電機機械類報酬指數","240.00","+","2.37","1.00","",
"電器電纜類報酬指數","59.00","+","0.05","0.08","",
"化學生技醫療類報酬指數","126.78","+","1.37","1.09","",
"化學類報酬指數","138.95","+","0.34","0.25","",
"生技醫療類報酬指數","76.95","+","1.47","1.95","",
"玻璃陶瓷類報酬指數","27.67","+","0.07","0.25","",
"造紙類報酬指數","262.21","+","3.26","1.26","",
"鋼鐵類報酬指數","128.07","-","0.08","-0.06","",
"橡膠類報酬指數","311.58","+","0.65","0.21","",
"汽車類報酬指數","391.24","+","3.04","0.78","",
"電子工業類報酬指數","812.21","-","1.18","-0.15","",
"半導體類報酬指數","333.29","-","1.67","-0.50","",
"電腦及週邊設備類報酬指數","181.61","-","0.15","-0.08","",
"光電類報酬指數","45.23","+","0.48","1.07","",
"通信網路類報酬指數","228.92","+","0.11","0.05","",
"電子零組件類報酬指數","176.84","+","0.62","0.35","",
"電子通路類報酬指數","227.52","+","0.77","0.34","",
"資訊服務類報酬指數","230.98","+","1.36","0.59","",
"其他電子類報酬指數","106.54","+","0.42","0.40","",
"建材營造類報酬指數","478.31","+","0.88","0.18","",
"航運類報酬指數","73.93","-","0.13","-0.18","",
"觀光類報酬指數","98.55","+","0.33","0.34","",
"金融保險類報酬指數","1,826.72","-","11.93","-0.65","",
"貿易百貨類報酬指數","351.00","+","0.58","0.17","",
"油電燃氣類報酬指數","154.96","-","1.59","-1.02","",
"其他類報酬指數","353.32","+","6.88","1.99","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,018.78","+","89.99","2.29","",
"臺灣中小型公司治理報酬指數","6,042.09","-","12.01","-0.20","",
"臺灣IPO報酬指數","5,203.40","+","32.67","0.63","",
"智慧中立報酬指數","5,005.34","+","52.27","1.06","",
"加權指數掩護性臺指買權價外5%報酬指數","4,339.46","+","8.94","0.21","",
"臺灣5G報酬指數","4,777.24","-","1.50","-0.03","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,823.80","+","7.29","0.11","",
"漲升股利100報酬指數","6,839.40","+","4.91","0.07","",
"藍籌30報酬指數","6,340.25","-","12.05","-0.19","",
"工業菁英30報酬指數","6,630.55","-","7.55","-0.11","",
"電子菁英30報酬指數","6,852.99","+","3.26","0.05","",
"低波動股利精選30報酬指數","6,298.98","-","26.51","-0.42","",
"低貝塔100報酬指數","6,273.04","+","1.26","0.02","",
"中小型精選50報酬指數","6,276.54","-","0.38","-0.01","",
"中小型A級動能50報酬指數","7,452.79","-","65.95","-0.88","",
"特選高息低波報酬指數","5,816.57","+","16.27","0.28","",
"臺灣永續報酬指數","6,010.59","-","21.45","-0.36","",
"特選內需高收益報酬指數","6,014.49","+","40.28","0.67","",
"價值投資報酬指數","6,482.42","+","114.12","1.79","",
"存股雙十等權重報酬指數","5,090.98","-","14.25","-0.28","",
"特選大蘋果報酬指數","5,724.36","-","8.69","-0.15","",
"中小型300報酬指數","5,714.02","+","39.59","0.70","",
"特股高息20報酬指數","5,349.49","+","12.66","0.24","",
"臺灣500報酬指數","5,694.78","-","6.90","-0.12","",
"特選外資豐擁50報酬指數","5,722.16","-","20.18","-0.35","",
"臺灣勞工權益報酬指數","5,343.09","-","21.16","-0.39","",
"微波高息精選20報酬指數","4,690.46","-","1.04","-0.02","",
"特選世代行動通訊報酬指數","4,534.80","-","50.49","-1.10","",
"智慧投資多因子30報酬指數","4,703.36","+","20.64","0.44","",
"特選大蘋果報酬正向兩倍指數","7,416.67","-","22.55","-0.30","",
"特選大蘋果報酬反向一倍指數","10,952.75","+","16.58","0.15","",
"特選價值成長報酬指數","4,441.32","+","30.28","0.69","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

