"109年04月17日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬反向一倍指數","6,793.73","-","37.98","-0.56","",
"漲升股利150指數","5,747.50","+","75.87","1.34","",
"漲升股利100指數","5,745.77","+","79.93","1.41","",
"藍籌30指數","5,575.66","+","138.42","2.55","",
"工業菁英30指數","5,819.30","+","154.07","2.72","",
"電子菁英30指數","6,060.74","+","148.75","2.52","",
"低波動股利精選30指數","5,534.16","+","19.14","0.35","",
"低貝塔100指數","5,497.47","+","12.51","0.23","",
"藍籌30反向一倍指數","8,278.38","-","216.25","-2.55","",
"中小型精選50指數","5,376.45","+","76.05","1.43","",
"中小型A級動能50指數","6,911.03","+","99.43","1.46","",
"特選高息低波指數","4,982.46","+","3.88","0.08","",
"臺灣永續指數","5,300.65","+","132.47","2.56","",
"工業菁英30反向一倍指數","9,118.66","-","254.92","-2.72","",
"特選內需高收益指數","5,366.48","+","11.94","0.22","",
"價值投資指數","5,614.88","+","4.69","0.08","",
"中小型300指數","5,435.30","+","7.76","0.14","",
"臺灣勞工權益指數","5,114.86","+","125.36","2.51","",
"智慧投資多因子30指數","4,663.86","+","40.95","0.89","",
"臺股期貨指數","4,641.11","+","113.82","2.51","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","15,219.90","+","292.07","1.96","",
"發行量加權股價報酬指數","19,815.66","+","414.32","2.14","",
"臺灣公司治理100報酬指數","7,549.76","+","211.91","2.89","",
"臺灣50報酬指數","15,762.09","+","515.52","3.38","",
"臺灣50權重上限30%報酬指數","15,402.47","+","404.00","2.69","",
"臺灣中型100報酬指數","13,459.82","+","81.68","0.61","",
"臺灣資訊科技股報酬指數","22,222.78","+","1,117.09","5.29","",
"臺灣發達報酬指數","12,678.87","+","98.43","0.78","",
"臺灣高股息報酬指數","13,907.88","+","4.04","0.03","",
"臺灣就業99報酬指數","8,330.57","+","87.75","1.06","",
"臺灣高薪100報酬指數","7,182.05","+","106.44","1.50","",
"未含金融電子報酬指數","20,121.79","+","66.82","0.33","",
"小型股300報酬指數","6,999.86","-","7.25","-0.10","",
"水泥類報酬指數","270.09","+","1.06","0.39","",
"食品類報酬指數","2,336.70","+","3.41","0.15","",
"塑膠類報酬指數","339.51","+","2.21","0.66","",
"紡織纖維類報酬指數","631.74","-","0.29","-0.05","",
"電機機械類報酬指數","237.63","+","3.08","1.31","",
"電器電纜類報酬指數","58.95","+","0.11","0.19","",
"化學生技醫療類報酬指數","125.41","-","0.16","-0.13","",
"化學類報酬指數","138.61","+","0.47","0.34","",
"生技醫療類報酬指數","75.48","-","0.46","-0.61","",
"玻璃陶瓷類報酬指數","27.60","+","0.12","0.44","",
"造紙類報酬指數","258.95","+","0.72","0.28","",
"鋼鐵類報酬指數","128.15","","--","--","",
"橡膠類報酬指數","310.93","+","0.05","0.02","",
"汽車類報酬指數","388.20","+","0.01","--","",
"電子工業類報酬指數","813.39","+","26.82","3.41","",
"半導體類報酬指數","334.96","+","17.75","5.60","",
"電腦及週邊設備類報酬指數","181.76","+","0.52","0.29","",
"光電類報酬指數","44.75","+","0.68","1.54","",
"通信網路類報酬指數","228.81","+","1.91","0.84","",
"電子零組件類報酬指數","176.22","-","0.39","-0.22","",
"電子通路類報酬指數","226.75","+","1.86","0.83","",
"資訊服務類報酬指數","229.62","+","0.07","0.03","",
"其他電子類報酬指數","106.12","+","1.83","1.75","",
"建材營造類報酬指數","477.43","+","2.75","0.58","",
"航運類報酬指數","74.06","+","0.06","0.08","",
"觀光類報酬指數","98.22","-","0.17","-0.17","",
"金融保險類報酬指數","1,838.65","+","10.17","0.56","",
"貿易百貨類報酬指數","350.42","-","1.74","-0.49","",
"油電燃氣類報酬指數","156.55","+","0.95","0.61","",
"其他類報酬指數","346.44","+","1.78","0.52","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,928.79","-","6.44","-0.16","",
"臺灣中小型公司治理報酬指數","6,054.10","+","67.01","1.12","",
"臺灣IPO報酬指數","5,170.73","+","32.35","0.63","",
"智慧中立報酬指數","4,953.07","-","46.94","-0.94","",
"加權指數掩護性臺指買權價外5%報酬指數","4,330.52","+","67.48","1.58","",
"臺灣5G報酬指數","4,778.74","+","97.71","2.09","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,816.51","+","89.98","1.34","",
"漲升股利100報酬指數","6,834.49","+","95.08","1.41","",
"藍籌30報酬指數","6,352.30","+","157.70","2.55","",
"工業菁英30報酬指數","6,638.10","+","175.76","2.72","",
"電子菁英30報酬指數","6,849.73","+","168.12","2.52","",
"低波動股利精選30報酬指數","6,325.49","+","21.88","0.35","",
"低貝塔100報酬指數","6,271.78","+","14.27","0.23","",
"中小型精選50報酬指數","6,276.92","+","88.79","1.43","",
"中小型A級動能50報酬指數","7,518.74","+","108.17","1.46","",
"特選高息低波報酬指數","5,800.30","+","4.51","0.08","",
"臺灣永續報酬指數","6,032.04","+","150.75","2.56","",
"特選內需高收益報酬指數","5,974.21","+","13.30","0.22","",
"價值投資報酬指數","6,368.30","+","5.32","0.08","",
"存股雙十等權重報酬指數","5,105.23","+","68.61","1.36","",
"特選大蘋果報酬指數","5,733.05","+","107.47","1.91","",
"中小型300報酬指數","5,674.43","+","8.10","0.14","",
"特股高息20報酬指數","5,336.83","+","35.41","0.67","",
"臺灣500報酬指數","5,701.68","+","122.12","2.19","",
"特選外資豐擁50報酬指數","5,742.34","+","142.68","2.55","",
"臺灣勞工權益報酬指數","5,364.25","+","131.46","2.51","",
"微波高息精選20報酬指數","4,691.50","+","22.37","0.48","",
"特選世代行動通訊報酬指數","4,585.29","+","59.60","1.32","",
"智慧投資多因子30報酬指數","4,682.72","+","41.11","0.89","",
"特選大蘋果報酬正向兩倍指數","7,439.22","+","273.77","3.82","",
"特選大蘋果報酬反向一倍指數","10,936.17","-","212.99","-1.91","",
"特選價值成長報酬指數","4,411.04","-","5.86","-0.13","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

