"109年04月15日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","17,522.75","+","569.83","3.36","",
"金融類日報酬反向一倍指數","6,731.25","-","115.06","-1.68","",
"漲升股利150指數","5,715.36","+","61.10","1.08","",
"漲升股利100指數","5,708.88","+","61.71","1.09","",
"藍籌30指數","5,493.98","+","52.05","0.96","",
"工業菁英30指數","5,717.30","+","48.00","0.85","",
"電子菁英30指數","5,952.61","+","70.63","1.20","",
"低波動股利精選30指數","5,586.42","+","69.35","1.26","",
"低貝塔100指數","5,538.04","+","75.20","1.38","",
"藍籌30反向一倍指數","8,407.80","-","81.19","-0.96","",
"中小型精選50指數","5,307.43","+","59.24","1.13","",
"中小型A級動能50指數","6,795.61","+","104.52","1.56","",
"特選高息低波指數","5,013.15","+","72.87","1.48","",
"臺灣永續指數","5,211.86","+","51.78","1.00","",
"工業菁英30反向一倍指數","9,288.98","-","79.32","-0.85","",
"特選內需高收益指數","5,401.22","+","45.85","0.86","",
"價值投資指數","5,617.87","+","101.92","1.85","",
"中小型300指數","5,443.46","+","75.66","1.41","",
"臺灣勞工權益指數","5,032.69","+","52.42","1.05","",
"智慧投資多因子30指數","4,653.46","+","61.19","1.33","",
"臺股期貨指數","4,536.08","+","26.81","0.59","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","15,016.69","+","166.13","1.12","",
"發行量加權股價報酬指數","19,535.48","+","213.68","1.11","",
"臺灣公司治理100報酬指數","7,402.43","+","75.65","1.03","",
"臺灣50報酬指數","15,373.55","+","144.95","0.95","",
"臺灣50權重上限30%報酬指數","15,137.24","+","144.83","0.97","",
"臺灣中型100報酬指數","13,433.11","+","162.49","1.22","",
"臺灣資訊科技股報酬指數","21,191.12","+","166.77","0.79","",
"臺灣發達報酬指數","12,690.35","+","118.66","0.94","",
"臺灣高股息報酬指數","13,964.13","+","208.81","1.52","",
"臺灣就業99報酬指數","8,323.75","+","99.55","1.21","",
"臺灣高薪100報酬指數","7,146.08","+","73.03","1.03","",
"未含金融電子報酬指數","20,259.06","+","246.72","1.23","",
"小型股300報酬指數","7,013.51","+","120.63","1.75","",
"水泥類報酬指數","269.16","+","2.14","0.80","",
"食品類報酬指數","2,349.36","+","21.84","0.94","",
"塑膠類報酬指數","342.03","+","3.43","1.01","",
"紡織纖維類報酬指數","643.02","+","5.78","0.91","",
"電機機械類報酬指數","234.81","+","2.24","0.96","",
"電器電纜類報酬指數","59.55","+","0.26","0.44","",
"化學生技醫療類報酬指數","125.91","+","1.78","1.43","",
"化學類報酬指數","139.16","+","2.61","1.91","",
"生技醫療類報酬指數","75.78","+","0.71","0.95","",
"玻璃陶瓷類報酬指數","28.11","+","0.87","3.19","",
"造紙類報酬指數","258.43","+","6.02","2.39","",
"鋼鐵類報酬指數","129.62","+","1.71","1.34","",
"橡膠類報酬指數","315.57","+","0.73","0.23","",
"汽車類報酬指數","395.38","+","8.38","2.17","",
"電子工業類報酬指數","789.18","+","7.07","0.90","",
"半導體類報酬指數","318.33","+","2.58","0.82","",
"電腦及週邊設備類報酬指數","181.96","+","1.49","0.83","",
"光電類報酬指數","44.40","+","0.18","0.41","",
"通信網路類報酬指數","228.34","+","1.54","0.68","",
"電子零組件類報酬指數","176.28","+","3.61","2.09","",
"電子通路類報酬指數","225.53","+","3.12","1.40","",
"資訊服務類報酬指數","227.64","+","3.16","1.41","",
"其他電子類報酬指數","104.41","+","0.82","0.79","",
"建材營造類報酬指數","477.02","+","7.43","1.58","",
"航運類報酬指數","74.92","+","1.65","2.25","",
"觀光類報酬指數","99.96","+","4.29","4.48","",
"金融保險類報酬指數","1,856.19","+","30.68","1.68","",
"貿易百貨類報酬指數","354.47","+","1.37","0.39","",
"油電燃氣類報酬指數","157.12","+","1.75","1.13","",
"其他類報酬指數","348.87","+","4.68","1.36","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,898.53","+","40.09","1.04","",
"臺灣中小型公司治理報酬指數","5,988.67","+","92.38","1.57","",
"臺灣IPO報酬指數","5,190.35","+","61.22","1.19","",
"智慧中立報酬指數","5,026.10","+","44.87","0.90","",
"加權指數掩護性臺指買權價外5%報酬指數","4,290.66","+","3.78","0.09","",
"臺灣5G報酬指數","4,709.97","+","50.68","1.09","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,778.39","+","72.47","1.08","",
"漲升股利100報酬指數","6,790.61","+","73.40","1.09","",
"藍籌30報酬指數","6,259.25","+","59.30","0.96","",
"工業菁英30報酬指數","6,521.74","+","54.75","0.85","",
"電子菁英30報酬指數","6,727.52","+","79.83","1.20","",
"低波動股利精選30報酬指數","6,385.22","+","79.26","1.26","",
"低貝塔100報酬指數","6,318.07","+","85.79","1.38","",
"中小型精選50報酬指數","6,196.34","+","69.16","1.13","",
"中小型A級動能50報酬指數","7,393.18","+","113.72","1.56","",
"特選高息低波報酬指數","5,836.03","+","84.83","1.47","",
"臺灣永續報酬指數","5,931.00","+","58.93","1.00","",
"特選內需高收益報酬指數","6,012.87","+","51.03","0.86","",
"價值投資報酬指數","6,371.69","+","115.59","1.85","",
"存股雙十等權重報酬指數","5,074.95","+","72.36","1.45","",
"特選大蘋果報酬指數","5,657.97","+","68.18","1.22","",
"中小型300報酬指數","5,682.95","+","78.99","1.41","",
"特股高息20報酬指數","5,330.00","+","29.04","0.55","",
"臺灣500報酬指數","5,619.47","+","60.36","1.09","",
"特選外資豐擁50報酬指數","5,650.39","+","51.68","0.92","",
"臺灣勞工權益報酬指數","5,278.08","+","54.97","1.05","",
"微波高息精選20報酬指數","4,719.41","+","46.49","0.99","",
"特選世代行動通訊報酬指數","4,523.86","+","54.28","1.21","",
"智慧投資多因子30報酬指數","4,672.29","+","61.45","1.33","",
"特選大蘋果報酬正向兩倍指數","7,248.44","+","172.61","2.44","",
"特選大蘋果報酬反向一倍指數","11,085.70","-","136.88","-1.22","",
"特選價值成長報酬指數","4,417.47","+","59.11","1.36","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

