# 2025-04 月中(2025-04-11,上月月報甫公佈)全池量化快照(1174 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1710 東聯|化學工業|48 23 3|70 73 -5 -28|0.9 26|6 -4 0 -31 -0
1711 永光|化學工業|-7 5 -1|57 60 -22 -37|2.4 18|8 7 0 -54 -22
1712 興農|化學工業|-3 -2 -1|88 88 -2 -2|2.3 50|15 1 -1 -12 -30
1713 國化|化學工業|19 -6 -18|84 87 13 -4|1.7 25|5 0 0 -18 6
1717 長興|化學工業|-1 3 -1|75 79 -5 -20|2.0 49|15 -2 0 -8 0
1720 生達|生技醫療|5 4 -4|74 84 -8 -13|3.3 10|4 -11 0 -36 12
1721 三晃|化學工業|-0 -6 -14|42 46 -30 -54|1.2 11|7 0 0 -42 -4
1722 台肥|化學工業|12 2 10|77 83 -2 -12|2.4 58|11 1 -0 -21 -7
1723 中碳|化學工業|-19 -2 -1|73 90 -2 -11|3.2 21|8 -1 0 6 1
1727 中華化|化學工業|-25 4 -17|51 51 -25 -44|0.9 12|4 2 0 -44 6
1733 五鼎|生技醫療|44 30 10|78 83 -4 -1|2.0 14|8 17 0 -21 7
1736 喬山|運動休閒|17 34 6|83 83 -1 12|1.0 200|9 -7 0 -10 21
1760 寶齡富錦|生技醫療|5 -5 -8|58 69 -22 -28|2.0 6|12 14 0 -33 -9
1773 勝一|化學工業|6 5 -6|66 71 -20 -28|1.3 53|6 -23 -10 -39 106
1777 生泰|生技醫療|-3 16 -4|81 81 -7 -10|2.1 15|2 5 0 -2 -1
1783 和康生|生技醫療|82 40 17|73 73 -21 -9|1.1 6|9 -1 0 -62 -3
1784 訊聯|生技醫療|4 -2 -6|46 68 -14 -30|1.5 29|4 15 0 -21 -33
1785 光洋科|其他電子|41 39 5|66 71 -19 -25|1.1 472|13 5 -1 -20 -11
1786 科妍|生技醫療|5 5 -9|66 70 -15 -29|1.4 124|7 5 0 -22 -24
1789 神隆|生技醫療|-6 -23 -19|60 72 -19 -28|2.4 7|4 -4 0 -26 1
1795 美時|生技醫療|38 13 -4|63 73 -20 -19|2.0 230|57 1 1 -26 -8
1799 易威|生技醫療|58 154 -33|26 49 -5 -53|0.9 29|14 -6 0 na na
1802 台玻|玻璃陶瓷|-1 2 8|65 65 -14 -24|0.9 214|5 -1 -0 -51 -6
1808 潤隆|建材營造|-100 -90 -589|24 63 -16 -39|2.0 98|7 -8 0 -20 29
1809 中釉|玻璃陶瓷|7 -0 0|51 63 -22 -34|1.6 8|3 14 0 -32 -12
1810 和成|玻璃陶瓷|3 0 1|77 86 -4 -12|1.3 96|3 -3 -0 1 62
1815 富喬|電子零組|76 82 19|72 72 -2 11|0.2 974|3 1 0 -16 -33
1817 凱撒衛|玻璃陶瓷|18 15 2|92 92 12 9|0.8 8|4 -6 0 11 43
1903 士紙|造紙工業|-15 -3 5|67 81 -10 -19|2.0 8|11 -5 0 -7 -12
1904 正隆|造紙工業|5 3 -5|60 71 -7 -28|1.7 18|9 -10 0 -15 8
1905 華紙|造紙工業|-11 -7 -5|54 67 -20 -35|2.1 18|4 6 0 -30 -1
1907 永豐餘|造紙工業|2 3 -3|79 83 -11 -18|2.3 16|13 -12 -1 -2 4
2002 中鋼|鋼鐵工業|-11 -11 -7|80 83 8 -14|1.0 668|15 7 -2 -0 -17
2006 東和鋼鐵|鋼鐵工業|-4 1 4|82 84 1 -15|1.4 210|17 20 -3 133 -28
2009 第一銅|鋼鐵工業|10 -2 -19|55 70 -10 -24|0.4 176|1 -0 0 -39 6
2010 春源|鋼鐵工業|-0 10 -4|82 88 5 0|2.1 39|8 10 0 -11 -36
2014 中鴻|鋼鐵工業|-23 -37 -9|63 63 -8 -26|0.9 214|6 6 -2 -56 -15
2015 豐興|鋼鐵工業|-10 -7 -4|73 73 -6 -26|1.8 64|13 5 -14 -80 3
2020 美亞|鋼鐵工業|-8 -17 6|61 77 -13 -19|0.9 18|3 -7 0 -42 12
2023 燁輝|鋼鐵工業|7 -5 -2|89 89 4 -3|1.6 31|6 -4 -3 -50 -4
2027 大成鋼|鋼鐵工業|20 13 14|84 84 50 29|0.6 1628|25 16 -3 -14 -62
2029 盛餘|鋼鐵工業|17 15 4|76 85 -0 -11|1.4 13|67 0 0 21 -43
2030 彰源|鋼鐵工業|-5 -3 -1|76 77 -10 -21|1.1 7|3 -0 0 -11 -10
2031 新光鋼|鋼鐵工業|51 53 47|61 70 -7 -30|0.9 37|12 5 -3 -30 -3
2032 新鋼|鋼鐵工業|15 18 7|68 68 11 -12|0.3 19|3 11 0 -27 -12
2034 允強|鋼鐵工業|-3 19 13|74 74 6 -15|0.5 87|8 11 -0 -62 -18
2038 海光|鋼鐵工業|-5 16 7|66 73 -1 -23|0.5 14|2 4 0 -14 -2
2049 上銀|電機機械|0 6 4|53 53 -37 -11|0.6 1546|30 7 -8 -30 -42
2059 川湖|電子零組|78 110 23|71 71 -1 32|1.0 1690|24 5 -2 -13 -2
2061 風青|電器電纜|23 52 7|58 70 -3 -32|0.6 8|2 -0 0 -2 4
2062 橋椿|居家生活|-9 -20 -10|59 64 -24 -38|1.3 21|8 6 -2 -38 3
2065 世豐|鋼鐵工業|-14 1 -5|67 74 -17 -26|2.1 8|1 -15 0 12 91
2066 世德|電機機械|-6 -4 -3|52 63 -15 -27|1.1 30|12 6 -4 -26 -14
2069 運錩|鋼鐵工業|6 10 13|74 77 -4 -23|1.0 5|3 -4 0 -41 -2
2070 精湛|電機機械|9 -1 -19|41 45 -40 -59|0.8 10|5 29 0 -37 -33
2101 南港|橡膠工業|4 5 -79|55 69 -22 -28|2.0 87|7 -4 0 -11 26
2102 泰豐|橡膠工業|36 48 7|68 74 -12 -28|1.9 6|5 -25 0 -29 10
2103 台橡|橡膠工業|28 19 -2|72 74 -7 -28|1.7 17|25 -18 0 -0 -4
2104 國際中橡|橡膠工業|-17 -4 -5|57 65 -16 -36|1.2 20|9 -18 0 83 -0
2105 正新|橡膠工業|-3 -1 -1|84 93 1 -2|1.8 377|13 -11 4 -11 14
2106 建大|橡膠工業|2 7 6|70 79 -8 -21|3.1 10|9 -8 0 -34 -17
2107 厚生|橡膠工業|18 48 20|89 94 -1 -2|3.8 8|7 -9 0 23 -17
