market,fn_date,content_date,kind,bytes,path
twse,2016-01-26,2016-01-26,csv,103174,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_26.csv
twse,2016-01-27,2016-01-27,csv,103214,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_27.csv
twse,2016-01-28,2016-01-28,csv,102945,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_28.csv
twse,2016-01-29,2016-01-29,csv,103603,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_29.csv
twse,2016-01-30,2016-01-30,csv,101478,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_30.csv
twse,2016-01-04,2016-01-04,csv,103936,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_4.csv
twse,2016-01-05,2016-01-05,csv,104302,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_5.csv
twse,2016-01-06,2016-01-06,csv,104641,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_6.csv
twse,2016-01-07,2016-01-07,csv,104977,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_7.csv
twse,2016-01-08,2016-01-08,csv,104132,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_8.csv
twse,2016-02-01,2016-02-01,csv,102593,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_1.csv
twse,2016-02-10,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_10.csv
twse,2016-02-15,2016-02-15,csv,102750,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_15.csv
twse,2016-02-16,2016-02-16,csv,103284,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_16.csv
twse,2016-02-17,2016-02-17,csv,102948,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_17.csv
twse,2016-02-18,2016-02-18,csv,103100,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_18.csv
twse,2016-02-19,2016-02-19,csv,102731,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_19.csv
twse,2016-02-02,2016-02-02,csv,102911,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_2.csv
twse,2016-02-22,2016-02-22,csv,103160,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_22.csv
twse,2016-02-23,2016-02-23,csv,103248,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_23.csv
twse,2016-02-24,2016-02-24,csv,103281,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_24.csv
twse,2016-02-25,2016-02-25,csv,103409,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_25.csv
twse,2016-02-26,2016-02-26,csv,103294,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_26.csv
twse,2016-02-03,2016-02-03,csv,105607,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_2_3.csv
twse,2016-03-01,2016-03-01,csv,103185,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_1.csv
twse,2016-03-10,2016-03-10,csv,104012,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_10.csv
twse,2016-03-11,2016-03-11,csv,103998,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_11.csv
twse,2016-03-14,2016-03-14,csv,103272,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_14.csv
twse,2016-03-15,2016-03-15,csv,104195,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_15.csv
twse,2016-03-16,2016-03-16,csv,104185,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_16.csv
twse,2016-03-17,2016-03-17,csv,104201,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_17.csv
twse,2016-03-18,2016-03-18,csv,105729,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_18.csv
twse,2016-03-02,2016-03-02,csv,103777,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_2.csv
twse,2016-03-21,2016-03-21,csv,103705,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_21.csv
twse,2016-03-22,2016-03-22,csv,103599,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_22.csv
twse,2016-03-23,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_23.csv
twse,2016-03-24,2016-03-24,csv,104058,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_24.csv
twse,2016-03-25,2016-03-25,csv,103787,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_25.csv
twse,2016-03-28,2016-03-28,csv,104243,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_28.csv
twse,2016-03-29,2016-03-29,csv,104911,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_29.csv
twse,2016-03-03,2016-03-03,csv,103909,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_3.csv
twse,2016-03-30,2016-03-30,csv,103379,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_30.csv
twse,2016-03-31,2016-03-31,csv,102008,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_31.csv
twse,2016-03-04,2016-03-04,csv,104270,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_4.csv
twse,2016-03-06,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_6.csv
twse,2016-03-07,2016-03-07,csv,103662,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_7.csv
twse,2016-03-08,2016-03-08,csv,104841,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_8.csv
twse,2016-03-09,2016-03-09,csv,104040,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_3_9.csv
twse,2016-04-01,2016-04-01,csv,102249,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_1.csv
twse,2016-04-11,2016-04-11,csv,101214,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_11.csv
twse,2016-04-12,2016-04-12,csv,100878,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_12.csv
twse,2016-04-13,2016-04-13,csv,100431,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_13.csv
twse,2016-04-14,2016-04-14,csv,101587,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_14.csv
twse,2016-04-15,2016-04-15,csv,102025,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_15.csv
twse,2016-04-18,2016-04-18,csv,100799,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_18.csv
twse,2016-04-19,2016-04-19,csv,99654,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_19.csv
twse,2016-04-20,2016-04-20,csv,100971,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_20.csv
twse,2016-04-21,2016-04-21,csv,101344,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_21.csv
twse,2016-04-22,2016-04-22,csv,102491,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_22.csv
twse,2016-04-25,2016-04-25,csv,102170,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_25.csv
twse,2016-04-26,2016-04-26,csv,102324,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_26.csv
twse,2016-04-27,2016-04-27,csv,102304,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_27.csv
twse,2016-04-28,2016-04-28,csv,103617,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_28.csv
twse,2016-04-29,2016-04-29,csv,104066,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_29.csv
