出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/24","102/8","2002","中鋼","鋼鐵工業","29104924","29445806","28285973","-1.157658920934275","2.8952548317853517","231706532","249593414","-7.166407844399291","-"
"108/11/24","102/8","2006","東和鋼鐵","鋼鐵工業","2645591","2491924","2856591","6.1666005865347415","-7.386426688314848","22950281","27545598","-16.68258209533153","-"
"108/11/24","102/8","2007","燁興","鋼鐵工業","499417","479360","656671","4.18412049399199","-23.947151617781202","4191482","5781398","-27.500545715759408","-"
"108/11/24","102/8","2008","高興昌","鋼鐵工業","126089","111255","90341","13.333333333333334","39.570073388605394","822468","1782909","-53.86932255095465","-"
"108/11/24","102/8","2009","第一銅","鋼鐵工業","304806","286819","364578","6.271202395936113","-16.394845547454867","2461960","2989346","-17.64218661874537","-"
"108/11/24","102/8","2010","春源","鋼鐵工業","1651641","1719235","1818316","-3.9316323830075586","-9.166448516099512","13096497","16272368","-19.516956597835055","-"
"108/11/24","102/8","2012","春雨","鋼鐵工業","633403","736353","699245","-13.981066146264087","-9.416155996825147","5493540","5944082","-7.579673362514178","-"
"108/11/24","102/8","2013","中鋼構","鋼鐵工業","1602626","1906275","1568828","-15.92891896499718","2.154347066727519","13497334","12610880","7.029279479306758","-"
"108/11/24","102/8","2014","中鴻","鋼鐵工業","3210275","3183950","2903312","0.8268031847233782","10.572856103649901","26856768","29426320","-8.732155430920345","-"
"108/11/24","102/8","2015","豐興","鋼鐵工業","2486815","2603812","2411221","-4.493296751071122","3.1350921379666152","19986286","23247269","-14.02738102269131","-"
"108/11/24","102/8","2017","官田鋼","鋼鐵工業","526441","523494","490749","0.5629481904281616","7.272964387089938","4088972","4296975","-4.840684434980422","-"
"108/11/24","102/8","2020","美亞","鋼鐵工業","537644","457487","445665","17.52115360655057","20.63859625503461","3503592","3737535","-6.259285866219313","-"
"108/11/24","102/8","2022","聚亨","鋼鐵工業","900505","910096","673316","-1.053844869112709","33.74180919508819","7316784","7330491","-0.18698611048018476","-"
"108/11/24","102/8","2023","燁輝","鋼鐵工業","4712175","4348229","4483071","8.36998235373528","5.110425420431664","36316131","38802489","-6.407728122801607","-"
"108/11/24","102/8","2024","志聯","鋼鐵工業","172796","172854","160148","-0.033554329086975136","7.89769463246497","1325531","1399143","-5.261220618621542","-"
"108/11/24","102/8","2025","千興","鋼鐵工業","355813","304123","252204","16.99641263567701","41.08142614708728","2605897","1917142","35.926133797079196","-"
"108/11/24","102/8","2027","大成鋼","鋼鐵工業","3346232","3191417","3325987","4.850979987886259","0.608691495186241","25488658","27946993","-8.796420423478118","-"
"108/11/24","102/8","2028","威致","鋼鐵工業","602697","829204","939435","-27.316197220466858","-35.84473646393843","6730584","6705833","0.3690965760704151","-"
"108/11/24","102/8","2029","盛餘","鋼鐵工業","1282046","1225713","1075844","4.5959372218455705","19.16653343793338","9739314","10945283","-11.018161887636893","-"
"108/11/24","102/8","2030","彰源","鋼鐵工業","1080050","1106450","1230864","-2.386009309051471","-12.252694042558723","8870985","10485916","-15.400953049786018","-"
"108/11/24","102/8","2031","新光鋼","鋼鐵工業","737914","686822","556369","7.438899744038484","32.630322681529705","5869420","5091173","15.286202217052926","-"
"108/11/24","102/8","2032","新鋼","鋼鐵工業","309333","321598","341757","-3.8137674985540957","-9.487442832187783","2403094","2821690","-14.834939344860704","-"
"108/11/24","102/8","2033","佳大","鋼鐵工業","62779","66407","80220","-5.463279473549475","-21.74146098229868","574442","721576","-20.390644921671452","-"
