# 2023-08-01 全池(1185 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1537 廣隆|電機機械|-24 -21 -66|100 100 2 3|1.1 13|17 14 1 -6 1|PB位16 PE位78 殖6.9|益12.9→10.9
1539 巨庭|電機機械|-47 -39 11|58 83 -3 -5|0.5 6|1 -6 0 -7 -7|PB位57 PE位34 殖9.0|益7.4→0.1
1540 喬福|電機機械|63 31 -54|87 87 7 14|0.4 10|2 -0 0 23 -13|PB位91 PE位33 殖3.5|益15.9→9.7
1558 伸興|電機機械|-18 2 -9|85 89 -1 -7|0.9 9|7 -6 0 2 -4|PB位1 PE位79 殖5.2|益5.3→4.4
1560 中砂|電機機械|-22 -15 -15|83 90 27 16|1.7 878|8 -2 -0 49 48|PB位79 PE位75 殖2.9|益20.7→13.5
1565 精華|生技醫療|-31 -11 1|80 80 -12 -16|0.6 46|17 -41 -0 22 -12|PB位4 PE位16 殖6.2|益21.4→17.5
1568 倉佑|汽車工業|-10 -3 11|84 92 12 6|0.4 9|2 -4 0 -18 2|PB位64 PE位21 殖4.4|益8.6→9.3
1569 濱川|電腦及週|-38 -31 -4|89 97 4 7|1.7 5|3 1 0 6 -10|PB位34 PE位100 殖8.0|益7.4→-15.2
1580 新麥|電機機械|7 14 15|97 97 31 49|0.7 27|8 0 0 11 -21|PB位98 PE位98 殖4.6|益14.0→19.5
1582 信錦|電子零組|-32 -22 2|88 96 1 -1|1.2 9|7 -34 0 2 17|PB位1 PE位44 殖5.2|益3.5→2.2
1584 精剛|其他|34 56 -6|81 81 -12 46|0.3 153|2 -4 -0 -13 11|PB位90 PE位31 殖2.1|益7.8→4.5
1589 永冠-KY|電機機械|-32 3 -12|68 68 -30 -18|0.6 74|12 2 -6 -8 -31|PB位21 PE位na 殖0.0|益1.0→4.6
1590 亞德客-KY|電機機械|10 11 6|78 78 -10 -9|1.7 544|76 -10 -1 36 29|PB位21 PE位54 殖1.4|益28.9→29.6
1591 駿吉-KY|電機機械|-96 -96 na|96 96 48 107|1.5 83|17 -4 0 63 95|PB位100 PE位100 殖1.2|益16.2→-90.8
1597 直得|電機機械|-54 -34 -12|80 80 -11 -8|0.6 6|4 -12 0 4 6|PB位12 PE位11 殖2.9|益23.0→14.5
1598 岱宇|運動休閒|-2 10 23|73 73 -10 -14|0.4 14|5 -11 -0 -3 17|PB位7 PE位na 殖1.4|益-5.4→-1.7
1603 華電|電器電纜|13 26 -18|93 93 34 35|1.1 82|4 -2 0 78 9|PB位96 PE位60 殖1.4|益9.3→8.8
1604 聲寶|電器電纜|4 1 5|84 84 5 10|0.4 25|9 -1 0 300 -2|PB位52 PE位88 殖5.4|益6.3→8.5
1605 華新|電器電纜|-0 -2 -6|72 72 -16 -22|0.5 896|22 -5 -4 -8 -70|PB位68 PE位38 殖4.5|益5.3→5.4
1608 華榮|電器電纜|-24 -18 -8|88 88 29 36|0.4 75|2 -4 0 5 -6|PB位76 PE位72 殖1.9|益3.2→6.5
1609 大亞|電器電纜|-6 -10 -2|95 95 23 60|0.4 1279|10 -1 0 -7 -15|PB位91 PE位3 殖1.6|益3.2→4.4
1611 中電|電器電纜|-18 -21 -6|85 85 1 26|0.3 52|10 -3 -0 -15 25|PB位74 PE位70 殖1.7|益5.7→6.2
1612 宏泰|電器電纜|20 3 3|95 95 34 41|1.5 84|14 5 0 -7 -26|PB位57 PE位88 殖5.7|益8.2→11.0
1616 億泰|電器電纜|19 17 6|93 93 11 38|0.7 7|2 -6 0 na na|PB位80 PE位78 殖0.0|益3.1→5.6
1618 合機|電器電纜|253 134 68|93 93 49 85|2.3 325|3 -1 -0 -0 96|PB位99 PE位97 殖2.2|益7.8→11.0
1701 中化|生技醫療|3 2 -7|68 89 -8 -8|0.5 29|10 -13 0 -10 -20|PB位40 PE位72 殖3.3|益4.5→na
1702 南僑|食品工業|6 11 4|97 97 1 10|1.8 17|11 1 -1 30 -3|PB位42 PE位98 殖4.1|益4.4→4.1
1707 葡萄王|生技醫療|7 -2 -7|97 97 1 9|2.1 50|20 -4 0 45 5|PB位48 PE位41 殖3.8|益24.6→21.5
1708 東鹼|化學工業|-38 -27 -43|71 82 -10 -12|0.7 49|6 -6 -0 2 15|PB位38 PE位30 殖8.7|益21.8→-7.4
1709 和益|化學工業|-4 -5 -7|93 93 -5 9|0.8 17|4 12 -1 -2 -5|PB位68 PE位68 殖7.1|益9.7→5.3
1710 東聯|化學工業|3 -3 15|95 95 4 19|1.2 60|11 -4 -1 -18 12|PB位84 PE位24 殖0.9|益-5.2→-2.5
1711 永光|化學工業|-15 -18 -5|94 94 -1 11|0.5 68|7 -3 -0 4 18|PB位69 PE位75 殖1.7|益4.3→2.8
1712 興農|化學工業|-31 -25 -25|86 91 -1 1|0.8 20|13 -2 2 18 -1|PB位85 PE位28 殖7.7|益8.8→8.4
1717 長興|化學工業|-17 -18 -3|90 90 -4 -2|0.8 34|14 -10 -0 -2 1|PB位18 PE位80 殖3.9|益6.7→2.5
1720 生達|生技醫療|-9 3 -21|83 83 -14 13|0.5 60|7 -10 -1 -14 3|PB位91 PE位68 殖3.9|益19.1→22.5
1721 三晃|化學工業|-39 -41 -24|80 80 -13 -7|0.3 12|1 2 0 -2 -16|PB位53 PE位na 殖0.7|益1.1→-9.0
1722 台肥|化學工業|198 64 53|99 99 9 14|0.9 104|12 -0 0 80 -3|PB位73 PE位84 殖3.9|益-3.2→-1.3
1723 中碳|化學工業|-31 -30 -28|97 97 1 6|0.8 41|9 -16 -0 -18 71|PB位23 PE位22 殖4.5|益17.1→16.7
1727 中華化|化學工業|-26 -24 -14|79 79 -17 29|0.6 52|1 -2 0 -12 -6|PB位67 PE位68 殖2.1|益2.9→-0.2
1731 美吾華|生技醫療|-11 11 11|87 87 0 14|0.4 9|4 8 0 -13 50|PB位86 PE位88 殖5.1|益16.0→18.9
1733 五鼎|生技醫療|-31 -31 -22|93 93 -1 10|0.4 8|5 -14 0 -13 -8|PB位79 PE位39 殖5.3|益7.9→9.6
1734 杏輝|生技醫療|-7 2 -13|88 88 1 8|0.5 44|7 -31 0 2 17|PB位54 PE位4 殖3.0|益6.9→11.4
1736 喬山|運動休閒|44 31 17|94 99 21 10|1.2 133|8 -1 0 39 -27|PB位78 PE位na 殖0.8|益-0.6→-8.4
1737 臺鹽|食品工業|2 -1 8|97 97 3 6|0.9 12|9 8 0 14 5|PB位96 PE位66 殖4.3|益12.3→14.9
1752 南光|生技醫療|2 11 -15|78 78 -19 9|0.6 60|3 -1 0 -2 16|PB位84 PE位4 殖3.8|益16.6→17.6
1760 寶齡富錦|生技醫療|-48 -42 -33|60 60 -32 -34|1.0 156|13 1 -1 -28 -6|PB位36 PE位36 殖1.8|益17.3→2.8
1762 中化生|生技醫療|-45 1 -21|73 73 -24 20|0.4 103|8 -10 -0 -9 10|PB位34 PE位61 殖1.8|益21.9→26.9
1773 勝一|化學工業|-24 -23 -6|92 98 11 4|1.1 28|5 7 0 7 -19|PB位79 PE位85 殖2.6|益18.5→17.9
1783 和康生|生技醫療|0 13 -4|90 90 -10 22|2.0 77|7 0 -1 -13 7|PB位92 PE位8 殖1.6|益21.3→26.2
1784 訊聯|生技醫療|33 22 7|93 93 -1 54|0.7 61|5 -0 0 26 9|PB位99 PE位20 殖1.0|益5.8→10.3
1785 光洋科|其他電子|-25 -15 13|96 96 8 10|1.1 105|7 -2 0 0 1|PB位20 PE位40 殖4.0|益6.3→4.1
1786 科妍|生技醫療|26 41 8|91 91 18 46|1.1 88|3 -7 0 57 3|PB位97 PE位97 殖2.3|益24.2→34.6
1789 神隆|生技醫療|28 0 -14|97 97 18 24|1.0 95|4 -5 0 16 70|PB位96 PE位71 殖1.1|益12.4→7.5
1795 美時|生技醫療|6 53 6|86 86 5 20|0.6 2565|73 -6 0 34 -28|PB位94 PE位36 殖1.2|益28.1→36.8
1796 金穎生技|食品工業|43 51 21|64 64 -27 36|0.2 10|2 -5 -5 -10 23|PB位89 PE位43 殖1.6|益16.1→21.1
1802 台玻|玻璃陶瓷|1 2 15|85 91 11 -8|3.6 102|8 -8 -0 153 -10|PB位52 PE位na 殖0.0|益-1.7→-12.0
1806 冠軍|玻璃陶瓷|-9 -1 12|87 87 10 10|0.2 13|8 -0 2 -9 -8|PB位55 PE位na 殖0.0|益8.2→2.4
1808 潤隆|建材營造|1479 1910 1360|96 96 10 14|0.8 27|3 19 0 6 -1|PB位98 PE位78 殖0.7|益8.8→36.0
1809 中釉|玻璃陶瓷|-13 -10 -15|93 93 1 9|1.1 25|3 2 0 -16 -10|PB位93 PE位67 殖1.6|益-0.4→-6.0
1810 和成|玻璃陶瓷|-10 -2 8|76 76 -20 13|0.3 45|3 5 0 -3 -20|PB位90 PE位93 殖0.9|益2.0→-0.9
1815 富喬|電子零組|-38 -39 -18|98 98 30 24|4.8 33|2 -1 0 17 40|PB位69 PE位na 殖1.9|益4.8→-5.0
1903 士紙|造紙工業|-5 14 20|89 89 51 37|4.7 38|12 0 0 18 14|PB位66 PE位40 殖0.0|益-62.5→-62.7
1904 正隆|造紙工業|-4 -10 -1|97 97 6 21|2.1 120|9 -2 -0 -4 48|PB位49 PE位99 殖3.2|益3.8→4.3
1905 華紙|造紙工業|-26 -18 -20|97 97 25 84|2.5 510|3 -3 0 10 16|PB位100 PE位76 殖1.0|益1.0→-2.6
1907 永豐餘|造紙工業|-15 -9 -3|94 94 20 45|1.5 222|11 -1 -0 -1 -4|PB位74 PE位98 殖2.4|益1.4→-1.0
1909 榮成|造紙工業|-19 -9 6|90 90 -1 -8|1.8 33|12 -10 -0 3 24|PB位41 PE位na 殖1.5|益-0.8→-3.6
2002 中鋼|鋼鐵工業|-32 -29 -6|91 91 0 -9|1.5 598|18 -21 9 11 8|PB位30 PE位82 殖3.5|益4.1→-0.0
2006 東和鋼鐵|鋼鐵工業|-1 -2 4|96 96 2 8|1.4 69|14 -5 -0 -7 -13|PB位46 PE位71 殖6.0|益8.6→10.7
2007 燁興|鋼鐵工業|-41 -40 -13|80 80 -4 -18|1.5 5|0 -9 0 2 12|PB位27 PE位na 殖0.0|益-4.1→-5.0
2009 第一銅|鋼鐵工業|1 -19 2|94 94 4 -4|3.7 28|1 3 0 21 -6|PB位72 PE位82 殖1.2|益-3.8→0.3
2010 春源|鋼鐵工業|-22 -18 1|97 97 14 11|1.0 18|7 8 0 -12 -19|PB位59 PE位64 殖3.4|益2.8→4.5
2014 中鴻|鋼鐵工業|-40 -39 -1|84 84 2 -12|1.2 139|7 5 -0 -3 -16|PB位49 PE位na 殖1.4|益-4.0→4.9
2015 豐興|鋼鐵工業|-18 -17 -3|96 96 3 5|0.8 10|11 9 -3 3 -5|PB位35 PE位81 殖5.8|益8.6→8.0
2017 官田鋼|鋼鐵工業|-1 -20 -0|86 86 -1 10|0.5 13|2 -4 0 11 2|PB位57 PE位84 殖4.7|益7.6→-8.5
2020 美亞|鋼鐵工業|91 26 21|100 100 21 17|2.2 22|2 6 0 191 21|PB位67 PE位100 殖3.7|益3.5→9.0
2023 燁輝|鋼鐵工業|-14 -19 3|89 89 2 -11|1.0 36|5 -11 1 -22 5|PB位37 PE位na 殖2.0|益2.8→2.2
2027 大成鋼|鋼鐵工業|-13 -18 -14|99 99 10 10|3.0 396|16 -9 7 -1 27|PB位5 PE位44 殖11.2|益16.2→11.9
2028 威致|鋼鐵工業|-4 -16 -1|80 84 -4 -19|0.9 6|1 1 0 -1 -19|PB位27 PE位64 殖5.2|益7.0→7.2
2029 盛餘|鋼鐵工業|-18 -20 10|97 97 2 -0|0.8 8|69 -13 -1 -0 62|PB位35 PE位66 殖4.2|益4.1→7.1
2030 彰源|鋼鐵工業|-27 -23 -4|85 91 -1 -10|0.7 19|2 -24 0 2 55|PB位24 PE位50 殖7.3|益7.1→6.7
2031 新光鋼|鋼鐵工業|-6 -6 -10|95 95 9 8|1.4 81|15 14 -4 -0 -25|PB位41 PE位85 殖2.0|益4.5→10.9
2034 允強|鋼鐵工業|-26 -23 -5|93 93 -1 -5|0.9 20|7 -21 0 -3 24|PB位2 PE位92 殖5.4|益5.6→2.7
2038 海光|鋼鐵工業|-35 -17 -12|83 85 -2 -16|1.5 8|1 -8 0 3 -3|PB位23 PE位75 殖2.5|益0.9→-0.0
2049 上銀|電機機械|-19 -20 -6|84 84 -5 -4|1.1 307|30 -8 -17 3 18|PB位15 PE位35 殖2.5|益19.0→9.9
2059 川湖|電子零組|-38 -32 -24|87 87 119 115|1.8 1882|14 -3 6 12 -4|PB位99 PE位63 殖2.3|益48.1→46.5
2066 世德|電機機械|1 -3 -21|89 89 2 19|0.8 54|14 8 0 -19 -7|PB位89 PE位19 殖4.6|益11.1→14.8
2101 南港|橡膠工業|1 -8 3|92 92 -3 13|0.5 24|7 -6 0 -1 5|PB位68 PE位na 殖0.0|益-5.5→-3.2
2102 泰豐|橡膠工業|-87 -70 -62|80 80 -15 -15|0.6 6|6 -12 0 4 -11|PB位89 PE位na 殖0.0|益-45.1→-173.2
2103 台橡|橡膠工業|-16 -14 -11|87 87 -4 -8|0.5 19|26 -22 -0 -9 33|PB位7 PE位82 殖4.3|益7.9→3.9
2104 國際中橡|橡膠工業|-37 -30 -25|92 92 4 3|1.0 41|12 -9 0 -3 38|PB位37 PE位96 殖0.5|益7.4→6.1
2105 正新|橡膠工業|-8 3 2|92 92 2 13|0.6 194|16 4 0 0 30|PB位57 PE位52 殖3.7|益7.5→8.0
2106 建大|橡膠工業|-23 -16 -13|84 97 -1 1|0.7 22|6 -21 -0 28 9|PB位25 PE位na 殖3.4|益0.6→-2.6
2107 厚生|橡膠工業|76 -7 20|98 98 3 1|0.9 8|7 -20 0 -8 9|PB位19 PE位95 殖5.6|益19.1→19.8
2108 南帝|橡膠工業|-29 -34 7|82 82 -7 -7|0.6 14|7 -16 2 -9 6|PB位13 PE位92 殖5.5|益12.7→9.8
2201 裕隆|汽車工業|-1 11 7|90 90 6 4|0.7 978|8 0 -2 14 2|PB位93 PE位na 殖1.2|益13.1→12.4
2204 中華|汽車工業|50 32 14|94 94 23 58|0.5 376|27 9 -12 9 -39|PB位95 PE位na 殖4.5|益6.6→7.5
2206 三陽工業|汽車工業|27 40 6|82 82 36 127|0.4 834|10 -5 -0 -19 6|PB位95 PE位88 殖2.3|益6.7→10.6
2207 和泰車|汽車工業|12 27 11|89 89 16 18|0.5 146|25 1 -6 -10 -30|PB位94 PE位na 殖0.3|益na→na
2208 台船|航運業|56 45 16|84 84 -4 17|0.5 72|5 -6 -0 -13 -16|PB位94 PE位na 殖0.0|益-17.1→-28.1
2211 長榮鋼|鋼鐵工業|10 4 27|97 97 10 25|0.8 128|4 -55 -0 41 28|PB位73 PE位23 殖8.2|益20.9→29.3
2228 劍麟|汽車工業|23 21 0|92 92 22 28|0.8 91|8 -2 0 -19 -2|PB位81 PE位14 殖4.2|益10.3→10.2
2230 泰茂|居家生活|7 16 10|74 74 18 94|0.6 51|7 -6 0 -7 -31|PB位97 PE位90 殖1.5|益30.1→9.8
2231 為升|汽車工業|11 27 9|79 79 -13 -2|0.6 66|8 -12 -3 -21 53|PB位19 PE位10 殖1.9|益11.4→17.6
2233 宇隆|汽車工業|-4 -7 -3|91 91 -3 7|1.3 17|5 12 -5 -25 -18|PB位37 PE位53 殖5.4|益16.3→12.7
2236 百達-KY|汽車工業|15 21 4|90 90 57 90|0.7 36|72 -3 0 17 0|PB位97 PE位75 殖0.5|益8.0→10.3
2239 英利-KY|汽車工業|-2 68 28|84 84 -4 8|0.4 10|77 -3 0 2 4|PB位32 PE位90 殖0.7|益0.1→0.9
2241 艾姆勒|汽車工業|43 21 50|100 100 24 32|2.6 20|24 -1 0 -5 23|PB位62 PE位na 殖0.0|益-37.9→-35.7
2247 汎德永業|汽車工業|24 21 0|92 92 15 53|0.3 69|6 -1 4 -28 8|PB位95 PE位77 殖4.7|益4.1→4.1
2301 光寶科|電腦及週|-12 -13 -8|97 97 102 140|2.8 11793|36 -8 2 162 243|PB位100 PE位100 殖2.9|益8.7→6.3
2302 麗正|半導體業|-14 1 -8|82 82 -5 11|0.4 14|1 -5 -1 -12 12|PB位61 PE位43 殖4.4|益19.5→3.7
2303 聯電|半導體業|-23 -22 -25|92 92 2 0|0.9 2329|34 -14 -6 -0 14|PB位32 PE位31 殖7.7|益37.4→26.7
2305 全友|電腦及週|-16 34 21|60 77 -4 -20|0.3 8|0 -6 0 -2 18|PB位67 PE位na 殖0.0|益-19.3→-29.9
2308 台達電|電子零組|8 12 -9|100 100 26 29|1.2 2888|67 2 -3 -6 -34|PB位98 PE位89 殖2.6|益10.8→9.1
2312 金寶|其他電子|-12 -6 -22|95 95 30 25|2.0 497|10 -2 0 78 60|PB位92 PE位28 殖1.8|益1.6→2.0
2313 華通|電子零組|-25 -15 -13|89 93 4 2|0.8 471|19 -4 4 8 15|PB位18 PE位27 殖6.0|益13.2→6.2
2314 台揚|通信網路|2 1 -24|86 87 -7 3|0.6 40|3 7 -0 -2 na|PB位61 PE位na 殖0.0|益-9.3→-3.6
2316 楠梓電|電子零組|-33 -30 -2|97 97 66 68|1.9 140|28 2 0 440 30|PB位100 PE位100 殖1.1|益-4.8→-21.1
2317 鴻海|其他電子|-20 -14 -18|99 99 10 16|0.7 3482|40 2 -1 19 -28|PB位61 PE位84 殖4.8|益2.6→2.8
