# 2023-02-01 全池(872 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1232 大統益|食品工業|42 20 -1|89 89 -3 -5|0.7 10|1 0 -30 -47 1|PB位24 PE位18 殖4.2|益8.9→6.3
1234 黑松|食品工業|-3 7 4|96 98 1 -1|1.8 13|6 9 0 -5 19|PB位41 PE位8 殖5.1|益3.1→6.7
1268 漢來美食|觀光餐旅|16 17 -64|95 95 25 26|0.7 13|1 5 4 19 19|PB位86 PE位69 殖2.3|益-6.6→-1.7
1301 台塑|塑膠工業|-34 -31 -25|88 94 8 -3|1.2 470|34 1 3 -17 3|PB位22 PE位22 殖9.2|益19.8→14.5
1303 南亞|塑膠工業|-31 -30 -18|89 97 10 11|0.9 323|30 11 2 -29 -13|PB位40 PE位47 殖9.9|益12.0→9.6
1304 台聚|塑膠工業|-7 -21 -15|83 99 15 7|1.2 68|34 3 -2 -29 -31|PB位50 PE位51 殖9.2|益9.6→7.8
1305 華夏|塑膠工業|3 -28 -17|88 100 46 16|1.1 133|10 1 10 -40 5|PB位66 PE位100 殖8.6|益0.6→-6.4
1308 亞聚|塑膠工業|-10 -14 -18|81 99 17 13|1.2 35|10 17 -2 -6 -28|PB位63 PE位39 殖10.2|益27.1→30.0
1309 台達化|塑膠工業|-13 -27 -15|77 100 15 1|1.0 21|3 5 2 12 -4|PB位36 PE位76 殖10.7|益3.6→1.9
1312 國喬|塑膠工業|-28 -31 -12|77 97 14 3|0.9 61|13 4 0 -15 -13|PB位26 PE位99 殖9.9|益1.3→-2.7
1313 聯成|塑膠工業|-29 -25 -14|71 100 21 0|2.0 21|10 10 0 -5 -3|PB位44 PE位na 殖6.6|益-2.0→-3.4
1314 中石化|塑膠工業|-57 -57 -30|76 92 8 0|1.0 47|12 20 0 -15 -9|PB位50 PE位75 殖3.9|益-6.1→-10.9
1316 上曜|建材營造|33 50 -123|43 71 -3 -26|1.0 6|2 -2 0 -1 50|PB位6 PE位11 殖0.0|益6.4→9.2
1319 東陽|汽車工業|2 8 -8|81 81 -2 -9|0.7 168|27 3 0 -12 21|PB位83 PE位22 殖1.9|益7.1→8.1
1325 恆大|塑膠工業|-27 -22 20|47 86 14 3|0.4 12|4 -1 0 -15 19|PB位12 PE位79 殖8.0|益-2.1→-2.8
1326 台化|塑膠工業|-8 -9 -13|94 95 5 5|1.5 160|34 12 -0 -20 -7|PB位44 PE位64 殖6.6|益3.0→-0.0
1336 台翰|電子零組|15 28 -3|97 97 34 43|3.0 6|5 -4 0 24 -25|PB位99 PE位40 殖1.4|益8.6→10.1
1342 八貫|其他|7 11 -18|93 93 57 97|0.7 286|52 -5 0 53 82|PB位98 PE位92 殖2.3|益18.9→19.7
1402 遠東新|紡織纖維|-8 -3 -14|98 98 2 9|0.7 185|18 12 -1 -22 12|PB位92 PE位92 殖4.6|益7.2→6.2
1409 新纖|紡織纖維|-19 -21 -26|91 98 12 7|0.8 22|13 25 6 -17 -11|PB位56 PE位31 殖7.8|益na→na
1417 嘉裕|紡織纖維|-11 -10 -30|93 93 37 47|0.4 54|3 0 0 -13 18|PB位88 PE位na 殖2.4|益-5.4→-3.9
1434 福懋|紡織纖維|-11 -8 -14|97 98 5 5|1.1 18|8 9 0 -6 -3|PB位48 PE位35 殖3.7|益3.7→3.5
1440 南紡|紡織纖維|-4 7 -4|71 91 5 -1|1.0 10|7 1 0 -11 -11|PB位44 PE位53 殖4.6|益8.0→5.0
1442 名軒|建材營造|5046 1621 1262|83 83 8 42|0.9 36|4 -2 -2 -11 13|PB位93 PE位77 殖3.8|益0.9→-1.7
1443 立益物流|其他|-19 -35 -43|100 100 64 101|6.6 6|0 -0 0 922 479|PB位100 PE位53 殖0.0|益24.6→29.2
1444 力麗|紡織纖維|-48 -19 -36|87 87 0 5|0.4 16|6 -5 0 -3 20|PB位24 PE位7 殖2.9|益4.6→2.1
1451 年興|紡織纖維|-42 -11 -22|78 78 -0 -7|0.7 5|7 -8 0 -34 -3|PB位83 PE位7 殖4.7|益5.3→4.3
1467 南緯|紡織纖維|-33 -31 -25|77 91 1 -5|0.9 33|21 1 0 -16 2|PB位13 PE位54 殖0.0|益2.7→2.1
1475 業旺|紡織纖維|20 30 -325|94 100 42 22|0.8 8|1 4 0 -12 4|PB位24 PE位15 殖0.0|益20.9→20.8
1476 儒鴻|紡織纖維|-37 -20 -34|81 97 15 21|1.6 405|41 5 6 -6 -7|PB位29 PE位13 殖2.5|益20.2→20.4
1477 聚陽|紡織纖維|-22 -2 -15|88 88 7 51|1.8 404|38 17 -10 50 -25|PB位27 PE位21 殖4.4|益13.6→13.6
1503 士電|電機機械|4 17 6|94 94 15 3|1.4 42|32 1 0 101 5|PB位100 PE位76 殖2.8|益9.0→8.5
1504 東元|電機機械|1 7 -4|90 96 -1 0|1.2 56|20 5 1 -1 -23|PB位43 PE位96 殖4.7|益8.6→8.7
1513 中興電|電機機械|-20 -4 -11|99 99 58 36|1.3 1513|19 0 2 -3 18|PB位100 PE位64 殖3.5|益15.3→14.6
1514 亞力|電機機械|63 52 16|95 98 34 5|1.9 128|11 5 1 24 -25|PB位99 PE位69 殖3.7|益7.8→6.9
1515 力山|電機機械|-77 -82 -7|64 85 9 -8|0.6 11|9 -2 0 -18 -7|PB位13 PE位98 殖9.7|益-7.9→-8.8
1517 利奇|電機機械|-35 -33 -39|77 81 -6 -6|0.3 7|2 10 0 -19 -9|PB位41 PE位4 殖3.9|益12.2→12.8
1519 華城|電機機械|-22 -9 4|98 98 48 52|1.4 485|10 -1 2 19 32|PB位95 PE位65 殖1.8|益6.3→6.8
1522 堤維西|汽車工業|10 14 -2|88 88 12 -8|0.4 50|6 6 0 -10 -6|PB位64 PE位9 殖1.8|益4.8→3.8
1524 耿鼎|汽車工業|27 16 -10|88 88 20 -4|0.8 71|3 0 0 7 11|PB位92 PE位25 殖1.2|益10.5→10.4
1526 日馳|電機機械|-34 -16 -38|73 73 -2 2|0.3 6|4 -15 0 -5 -15|PB位14 PE位3 殖6.3|益22.9→22.8
1527 鑽全|電機機械|-34 -29 -16|94 98 9 6|1.5 5|10 11 0 -7 -15|PB位10 PE位12 殖5.7|益17.8→18.5
1529 樂事綠能|電機機械|7 44 -6|74 99 43 59|1.6 142|1 -0 -0 16 25|PB位96 PE位100 殖3.7|益31.3→29.3
1532 勤美|電機機械|-55 -47 -32|89 98 12 4|1.9 5|11 18 -9 14 -12|PB位29 PE位21 殖7.0|益7.5→6.8
1533 車王電|汽車工業|-36 21 -1|73 81 7 -15|0.8 6|6 4 -2 -1 -16|PB位42 PE位81 殖0.6|益-1.4→-1.6
1536 和大|汽車工業|15 7 -3|77 77 -6 -11|0.9 99|15 12 -22 6 -10|PB位8 PE位12 殖1.9|益2.6→6.3
1539 巨庭|電機機械|-74 -69 -55|60 60 7 -5|0.2 9|3 7 0 -8 -1|PB位77 PE位11 殖2.8|益7.5→8.3
1558 伸興|電機機械|3 49 45|87 91 11 -8|0.4 5|7 -4 0 -0 -5|PB位10 PE位77 殖7.1|益6.2→4.2
1560 中砂|電機機械|-2 4 -11|71 71 16 -21|0.7 319|10 -0 -2 -1 0|PB位74 PE位10 殖2.3|益22.9→22.1
1565 精華|生技醫療|-10 -13 -6|92 97 23 5|0.9 22|27 8 -6 -9 -17|PB位11 PE位14 殖5.8|益21.8→21.6
1580 新麥|電機機械|-11 -13 -7|93 94 12 2|1.3 10|6 -3 -4 2 -23|PB位16 PE位48 殖7.5|益12.1→13.1
1584 精剛|其他|101 50 -16|97 97 60 20|0.8 147|2 -0 0 31 22|PB位93 PE位23 殖0.8|益9.4→9.1
1589 永冠-KY|電機機械|16 21 16|95 100 35 23|2.4 23|7 16 8 11 -26|PB位62 PE位na 殖0.9|益-3.3→-1.2
1590 亞德客-KY|電機機械|-8 10 7|100 100 49 30|1.6 551|80 13 4 -54 -44|PB位38 PE位58 殖1.3|益29.2→28.8
1598 岱宇|運動休閒|-21 -21 18|93 96 19 14|0.5 6|5 15 0 -8 -22|PB位23 PE位na 殖5.8|益-9.3→-10.1
1603 華電|電器電纜|33 45 0|84 92 3 -1|0.9 6|2 2 0 -5 -10|PB位17 PE位34 殖1.9|益8.2→10.4
1605 華新|電器電纜|-16 -5 -24|100 100 51 67|1.1 3087|27 3 -0 -10 -33|PB位100 PE位37 殖2.9|益7.4→6.0
1608 華榮|電器電纜|-19 -16 -20|74 100 20 10|2.6 9|2 -1 0 -5 -2|PB位61 PE位100 殖9.4|益5.1→2.7
1609 大亞|電器電纜|-12 -11 -9|84 100 43 11|2.8 66|11 3 0 29 -5|PB位62 PE位87 殖3.9|益4.0→3.0
1611 中電|電器電纜|-13 -16 -5|68 75 -3 -27|1.0 6|12 -0 0 -4 -10|PB位58 PE位38 殖5.8|益5.7→4.9
1612 宏泰|電器電纜|59 24 20|70 99 36 18|3.1 13|12 0 0 25 -6|PB位41 PE位19 殖14.0|益9.5→8.5
1618 合機|電器電纜|-20 35 14|96 96 5 25|0.9 13|3 6 -1 1 40|PB位74 PE位62 殖3.3|益6.3→6.1
1701 中化|生技醫療|31 16 9|72 72 31 27|0.9 350|13 3 0 -41 33|PB位89 PE位77 殖3.4|益4.5→4.8
1702 南僑|食品工業|-6 4 0|96 99 6 3|0.5 7|11 2 0 -44 -7|PB位17 PE位100 殖4.8|益6.0→4.7
1707 葡萄王|生技醫療|5 7 1|100 100 43 34|1.3 131|16 8 6 -30 24|PB位52 PE位38 殖3.5|益22.8→23.8
1708 東鹼|化學工業|-4 22 -55|62 81 4 -9|0.8 62|13 -4 -0 -11 13|PB位65 PE位4 殖4.7|益25.6→25.1
1709 和益|化學工業|-6 14 -1|78 93 13 4|0.9 9|4 11 0 -7 -2|PB位76 PE位12 殖7.3|益13.2→11.5
1710 東聯|化學工業|-22 -22 -4|85 99 11 8|0.8 16|9 1 0 -8 -0|PB位64 PE位na 殖3.7|益-3.9→-5.2
1711 永光|化學工業|-22 -19 -16|71 89 9 -3|0.5 13|8 5 0 -2 10|PB位57 PE位29 殖2.6|益5.0→4.6
1712 興農|化學工業|-4 12 -11|85 85 7 11|0.8 30|16 -4 -1 -8 -15|PB位91 PE位12 殖4.7|益8.5→8.8
1717 長興|化學工業|-19 -10 -8|81 91 5 -3|1.0 32|15 9 -5 -8 -5|PB位19 PE位46 殖4.6|益8.5→7.2
1720 生達|生技醫療|9 30 2|86 86 26 25|0.2 209|6 1 0 -33 14|PB位94 PE位55 殖4.5|益18.7→19.1
1721 三晃|化學工業|0 -16 -23|62 88 17 0|0.6 7|1 3 0 2 -1|PB位69 PE位72 殖0.0|益3.6→1.8
1722 台肥|化學工業|-37 -27 -47|70 87 7 -9|1.3 69|13 -22 0 -4 -9|PB位41 PE位17 殖5.0|益-7.1→-5.7
1723 中碳|化學工業|5 9 -24|87 92 6 -8|0.9 14|10 -6 -1 -2 -9|PB位14 PE位8 殖3.7|益17.8→17.2
1732 毛寶|化學工業|-13 -13 -8|58 76 8 0|0.4 14|3 -5 0 -13 0|PB位53 PE位81 殖1.2|益0.6→0.3
1733 五鼎|生技醫療|-19 -9 -16|88 88 7 -7|0.5 5|6 -4 0 -10 -20|PB位30 PE位7 殖5.2|益6.5→7.3
1734 杏輝|生技醫療|11 19 2|86 86 12 11|0.4 66|7 -1 0 -11 -11|PB位50 PE位6 殖0.6|益10.8→10.4
1736 喬山|運動休閒|12 22 13|86 86 -6 37|0.7 124|9 2 -10 18 43|PB位70 PE位69 殖0.7|益-6.6→-4.7
1752 南光|生技醫療|31 34 25|83 83 69 60|0.5 791|5 0 0 -41 -5|PB位98 PE位90 殖3.2|益14.8→14.9
1760 寶齡富錦|生技醫療|-7 -1 -26|89 89 21 50|0.3 1181|11 -1 -0 18 17|PB位75 PE位30 殖0.9|益21.8→20.0
1762 中化生|生技醫療|-39 19 -4|89 89 20 8|0.3 71|6 -0 -0 -15 5|PB位27 PE位35 殖2.1|益26.4→24.2
1773 勝一|化學工業|-21 -19 -23|77 94 36 -4|2.0 14|5 10 1 39 -8|PB位82 PE位80 殖4.0|益19.0→18.9
1777 生泰|生技醫療|41 87 48|92 92 6 21|0.3 7|1 -7 0 -24 64|PB位44 PE位58 殖2.4|益18.9→24.0
1783 和康生|生技醫療|50 20 -1|99 99 54 36|1.5 108|9 -0 1 45 -21|PB位83 PE位70 殖1.9|益14.3→17.8
1784 訊聯|生技醫療|20 20 13|99 99 19 14|0.4 10|3 5 0 2 -32|PB位93 PE位31 殖1.1|益4.0→5.8
1785 光洋科|其他電子|-34 -37 -19|70 91 28 -3|0.9 23|9 23 0 -11 -9|PB位23 PE位21 殖4.2|益6.6→6.3
1786 科妍|生技醫療|-5 20 7|95 95 18 38|0.5 24|2 -0 0 34 51|PB位65 PE位40 殖2.5|益17.5→23.0
1789 神隆|生技醫療|185 60 38|90 90 8 5|0.6 30|5 -5 0 -6 27|PB位59 PE位21 殖1.8|益14.4→12.5
1795 美時|生技醫療|39 14 -3|88 88 59 81|0.7 2755|75 -3 -0 24 13|PB位96 PE位31 殖0.8|益18.3→32.8
1802 台玻|玻璃陶瓷|-17 -15 -0|93 93 14 34|0.5 108|8 6 6 -44 -9|PB位64 PE位68 殖7.8|益6.2→1.6
1808 潤隆|建材營造|69 -42 32|99 99 9 28|1.0 20|2 11 0 7 -1|PB位99 PE位91 殖5.0|益2.8→-8.5
1809 中釉|玻璃陶瓷|-9 4 -16|97 100 19 24|3.5 8|2 -2 0 9 27|PB位75 PE位14 殖1.7|益-0.3→0.6
1810 和成|玻璃陶瓷|-18 -21 -17|89 89 80 74|0.6 91|4 -0 0 11 12|PB位98 PE位40 殖1.0|益3.8→3.0
1815 富喬|電子零組|-26 -20 -9|82 82 10 5|1.0 8|3 8 0 -6 -3|PB位41 PE位76 殖7.2|益7.8→7.2
1904 正隆|造紙工業|-18 -12 -10|84 99 11 7|1.4 17|9 17 0 -35 -9|PB位37 PE位76 殖6.6|益5.8→3.8
1905 華紙|造紙工業|2 6 -2|73 91 1 2|0.9 9|3 10 0 -23 -10|PB位47 PE位60 殖2.4|益0.3→0.8
1907 永豐餘|造紙工業|-13 -9 -3|77 91 -4 9|0.6 25|16 10 3 -3 -9|PB位32 PE位92 殖5.9|益2.5→1.9
1909 榮成|造紙工業|-17 -15 -12|86 99 24 22|1.9 111|12 13 4 -34 -24|PB位55 PE位100 殖6.4|益1.2→-0.1
2002 中鋼|鋼鐵工業|-24 -26 -24|89 100 18 13|0.8 667|20 12 5 -23 -47|PB位65 PE位50 殖9.7|益10.5→7.1
2006 東和鋼鐵|鋼鐵工業|-4 -13 -17|76 99 13 9|1.2 60|12 6 6 -28 -39|PB位61 PE位45 殖11.2|益10.2→8.5
2007 燁興|鋼鐵工業|-21 -20 -19|60 99 33 0|1.0 34|1 0 0 -22 5|PB位57 PE位na 殖0.0|益1.9→-1.7
2009 第一銅|鋼鐵工業|-40 -30 -23|73 100 30 34|2.4 78|1 -2 0 35 26|PB位88 PE位78 殖2.7|益1.0→-5.1
2010 春源|鋼鐵工業|-28 -23 -17|67 98 11 3|1.4 6|6 11 0 -21 -7|PB位57 PE位41 殖7.8|益3.9→2.9
2013 中鋼構|鋼鐵工業|-3 16 -7|99 100 11 1|1.0 9|8 14 1 -57 -26|PB位92 PE位56 殖3.3|益2.2→2.1
2014 中鴻|鋼鐵工業|-38 -41 -27|66 99 40 7|0.9 534|9 -4 3 -13 -7|PB位67 PE位84 殖9.7|益4.7→-2.0
2015 豐興|鋼鐵工業|-6 -18 -21|75 100 19 6|1.3 8|11 6 12 183 2|PB位49 PE位25 殖7.2|益9.7→8.5
2017 官田鋼|鋼鐵工業|-46 -30 -19|85 100 28 26|2.0 7|2 11 0 -12 3|PB位65 PE位71 殖7.7|益8.7→11.4
2023 燁輝|鋼鐵工業|-34 -28 -23|71 100 18 12|1.4 56|6 8 -0 -22 0|PB位60 PE位75 殖5.8|益4.3→3.1
2027 大成鋼|鋼鐵工業|-1 -2 -21|87 100 16 28|0.8 322|16 11 3 -22 -12|PB位38 PE位28 殖4.2|益22.7→18.0
2028 威致|鋼鐵工業|40 -4 -5|76 100 42 29|1.5 49|1 3 1 -10 17|PB位54 PE位34 殖8.1|益11.0→8.9
2029 盛餘|鋼鐵工業|-30 -39 -30|70 100 10 10|1.4 10|69 6 -0 -28 -2|PB位55 PE位44 殖9.9|益8.8→4.2
2030 彰源|鋼鐵工業|-32 -29 -39|66 94 8 7|1.1 32|4 5 0 -11 -7|PB位59 PE位25 殖8.2|益11.4→8.2
2031 新光鋼|鋼鐵工業|21 30 6|71 99 36 31|1.5 90|11 9 3 -27 -23|PB位63 PE位81 殖8.3|益7.7→5.6
2032 新鋼|鋼鐵工業|26 -11 -10|62 100 32 14|1.1 20|1 1 1 -15 -1|PB位73 PE位100 殖5.4|益0.3→0.4
2033 佳大|鋼鐵工業|-20 -15 -12|63 96 29 7|1.6 11|1 1 0 -20 3|PB位64 PE位na 殖1.2|益0.6→-0.7
2034 允強|鋼鐵工業|-5 -25 -24|87 100 20 4|1.1 35|8 16 -0 -29 -13|PB位25 PE位24 殖4.8|益10.0→8.2
2038 海光|鋼鐵工業|-25 -15 -25|72 100 34 18|1.5 34|2 1 0 -11 8|PB位57 PE位44 殖6.3|益1.4→0.6
2049 上銀|電機機械|-17 -17 -25|82 100 37 7|3.7 171|33 15 4 -31 5|PB位14 PE位19 殖2.0|益21.5→21.4
2059 川湖|電子零組|-2 10 -15|82 82 -6 -11|1.3 94|17 -14 -6 25 14|PB位5 PE位2 殖2.7|益46.8→47.4
2063 世鎧精密|鋼鐵工業|2 -9 -11|99 99 30 44|0.7 8|1 4 0 -13 3|PB位87 PE位39 殖6.7|益19.5→20.2
2065 世豐|鋼鐵工業|-12 -8 0|100 100 15 19|1.7 5|2 1 0 32 -2|PB位81 PE位18 殖9.3|益14.1→15.1
2066 世德|電機機械|29 28 2|90 90 12 29|0.8 7|13 2 0 -11 29|PB位92 PE位28 殖2.4|益10.0→9.8
2069 運錩|鋼鐵工業|-33 -33 -39|63 91 11 0|0.8 11|2 -0 0 -3 -10|PB位53 PE位41 殖10.2|益6.5→3.9
2101 南港|橡膠工業|0 -14 -6|71 85 -0 -14|0.9 12|7 8 0 9 -1|PB位5 PE位na 殖0.0|益-5.5→-4.4
2102 泰豐|橡膠工業|-35 6 -5|70 93 11 10|0.4 7|7 12 0 -5 -18|PB位70 PE位na 殖0.0|益-49.6→-39.4
2103 台橡|橡膠工業|-10 -8 -12|78 96 5 6|1.1 19|29 -4 0 -6 -4|PB位39 PE位48 殖8.6|益10.9→9.3
2104 國際中橡|橡膠工業|22 -2 -6|72 91 6 -1|1.0 19|12 15 0 -17 1|PB位12 PE位28 殖1.0|益5.7→8.2
2105 正新|橡膠工業|-15 -6 -3|88 88 5 -3|1.4 73|14 6 -1 -28 -15|PB位19 PE位40 殖3.5|益7.2→7.4
2106 建大|橡膠工業|-10 0 -10|83 84 1 -17|1.0 9|7 -3 -2 -5 5|PB位16 PE位81 殖3.2|益2.6→1.7
2108 南帝|橡膠工業|-41 -43 7|52 93 16 -1|1.0 23|9 25 -4 -14 -8|PB位12 PE位63 殖17.5|益15.6→13.6
2201 裕隆|汽車工業|7 2 3|100 100 82 95|1.5 1400|11 4 2 -4 4|PB位100 PE位na 殖1.8|益14.6→14.0
2204 中華|汽車工業|16 20 22|100 100 43 22|1.8 71|25 9 3 -38 -8|PB位93 PE位na 殖9.1|益8.3→7.9
2206 三陽工業|汽車工業|3 15 -8|84 84 -3 -8|0.7 48|18 -6 -1 -5 -5|PB位68 PE位7 殖3.7|益7.4→7.4
2207 和泰車|汽車工業|11 16 15|100 100 11 11|2.1 105|25 14 -1 -79 -21|PB位100 PE位na 殖3.0|益na→na
2208 台船|航運業|13 79 61|90 98 32 11|0.6 27|6 8 0 -20 -5|PB位61 PE位na 殖0.0|益-12.2→-19.0
2211 長榮鋼|鋼鐵工業|-60 -49 -40|86 86 9 -12|0.1 11|16 91 0 -29 1|PB位50 PE位17 殖5.6|益16.9→19.0
2228 劍麟|汽車工業|3 17 -2|91 91 8 21|0.5 9|8 -13 -2 -6 -24|PB位46 PE位22 殖2.6|益7.4→10.3
2230 泰茂|居家生活|2 2 10|100 100 96 159|2.3 106|8 3 0 -2 -14|PB位100 PE位60 殖0.0|益61.9→40.1
2231 為升|汽車工業|9 13 14|89 94 5 16|0.8 54|8 1 -11 4 -15|PB位25 PE位29 殖1.3|益8.3→5.9
2233 宇隆|汽車工業|-4 6 2|85 86 14 -9|0.7 9|10 1 0 -0 16|PB位38 PE位13 殖5.3|益17.2→16.7
2236 百達-KY|汽車工業|17 12 8|98 98 59 58|2.3 25|76 4 0 59 0|PB位100 PE位75 殖13.8|益6.0→5.7
2247 汎德永業|汽車工業|7 7 3|100 100 10 9|0.8 6|4 4 0 -24 21|PB位52 PE位19 殖5.5|益4.0→4.0
2301 光寶科|電腦及週|-11 -3 -9|96 96 3 4|0.8 296|46 4 -2 -52 -71|PB位56 PE位71 殖6.8|益8.7→9.0
2303 聯電|半導體業|3 15 -17|82 100 25 26|2.0 2467|35 20 6 -27 -13|PB位48 PE位18 殖6.1|益37.3→38.2
2305 全友|電腦及週|-40 -11 -2|74 74 -10 -12|0.1 14|5 5 0 -17 3|PB位86 PE位30 殖0.0|益-24.7→-18.2
2308 台達電|電子零組|15 27 4|97 97 14 14|1.5 1556|67 0 -2 5 16|PB位49 PE位53 殖1.9|益9.9→11.0
2312 金寶|其他電子|5 30 -1|79 90 -3 8|0.5 36|10 -11 0 -7 -0|PB位33 PE位5 殖1.5|益1.0→1.2
2313 華通|電子零組|-15 7 -17|87 87 9 -2|0.9 456|26 -14 -5 10 12|PB位9 PE位3 殖3.9|益12.4→12.8
2314 台揚|通信網路|62 35 19|57 77 16 -12|0.6 18|2 5 -0 -17 -77|PB位56 PE位na 殖0.0|益-11.5→-9.8
2317 鴻海|其他電子|-12 6 -6|88 88 -4 -7|1.4 2581|40 -23 -0 0 -21|PB位30 PE位13 殖5.2|益2.8→2.8
2324 仁寶|電腦及週|-43 -32 -21|91 98 11 -1|1.1 202|40 2 8 -10 -23|PB位34 PE位55 殖8.8|益0.9→0.9
2327 國巨*|電子零組|9 12 -2|84 100 56 30|1.0 1112|45 18 5 -24 12|PB位20 PE位28 殖1.9|益25.0→25.0
2328 廣宇|電子零組|-9 4 -6|95 95 19 17|0.8 82|12 10 0 -19 -23|PB位59 PE位35 殖2.6|益5.3→6.0
2329 華泰|半導體業|-15 -11 -9|81 98 19 19|1.0 20|9 13 0 -3 -18|PB位52 PE位25 殖5.3|益10.0→9.8
2330 台積電|半導體業|24 43 0|79 98 38 9|1.7 11800|72 24 -0 -25 -25|PB位24 PE位11 殖2.1|益47.4→48.6
2331 精英|電腦及週|-48 -40 -43|81 81 3 -0|0.6 16|10 3 0 -2 5|PB位41 PE位5 殖0.0|益1.3→1.1
2332 友訊|通信網路|-9 3 -8|88 88 5 -10|0.7 27|8 -7 0 -9 8|PB位23 PE位63 殖1.9|益1.8→1.4
2337 旺宏|半導體業|-37 -38 -28|84 100 19 11|0.6 185|20 8 9 -15 -11|PB位20 PE位25 殖5.0|益27.0→25.0
2338 光罩|半導體業|14 16 -12|89 94 52 29|0.8 682|10 -1 3 -12 -0|PB位95 PE位99 殖2.2|益17.4→16.4
2340 台亞|半導體業|-43 -37 -13|64 91 19 -3|0.9 31|12 14 0 -0 -11|PB位77 PE位96 殖7.9|益12.9→11.4
2342 茂矽|半導體業|-13 -6 -18|91 98 22 17|0.6 20|6 -1 0 -10 0|PB位27 PE位14 殖1.2|益16.7→17.0
2344 華邦電|半導體業|-25 -26 -23|64 96 12 -0|1.4 176|24 12 1 -28 -28|PB位33 PE位18 殖4.5|益22.8→20.7
2345 智邦|通信網路|31 29 0|85 85 6 -1|1.5 551|62 1 -8 21 2|PB位8 PE位3 殖2.4|益11.5→12.0
2347 聯強|電子通路|-20 -8 -13|83 100 15 11|0.9 163|31 1 7 -18 -34|PB位29 PE位24 殖8.2|益2.1→2.0
2351 順德|半導體業|-13 -6 -12|77 98 33 7|2.6 91|23 7 3 -15 30|PB位64 PE位29 殖2.5|益11.1→10.2
2352 佳世達|電腦及週|-18 -9 -16|90 96 15 -1|0.9 76|15 0 -1 0 -17|PB位35 PE位13 殖8.8|益2.9→2.4
2353 宏碁|電腦及週|-23 -31 -18|89 100 14 12|1.1 137|31 12 5 -17 -9|PB位37 PE位49 殖9.1|益3.4→2.7
2354 鴻準|其他電子|40 13 20|88 99 20 14|2.0 140|17 7 0 8 -12|PB位46 PE位66 殖3.1|益2.9→2.9
2355 敬鵬|電子零組|-18 -3 0|80 92 10 5|0.6 8|17 -0 0 -3 -10|PB位43 PE位67 殖1.7|益-1.1→-0.4
2356 英業達|電腦及週|-23 -9 -14|96 96 8 7|0.8 151|25 7 13 25 -46|PB位41 PE位62 殖5.5|益1.0→1.2
2357 華碩|電腦及週|-21 -16 -17|83 97 18 -1|0.8 318|44 2 5 -11 -16|PB位27 PE位48 殖15.3|益5.1→4.2
2358 廷鑫|其他|40 -25 -18|65 98 18 -1|1.8 28|2 0 0 -3 7|PB位58 PE位30 殖1.6|益8.2→4.9
2359 所羅門|其他電子|-9 12 -25|82 82 18 -4|0.5 47|3 -4 0 -1 28|PB位84 PE位6 殖3.3|益5.8→5.2
