# 2025-04-01 全池(1165 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1473 台南|紡織纖維|11 13 1|66 92 4 -2|1.1 8|6 -3 0 9 -13|PB位72 PE位16 殖5.5|益5.9→5.0
1476 儒鴻|紡織纖維|21 25 4|79 79 -9 -19|1.7 335|37 -30 -2 13 136|PB位0 PE位15 殖3.7|益21.6→21.1
1477 聚陽|紡織纖維|9 15 4|71 84 4 -7|1.2 528|20 -6 -5 -3 29|PB位42 PE位43 殖5.4|益15.2→14.9
1503 士電|電機機械|2 11 3|44 66 -23 -34|1.2 225|31 -16 0 -3 70|PB位52 PE位42 殖3.0|益10.6→9.6
1504 東元|電機機械|6 -3 4|84 89 -7 0|1.0 214|9 -8 -11 -20 24|PB位78 PE位46 殖4.4|益11.7→11.3
1513 中興電|電機機械|16 11 -7|56 75 -13 -24|1.4 600|9 -11 -0 -18 24|PB位41 PE位30 殖3.5|益17.8→17.7
1514 亞力|電機機械|20 -1 3|55 78 -3 -21|1.3 424|11 -4 0 -8 10|PB位57 PE位64 殖1.9|益10.1→10.1
1515 力山|電機機械|-59 -62 -61|61 83 1 -14|0.9 8|7 -0 0 -2 -1|PB位10 PE位61 殖3.2|益5.6→3.6
1519 華城|電機機械|46 57 8|43 64 -21 -37|1.1 2250|17 -8 -1 7 38|PB位46 PE位20 殖2.3|益24.4→24.2
1522 堤維西|汽車工業|-8 -1 -2|75 81 -13 -16|0.6 79|6 -14 -0 -6 29|PB位66 PE位36 殖5.5|益12.7→11.7
1524 耿鼎|汽車工業|20 15 8|95 95 10 17|1.0 340|17 16 0 -32 -64|PB位94 PE位17 殖5.4|益19.4→21.2
1527 鑽全|電機機械|8 4 -9|84 84 -5 -13|1.3 11|10 -6 0 -30 -13|PB位1 PE位55 殖5.4|益14.8→12.7
1528 恩德|電機機械|-5 -24 -19|69 69 -4 7|0.5 78|4 5 0 -20 -26|PB位89 PE位na 殖0.7|益-6.4→-3.5
1529 樂事綠能|電機機械|391 122 59|62 81 1 -18|2.9 20|1 -1 0 -2 14|PB位39 PE位na 殖0.8|益13.7→10.3
1532 勤美|電機機械|-38 -39 -52|55 75 -7 -24|0.8 34|11 -18 -0 -12 9|PB位3 PE位49 殖5.9|益13.2→10.9
1536 和大|汽車工業|-7 -21 -8|72 72 -8 11|0.5 765|8 -5 -0 -7 36|PB位35 PE位89 殖1.3|益-0.6→-2.0
1537 廣隆|電機機械|-3 6 -16|93 93 -2 -0|1.3 24|20 -17 0 -39 9|PB位24 PE位13 殖6.9|益14.9→14.0
1540 喬福|電機機械|17 -21 -37|65 70 -17 -31|0.3 37|1 -0 0 -13 -11|PB位78 PE位34 殖5.0|益23.8→20.9
1558 伸興|電機機械|36 17 5|90 91 -2 -8|1.1 10|7 1 0 -16 6|PB位26 PE位11 殖5.6|益11.7→11.2
1560 中砂|電機機械|21 16 5|59 59 -23 -31|1.0 260|21 4 -0 -17 -34|PB位58 PE位61 殖1.8|益16.6→16.5
1563 巧新|汽車工業|4 -9 -3|na 93 20 5|0.8 52|2 6 0 -36 -16|PB位55 PE位49 殖3.4|益12.6→13.1
1565 精華|生技醫療|28 6 2|82 82 -0 10|1.1 25|18 5 0 4 6|PB位10 PE位41 殖4.8|益17.0→17.6
1569 濱川|電腦及週|65 37 38|84 84 32 111|0.9 1291|2 -1 0 -17 -2|PB位97 PE位na 殖0.0|益-12.5→-14.1
1580 新麥|電機機械|35 16 9|94 94 1 0|0.9 8|6 -6 0 -51 7|PB位38 PE位33 殖6.1|益19.8→20.3
1582 信錦|電子零組|32 19 11|81 90 5 -11|0.9 48|18 -4 -4 -10 -5|PB位68 PE位4 殖5.7|益15.5→14.6
1584 精剛|其他|10 3 -4|72 80 11 -18|2.8 95|2 -1 0 21 17|PB位10 PE位43 殖2.3|益12.2→9.0
1587 吉茂|汽車工業|12 16 11|39 64 -11 -34|1.3 7|23 7 0 -27 -1|PB位67 PE位na 殖1.6|益-1.6→-1.5
1589 永冠-KY|電機機械|95 27 31|66 78 -4 -20|0.9 9|7 14 0 -5 -20|PB位4 PE位na 殖0.0|益-19.6→-16.4
1590 亞德客-KY|電機機械|68 20 15|71 84 2 -0|0.7 689|77 9 2 10 -1|PB位4 PE位9 殖2.5|益29.9→29.4
1591 駿吉-KY|電機機械|-14 153 -136|57 76 -17 -4|0.3 7|3 -10 0 0 -6|PB位58 PE位na 殖0.0|益-32.2→-20.9
1595 川寶|半導體業|44 8 30|52 52 -28 -1|0.6 10|1 1 0 -11 -11|PB位83 PE位na 殖1.2|益-6.4→-7.0
1597 直得|電機機械|34 6 0|67 67 -27 -13|0.2 74|5 2 -1 -14 -2|PB位76 PE位76 殖0.8|益8.2→9.2
1598 岱宇|運動休閒|-4 9 11|81 81 3 -4|1.0 22|6 -14 0 13 -2|PB位5 PE位43 殖2.0|益-4.1→0.4
1603 華電|電器電纜|68 28 10|67 89 -4 -9|3.1 11|3 4 0 0 -6|PB位36 PE位11 殖4.3|益11.1→10.9
1604 聲寶|電器電纜|-1 12 5|94 98 0 -1|1.8 6|8 -14 0 26 16|PB位11 PE位31 殖5.3|益7.6→6.9
1605 華新|電器電纜|31 11 10|62 68 -2 -28|0.7 571|16 -7 -3 -10 -17|PB位5 PE位88 殖2.1|益1.7→1.2
1608 華榮|電器電纜|3 9 -8|58 76 -2 -20|2.8 47|2 -4 0 -2 21|PB位68 PE位52 殖3.9|益6.5→6.5
1609 大亞|電器電纜|24 3 -10|62 76 -10 -22|3.3 150|11 -5 0 -1 15|PB位54 PE位67 殖4.3|益6.7→7.4
1611 中電|電器電纜|15 -9 5|71 85 -4 -12|1.9 12|10 -8 0 -12 -11|PB位3 PE位36 殖5.5|益9.3→7.3
1612 宏泰|電器電纜|46 10 -6|74 92 -3 -2|2.3 23|14 -6 0 -8 11|PB位71 PE位48 殖6.3|益12.6→12.2
1615 大山|電器電纜|35 11 -7|78 91 3 -10|1.6 6|1 -1 0 -5 -21|PB位68 PE位68 殖5.0|益15.0→15.2
1616 億泰|電器電纜|15 9 -2|85 98 25 18|4.4 49|3 -1 0 38 56|PB位77 PE位3 殖7.5|益4.5→3.5
1618 合機|電器電纜|115 69 44|66 80 -5 -11|1.4 86|0 -2 0 -10 2|PB位66 PE位16 殖3.6|益15.6→16.1
1702 南僑|食品工業|4 6 2|75 78 -4 -11|1.2 21|14 -11 0 11 28|PB位0 PE位37 殖5.2|益7.0→6.5
1707 葡萄王|生技醫療|6 -2 -7|92 92 -4 0|1.3 17|16 -20 -0 -3 -8|PB位6 PE位7 殖4.9|益21.7→22.4
1708 東鹼|化學工業|31 8 -5|84 84 -3 -8|0.6 105|15 -4 0 -10 7|PB位19 PE位24 殖5.5|益20.3→18.6
1709 和益|化學工業|-3 2 -7|75 77 -6 -20|1.4 8|3 -13 0 -19 -3|PB位1 PE位34 殖4.1|益6.7→6.0
1710 東聯|化學工業|35 14 -1|79 79 2 -18|0.5 42|6 -8 0 -3 3|PB位14 PE位96 殖1.4|益0.5→-0.3
1711 永光|化學工業|32 12 5|68 73 -11 -26|1.3 19|8 1 0 -8 -14|PB位20 PE位46 殖1.6|益2.3→2.1
1712 興農|化學工業|4 -2 -2|93 93 3 4|1.3 50|16 -6 -2 -21 -3|PB位66 PE位74 殖5.9|益6.9→6.8
1713 國化|化學工業|-14 -6 -16|86 90 13 -3|1.8 21|5 2 0 2 -0|PB位40 PE位0 殖14.3|益-8.4→-18.8
1717 長興|化學工業|25 7 3|81 81 0 -14|1.0 42|15 1 0 3 0|PB位1 PE位38 殖4.2|益5.1→4.9
1720 生達|生技醫療|25 5 -2|80 91 -2 -6|1.1 8|4 -1 0 4 8|PB位6 PE位27 殖4.6|益20.7→20.6
1721 三晃|化學工業|5 -5 -12|51 51 -19 -45|1.0 13|7 -5 0 -18 -1|PB位48 PE位na 殖0.0|益-7.3→-8.0
1722 台肥|化學工業|7 -1 9|79 86 -1 -12|1.0 49|11 -6 -0 -10 3|PB位1 PE位75 殖3.9|益5.8→4.6
1723 中碳|化學工業|-2 1 2|77 93 3 -5|0.9 19|8 1 0 12 -3|PB位5 PE位72 殖4.7|益16.9→16.2
1727 中華化|化學工業|39 13 -13|62 62 -12 -32|1.2 16|4 -14 0 -5 16|PB位0 PE位64 殖1.9|益3.8→3.4
1733 五鼎|生技醫療|57 34 19|94 100 14 17|1.4 13|8 21 0 2 9|PB位86 PE位72 殖3.5|益5.8→6.9
1736 喬山|運動休閒|41 41 12|100 100 11 47|2.8 171|10 2 -2 -17 1|PB位96 PE位11 殖0.5|益3.4→6.7
1760 寶齡富錦|生技醫療|7 -2 -5|67 79 -8 -16|1.2 6|12 8 0 -8 -12|PB位0 PE位16 殖2.4|益10.1→10.1
1773 勝一|化學工業|25 6 -5|71 75 -15 -23|1.8 60|6 -23 -13 -32 148|PB位5 PE位29 殖3.3|益19.5→19.1
1777 生泰|生技醫療|34 19 -1|95 95 10 4|0.8 17|2 6 0 2 -15|PB位78 PE位1 殖5.2|益27.3→27.9
1783 和康生|生技醫療|6 29 15|81 81 -7 2|0.4 6|9 -8 0 -25 -6|PB位24 PE位0 殖2.3|益24.3→26.4
1784 訊聯|生技醫療|7 5 1|57 84 6 -13|2.1 22|4 19 0 -2 -26|PB位76 PE位28 殖1.6|益5.4→5.1
1785 光洋科|其他電子|77 37 5|85 92 1 -7|1.0 484|13 -1 0 0 16|PB位80 PE位47 殖1.9|益8.3→7.4
1786 科妍|生技醫療|9 8 -7|84 87 21 -9|0.9 102|7 4 0 13 -25|PB位77 PE位62 殖2.8|益29.9→28.1
1789 神隆|生技醫療|-45 -19 -19|72 82 -5 -16|1.1 7|4 -9 0 -5 -0|PB位0 PE位16 殖1.6|益10.8→9.4
1795 美時|生技醫療|-8 2 -10|70 80 -11 -13|1.0 353|56 -11 5 -1 63|PB位4 PE位1 殖2.5|益35.3→32.4
1799 易威|生技醫療|199 135 -69|29 54 -9 -49|0.6 34|14 -7 0 na na|PB位74 PE位na 殖0.0|益-16.0→-13.8
1802 台玻|玻璃陶瓷|28 3 10|78 78 -4 2|0.6 249|5 3 -0 34 -5|PB位16 PE位na 殖0.0|益-3.8→-3.0
1808 潤隆|建材營造|-97 -88 -592|27 65 -8 -35|2.5 67|7 -15 0 11 48|PB位16 PE位48 殖5.7|益34.9→32.8
1809 中釉|玻璃陶瓷|14 3 3|59 71 -14 -23|1.3 7|2 8 0 -11 -2|PB位62 PE位46 殖1.5|益1.3→1.1
1810 和成|玻璃陶瓷|13 1 2|88 98 18 2|4.6 39|3 -2 -0 7 64|PB位69 PE位55 殖1.0|益-0.0→0.0
1815 富喬|電子零組|90 100 44|86 86 10 45|0.9 1263|3 1 0 -5 -40|PB位94 PE位96 殖0.0|益-2.4→2.1
1817 凱撒衛|玻璃陶瓷|46 15 5|97 97 18 15|0.7 7|4 -5 0 -38 -7|PB位96 PE位72 殖5.0|益12.7→13.4
1903 士紙|造紙工業|11 -1 7|72 86 -6 -12|0.9 8|11 -10 0 -4 -16|PB位34 PE位na 殖0.0|益-29.1→-31.0
1904 正隆|造紙工業|19 8 1|65 76 -2 -22|1.4 18|9 -13 0 12 13|PB位1 PE位67 殖2.4|益3.3→3.4
1905 華紙|造紙工業|10 -3 -2|62 68 -10 -28|1.3 17|4 -8 0 3 6|PB位0 PE位na 殖0.0|益-1.8→-2.7
1907 永豐餘|造紙工業|22 6 0|86 86 -4 -10|1.4 15|13 -21 -2 -0 10|PB位3 PE位63 殖2.8|益0.2→-0.2
1909 榮成|造紙工業|18 -3 -4|64 69 -14 -25|1.3 10|11 -20 0 0 15|PB位1 PE位na 殖0.0|益1.1→0.4
2002 中鋼|鋼鐵工業|-3 -7 -4|89 93 15 6|0.6 865|16 22 -0 -21 -30|PB位24 PE位89 殖1.4|益0.3→0.5
2006 東和鋼鐵|鋼鐵工業|26 0 4|97 97 15 4|1.7 219|17 26 -4 113 -0|PB位62 PE位85 殖5.3|益9.5→9.5
2009 第一銅|鋼鐵工業|18 -3 -18|70 85 11 -8|5.2 225|0 -1 0 3 -5|PB位58 PE位37 殖1.2|益2.9→1.8
2010 春源|鋼鐵工業|41 15 1|93 100 17 19|1.6 34|8 20 0 33 -10|PB位85 PE位36 殖6.1|益4.7→5.0
2014 中鴻|鋼鐵工業|-39 -39 -12|83 83 15 7|0.4 346|7 7 0 -24 -22|PB位76 PE位na 殖0.5|益-4.6→-4.1
2015 豐興|鋼鐵工業|26 -1 2|83 83 2 -13|1.4 92|13 23 -38 -74 -17|PB位13 PE位62 殖5.1|益7.9→8.1
2017 官田鋼|鋼鐵工業|-4 -4 -14|70 82 -4 -12|0.5 6|2 7 0 -33 -27|PB位21 PE位66 殖0.0|益-4.0→-7.2
2020 美亞|鋼鐵工業|8 -26 -2|70 88 -0 -4|0.5 21|3 -4 0 -32 11|PB位22 PE位39 殖14.4|益9.3→9.3
2023 燁輝|鋼鐵工業|-10 -6 -2|89 89 5 2|0.5 40|6 2 7 -12 -5|PB位1 PE位na 殖2.6|益1.0→0.5
2027 大成鋼|鋼鐵工業|12 7 13|94 94 66 49|0.7 2035|26 13 1 -35 -33|PB位94 PE位96 殖2.2|益7.1→6.8
2029 盛餘|鋼鐵工業|30 14 5|86 95 11 5|0.6 15|67 5 0 39 -30|PB位40 PE位61 殖4.7|益4.2→4.6
2030 彰源|鋼鐵工業|22 1 4|91 91 5 3|0.6 8|3 7 0 -6 -14|PB位10 PE位50 殖4.0|益3.1→3.3
2031 新光鋼|鋼鐵工業|114 43 43|68 77 4 -19|0.6 44|12 4 -1 -10 -5|PB位20 PE位50 殖5.3|益3.7→4.1
2032 新鋼|鋼鐵工業|50 14 5|86 86 38 22|0.7 27|2 5 0 -15 -18|PB位63 PE位32 殖2.0|益0.6→0.5
2034 允強|鋼鐵工業|48 30 25|89 89 23 4|0.4 126|7 9 0 -52 -23|PB位33 PE位na 殖4.1|益5.6→4.4
2038 海光|鋼鐵工業|55 26 18|84 92 21 7|1.5 17|2 3 0 -1 -16|PB位23 PE位80 殖1.1|益0.6→0.3
2049 上銀|電機機械|13 10 9|66 66 -25 14|0.5 1854|30 5 -5 -16 -8|PB位46 PE位86 殖1.0|益9.7→8.4
2059 川湖|電子零組|165 109 23|81 81 15 42|1.0 1805|24 10 -4 -5 0|PB位90 PE位56 殖1.9|益59.1→60.2
2061 風青|電器電纜|128 60 17|71 81 11 -17|0.8 12|2 -1 0 28 2|PB位46 PE位na 殖0.0|益-1.4→-1.7
2062 橋椿|居家生活|-5 -20 -11|70 71 -17 -28|0.6 28|11 8 0 -13 3|PB位53 PE位42 殖6.1|益7.5→6.7
2065 世豐|鋼鐵工業|30 5 -1|78 84 -7 -16|1.1 8|2 -14 0 10 17|PB位2 PE位79 殖6.4|益10.7→9.9
2066 世德|電機機械|-4 -8 -7|59 72 -7 -20|1.1 52|12 1 -2 -7 -8|PB位5 PE位74 殖3.6|益13.4→9.7
2069 運錩|鋼鐵工業|24 11 15|88 88 9 -6|0.5 6|3 11 0 34 -21|PB位40 PE位49 殖5.0|益3.0→3.5
2070 精湛|電機機械|4 -21 -37|48 48 -31 -46|0.5 11|4 17 0 -16 -28|PB位76 PE位63 殖2.7|益18.1→18.3
2101 南港|橡膠工業|17 6 -80|62 78 -15 -18|1.2 100|6 -10 0 4 24|PB位0 PE位2 殖1.3|益26.0→23.1
2102 泰豐|橡膠工業|121 34 3|72 76 -7 -20|1.2 5|5 -36 0 -3 6|PB位17 PE位na 殖0.0|益-89.0→-84.6
2103 台橡|橡膠工業|23 19 -0|78 78 -4 -14|1.0 21|25 -29 0 12 9|PB位2 PE位57 殖3.2|益4.2→3.7
2104 國際中橡|橡膠工業|8 -1 -3|65 71 -11 -25|0.8 20|9 -20 0 73 -31|PB位1 PE位na 殖0.0|益-0.7→-3.2
2105 正新|橡膠工業|15 2 2|87 96 2 5|2.1 306|13 -10 2 -9 13|PB位89 PE位31 殖4.6|益11.6→10.4
2106 建大|橡膠工業|13 7 6|76 84 -2 -12|1.3 8|9 -14 0 -0 -19|PB位1 PE位39 殖4.2|益5.3→4.3
2107 厚生|橡膠工業|130 49 25|93 99 2 2|1.6 6|8 -5 0 10 -20|PB位62 PE位68 殖5.3|益17.3→16.7
2108 南帝|橡膠工業|16 17 -13|67 81 -9 -18|1.5 9|7 -12 0 5 -4|PB位0 PE位59 殖3.4|益6.8→6.9
2109 華豐|橡膠工業|30 13 7|96 98 5 -1|1.2 7|16 6 0 -59 -8|PB位86 PE位50 殖8.0|益14.0→13.8
2201 裕隆|汽車工業|-8 -11 -13|58 71 -17 -26|1.1 112|7 -4 0 -8 8|PB位0 PE位22 殖3.0|益9.3→8.5
2204 中華|汽車工業|-29 -33 -25|50 81 -4 5|1.0 109|20 9 -2 -13 -7|PB位39 PE位57 殖5.7|益5.8→4.4
2206 三陽工業|汽車工業|1 -6 -3|85 97 2 -4|1.5 66|10 28 5 2 -19|PB位41 PE位75 殖4.2|益9.4→8.9
2207 和泰車|汽車工業|24 6 5|86 86 0 -13|1.0 144|23 -4 6 -15 -1|PB位4 PE位43 殖3.3|益na→na
2208 台船|航運業|-25 -23 7|91 97 14 2|2.8 31|5 11 -0 na -32|PB位66 PE位na 殖0.0|益-19.2→-25.7
2211 長榮鋼|鋼鐵工業|77 53 21|59 77 -16 -23|0.3 74|8 -16 8 3 -3|PB位57 PE位61 殖5.4|益23.0→22.2
2227 裕日車|汽車工業|-39 -42 -22|49 56 -11 -41|1.1 5|41 -26 -1 na na|PB位0 PE位0 殖5.0|益1.6→0.3
2228 劍麟|汽車工業|-1 -2 -4|72 72 -12 -24|1.2 18|7 -8 0 -7 0|PB位12 PE位1 殖5.6|益11.2→10.5
2230 泰茂|居家生活|62 168 -5|60 62 -4 -32|0.7 48|2 -1 0 4 -16|PB位31 PE位21 殖2.8|益27.1→17.0
2231 為升|汽車工業|-32 -14 -19|59 71 -27 -18|0.7 34|5 -4 0 -5 -16|PB位0 PE位0 殖2.5|益5.8→6.7
2233 宇隆|汽車工業|40 9 -1|64 64 -32 6|0.2 151|7 7 -2 -27 -36|PB位86 PE位80 殖3.9|益19.5→18.8
2236 百達-KY|汽車工業|569 398 305|73 73 -19 -9|0.5 27|63 -9 0 10 -4|PB位59 PE位8 殖0.7|益-5.2→-17.1
2241 艾姆勒|汽車工業|-12 -8 13|52 76 2 -8|1.1 15|9 -1 0 5 -10|PB位35 PE位na 殖0.0|益-25.9→-31.0
2247 汎德永業|汽車工業|64 24 8|92 93 3 5|0.9 36|6 16 19 -31 4|PB位38 PE位25 殖6.1|益4.1→4.1
2250 IKKA-KY|汽車工業|17 0 1|70 70 -22 4|0.5 99|7 0 0 -12 -28|PB位78 PE位29 殖3.7|益7.0→6.7
2258 鴻華先進-創|汽車工業|473 1007 -38|84 84 3 -5|0.6 32|0 -3 0 na na|PB位63 PE位na 殖0.0|益-24.1→-31.4
2301 光寶科|電腦及週|35 22 22|81 86 -4 -3|1.3 799|27 -15 8 -5 23|PB位38 PE位74 殖4.8|益9.5→9.4
2302 麗正|半導體業|27 41 23|84 84 7 13|1.5 27|6 0 0 -15 13|PB位84 PE位49 殖2.9|益10.8→10.1
2303 聯電|半導體業|4 7 2|80 84 4 -16|1.3 1932|23 -13 18 -4 6|PB位12 PE位89 殖6.2|益23.1→22.2
2308 台達電|電子零組|40 26 16|85 85 -12 -6|0.9 3546|65 -4 3 -30 -43|PB位44 PE位70 殖1.9|益12.0→11.3
2312 金寶|其他電子|31 28 17|65 65 -19 3|0.6 174|14 -0 0 -13 -6|PB位74 PE位6 殖2.7|益3.0→2.6
2313 華通|電子零組|21 7 -1|66 83 -16 -16|1.0 365|16 10 -8 -11 -12|PB位31 PE位55 殖4.0|益8.3→8.5
2314 台揚|通信網路|-49 -23 15|30 30 -67 -59|1.9 32|1 -1 0 na na|PB位2 PE位na 殖0.0|益-47.8→-64.8
2316 楠梓電|電子零組|22 4 8|67 73 -15 -12|1.0 18|28 -8 0 -17 -5|PB位44 PE位59 殖1.2|益-17.6→-16.9
