# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1558 伸興|電機機械|38 18 1|85 90 -2 1|1.1 7|7 -2 0 18 -20|PB位5 PE位93 殖5.4|益5.3→6.5
1560 中砂|電機機械|16 5 10|93 93 43 100|1.7 1189|18 1 -0 -3 9|PB位99 PE位99 殖1.6|益13.9→15.0
1565 精華|生技醫療|22 9 16|80 99 6 5|1.5 32|11 7 0 -2 -15|PB位17 PE位74 殖6.7|益15.2→12.9
1568 倉佑|汽車工業|21 -19 -1|88 88 6 31|1.2 25|3 9 0 -5 -26|PB位86 PE位8 殖3.2|益22.5→20.3
1569 濱川|電腦及週|-27 -24 2|100 100 12 16|1.9 8|3 8 0 -7 -13|PB位62 PE位na 殖8.0|益-8.1→-5.3
1570 力肯|電機機械|37 -19 9|100 100 27 23|0.9 6|2 -5 0 18 10|PB位98 PE位100 殖3.9|益6.4→2.2
1580 新麥|電機機械|68 33 11|98 98 0 26|1.3 11|8 3 0 -6 -13|PB位95 PE位72 殖3.9|益17.4→19.9
1582 信錦|電子零組|53 34 31|83 83 -1 33|0.2 115|17 -5 0 -2 38|PB位83 PE位61 殖3.8|益4.1→7.4
1584 精剛|其他|39 27 -40|83 89 -3 0|0.5 36|1 4 0 -5 -6|PB位53 PE位0 殖4.3|益6.0→6.4
1589 永冠-KY|電機機械|15 -8 -8|69 100 16 4|4.1 30|4 -4 0 13 12|PB位42 PE位na 殖0.0|益na→1.6
1590 亞德客-KY|電機機械|96 43 17|98 99 14 33|1.5 731|73 -12 1 177 55|PB位60 PE位90 殖1.1|益na→29.8
1591 駿吉-KY|電機機械|58 11 76|100 100 60 55|0.5 39|18 4 0 -10 -38|PB位100 PE位na 殖0.8|益na→-85.8
1598 岱宇|運動休閒|-20 -3 -11|64 84 -11 -1|1.7 6|5 6 0 -3 -10|PB位2 PE位na 殖1.6|益-5.9→-6.0
