score,exit,cell,fold,cagr,sortino,mdd,boot_p5,key
role20,grid,g_tp0.6_trnone_abnone_tdnone,WF,0.2986566810906328,1.6142448027136476,-0.3695163338897919,-0.0242,role20|grid|g_tp0.6_trnone_abnone_tdnone
role20,grid,g_tp0.4_trnone_abnone_tdnone,WF,0.2975369949803939,1.5892610794106132,-0.348639680172071,-0.0124,role20|grid|g_tp0.4_trnone_abnone_tdnone
role20,grid,g_tp0.4_tr0.3_abnone_td50,WF,0.2964382674200896,1.761485958101016,-0.2730434951370574,0.0256,role20|grid|g_tp0.4_tr0.3_abnone_td50
role20,grid,g_tp0.4_trnone_ab0.15_tdnone,WF,0.2964261241510806,1.6205388329225412,-0.3184794359265351,-0.0108,role20|grid|g_tp0.4_trnone_ab0.15_tdnone
role20,grid,g_tp0.4_trnone_abnone_td50,WF,0.2811824754380123,1.6189957815048817,-0.301989111439243,0.0063,role20|grid|g_tp0.4_trnone_abnone_td50
role20,grid,g_tp0.6_tr0.3_abnone_tdnone,WF,0.2347405372218503,1.4051770346378332,-0.3955770425408538,-0.0705,role20|grid|g_tp0.6_tr0.3_abnone_tdnone
role20,grid,g_tp0.6_tr0.3_ab0.15_tdnone,WF,0.2267695491224703,1.2891033825412244,-0.383468525037026,-0.0586,role20|grid|g_tp0.6_tr0.3_ab0.15_tdnone
role20,rgx,ev_v2_thesis_inst_rgx,WF,0.3919560839733085,1.8766411169871169,-0.327512110478537,0.0146,role20|rgx|ev_v2_thesis_inst_rgx
role20,tdx,ev_v2_thesis_inst_tdx,WF,0.3449907484837287,1.9835110611495947,-0.2919260942055834,0.041,role20|tdx|ev_v2_thesis_inst_tdx
role20,rgxtdx,ev_v2_thesis_inst_rgx_tdx,WF,0.3919560839733085,1.8766411169871169,-0.327512110478537,0.0148,role20|rgxtdx|ev_v2_thesis_inst_rgx_tdx
role40,grid,g_tpnone_tr0.3_ab0.15_tdnone,WF,0.4839344196963182,1.9629716750082005,-0.3822361267947686,0.0036,role40|grid|g_tpnone_tr0.3_ab0.15_tdnone
role40,grid,g_tpnone_tr0.3_abnone_tdnone,WF,0.4788808934050899,1.9664754879468105,-0.3843430103398148,0.0087,role40|grid|g_tpnone_tr0.3_abnone_tdnone
role40,grid,g_tpnone_tr0.3_ab0.15_td50,WF,0.4770160975560245,1.934129599621089,-0.3810722175474202,0.0271,role40|grid|g_tpnone_tr0.3_ab0.15_td50
role40,grid,g_tpnone_tr0.2_ab0.15_td50,WF,0.4749947931287508,2.2528061703325193,-0.2647704433281508,0.0664,role40|grid|g_tpnone_tr0.2_ab0.15_td50
role40,grid,g_tpnone_tr0.2_ab0.15_tdnone,WF,0.4701355637795146,2.2269608190984806,-0.2711882644282403,0.0756,role40|grid|g_tpnone_tr0.2_ab0.15_tdnone
role40,grid,g_tpnone_tr0.2_abnone_tdnone,WF,0.4627330168876005,2.177259082289399,-0.2821347989267722,0.0514,role40|grid|g_tpnone_tr0.2_abnone_tdnone
role40,grid,g_tpnone_tr0.2_abnone_td50,WF,0.4581210785098701,2.157740187656812,-0.2896988448143535,0.054,role40|grid|g_tpnone_tr0.2_abnone_td50
role40,grid,g_tpnone_tr0.3_abnone_td50,WF,0.4482062096250119,1.8415123692624824,-0.4027057037852954,-0.0156,role40|grid|g_tpnone_tr0.3_abnone_td50
