# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
2305 全友|電腦及週|-20 15 -25|49 57 -30 -38|2.6 7
2308 台達電|電子零組|9 9 6|96 96 12 4|0.7 2822
2312 金寶|其他電子|4 12 13|77 77 18 9|0.2 623
2313 華通|電子零組|-3 -7 -16|77 77 6 -20|0.8 1665
2314 台揚|通信網路|7 -23 26|96 96 31 15|3.2 141
2316 楠梓電|電子零組|-5 1 6|78 78 -15 -15|0.3 41
2317 鴻海|其他電子|3 8 0|81 81 -8 -19|0.5 9392
2323 中環|光電業|-5 -1 -2|75 78 -17 -23|0.7 30
2324 仁寶|電腦及週|-6 -3 0|88 91 4 3|1.0 640
2327 國巨*|電子零組|7 11 -2|67 67 -14 -29|0.7 915
2328 廣宇|電子零組|-22 -15 -0|97 97 17 7|3.3 344
2329 華泰|半導體業|-13 -17 -20|42 61 -13 -39|0.2 59
2330 台積電|半導體業|34 34 5|98 98 6 4|0.7 33498
2331 精英|電腦及週|-10 -4 8|58 65 -12 -36|0.7 25
2332 友訊|通信網路|-10 -9 2|88 88 27 26|2.4 421
2337 旺宏|半導體業|8 4 12|61 66 -26 -31|0.8 151
2338 光罩|半導體業|1 -4 -10|59 59 -20 -38|0.6 47
2340 台亞|半導體業|10 6 -5|62 67 -24 -33|1.0 31
2342 茂矽|半導體業|75 54 35|86 86 -5 -7|0.5 16
2344 華邦電|半導體業|-2 0 -9|47 56 -30 -44|0.4 365
2345 智邦|通信網路|83 56 35|97 97 49 37|0.6 4413
2347 聯強|電子通路|-3 8 -2|82 95 -1 0|0.7 298
2348 海悅|其他|91 165 5|57 57 21 -16|2.3 766
2349 錸德|光電業|-19 -21 -18|69 74 -16 -31|0.2 51
2351 順德|半導體業|4 0 2|56 56 -35 -25|0.2 94
2352 佳世達|電腦及週|0 1 4|72 87 -11 -10|0.6 111
2353 宏碁|電腦及週|13 1 -10|72 86 1 -13|1.6 461
2354 鴻準|其他電子|223 75 84|78 78 16 7|0.2 1627
2355 敬鵬|電子零組|-10 -8 -6|73 77 -6 -24|0.7 64
2356 英業達|電腦及週|38 39 18|83 86 17 -10|0.4 692
2357 華碩|電腦及週|29 25 6|97 97 4 24|0.5 1585
2359 所羅門|其他電子|65 16 21|91 92 14 -0|1.5 2872
2360 致茂|其他電子|32 13 -2|85 85 2 24|0.3 1081
2362 藍天|電腦及週|5 3 -8|77 77 -23 -4|0.2 42
2363 矽統|半導體業|1584 941 691|67 76 -1 -12|0.4 567
2364 倫飛|電腦及週|-17 14 0|62 62 -17 -4|0.4 9
2365 昆盈|電腦及週|3 4 -23|69 69 -13 -16|0.9 303
2367 燿華|電子零組|16 19 -3|76 81 -5 -24|1.9 352
2368 金像電|電子零組|5 9 -19|87 97 23 5|1.4 2874
2369 菱生|半導體業|-7 -11 -9|62 75 -5 -27|0.4 13
2371 大同|電機機械|-15 -3 -6|68 82 -4 -16|1.2 521
2374 佳能|光電業|28 19 -6|91 91 33 8|3.8 2943
2375 凱美|電子零組|3 8 -1|81 81 1 -6|0.5 173
2376 技嘉|電腦及週|40 53 -55|72 86 -0 -12|0.4 866
2377 微星|電腦及週|4 6 -2|93 97 6 3|1.1 438
2379 瑞昱|半導體業|12 12 -7|93 96 14 2|1.3 1595
2382 廣達|電腦及週|36 48 24|82 82 5 -12|0.5 4441
2383 台光電|電子零組|50 40 -20|95 95 38 22|0.8 3966
2385 群光|電子零組|5 8 5|62 90 -6 -9|0.7 366
2387 精元|電腦及週|5 5 -2|93 95 7 3|0.4 31
2388 威盛|半導體業|29 85 50|61 69 -24 -18|0.9 724
2392 正崴|電子零組|-3 1 -8|80 80 13 -11|0.2 489
2393 億光|光電業|9 14 -4|99 99 13 15|1.8 490
2395 研華|電腦及週|4 3 12|87 92 9 -6|0.4 220
2397 友通|電腦及週|23 10 41|80 80 -2 -18|0.3 16
2399 映泰|電腦及週|-47 -35 -22|59 59 -34 11|0.1 85
2401 凌陽|半導體業|1 8 -8|77 78 -6 -22|1.9 75
2402 毅嘉|電子零組|14 13 2|84 84 -10 4|0.2 45
2404 漢唐|其他電子|-45 -47 -19|95 95 39 19|1.2 776
2405 輔信|電腦及週|-18 -8 -9|76 80 3 -24|0.8 71
2406 國碩|光電業|-7 31 -76|53 53 -26 -45|1.1 15
2408 南亞科|半導體業|-24 -16 -39|36 39 -37 -62|0.7 425
2409 友達|光電業|15 6 -8|77 77 -16 -18|0.8 279
2412 中華電|通信網路|-0 3 1|96 97 -1 3|0.8 730
2413 環科|電子零組|-9 -15 16|85 86 20 4|0.4 19
2415 錩新|電子零組|-16 -19 -24|89 89 14 13|1.4 16
2417 圓剛|電腦及週|-10 -10 -10|85 94 15 -7|2.4 211
2419 仲琦|通信網路|-24 45 41|76 76 -9 -8|0.4 49
2420 新巨|電子零組|5 -2 -4|81 81 -19 -1|0.5 22
2421 建準|電子零組|9 13 3|69 88 1 -12|0.3 160
2423 固緯|其他電子|-21 -12 -6|93 95 5 1|0.6 8
2425 承啟|電腦及週|-31 -18 -6|66 66 -34 -12|0.1 25
2426 鼎元|光電業|-5 1 -8|86 86 -6 16|0.5 60
2427 三商電|資訊服務|-35 14 -14|82 89 6 -12|1.0 39
2428 興勤|電子零組|4 11 7|83 84 -12 -15|0.7 13
2429 銘旺科|光電業|24 25 61|67 79 4 -15|1.4 44
2431 聯昌|電子零組|0 -13 14|76 76 11 13|0.2 23
2436 偉詮電|半導體業|2 0 -8|74 80 -14 -13|0.5 64
2438 翔耀|光電業|595 392 175|38 38 -30 -54|0.7 6
2439 美律|通信網路|7 -0 -22|77 77 -9 -23|0.4 129
2441 超豐|半導體業|6 8 -5|94 94 0 -4|1.2 70
2442 新美齊|建材營造|25 26 -1292|66 66 -4 -19|0.4 19
2444 兆勁|通信網路|-26 -28 -3|93 93 21 21|1.3 21
2449 京元電子|半導體業|16 13 3|81 81 1 -15|0.5 2210
2451 創見|半導體業|-6 -14 -12|65 83 -16 -22|1.1 103
2453 凌群|資訊服務|4 4 -6|84 84 9 -16|0.5 116
2454 聯發科|半導體業|5 16 -12|92 94 10 -3|0.7 7699
2455 全新|通信網路|-27 -20 -66|81 81 2 -16|0.6 794
2457 飛宏|電子零組|3 -13 2|59 73 -10 -28|0.4 44
2458 義隆|半導體業|-9 -5 -17|90 97 5 2|0.9 330
2462 良得電|電子零組|-5 -6 -8|67 74 -18 -26|0.5 5
2464 盟立|其他電子|-4 3 18|87 87 3 -6|1.6 759
2465 麗臺|電腦及週|-52 -32 -34|47 60 -20 -38|0.6 25
2466 冠西電|光電業|29 48 39|98 98 88 85|1.6 28
2467 志聖|電子零組|29 26 -9|80 80 -14 2|0.4 301
2468 華經|資訊服務|-5 -7 -4|88 91 12 -3|1.6 140
2471 資通|資訊服務|15 22 13|91 91 11 -2|0.5 94
2472 立隆電|電子零組|16 20 4|90 90 6 -1|1.5 156
2474 可成|其他電子|18 22 24|83 83 -14 -10|0.8 1077
2476 鉅祥|電子零組|13 19 6|74 76 -6 -22|0.5 99
2477 美隆電|其他電子|-3 16 5|73 73 -7 24|0.1 13
2480 敦陽科|資訊服務|15 8 7|99 99 9 18|1.3 59
2481 強茂|半導體業|2 -1 -1|74 78 -15 -17|0.6 37
2484 希華|電子零組|-17 -5 2|73 82 -15 -18|0.9 5
2485 兆赫|通信網路|-64 -76 -23|63 68 -17 -33|1.4 9
2486 一詮|光電業|7 9 -3|76 76 -1 -22|0.9 1646
2488 漢平|其他電子|73 39 11|93 93 12 15|0.5 23
2489 瑞軒|光電業|32 27 -13|70 70 -10 -10|0.3 41
2492 華新科|電子零組|2 4 -2|72 72 -14 -23|0.7 108
2493 揚博|電子零組|8 11 2|79 79 -0 -1|0.2 36
2495 普安|電腦及週|-5 -25 -20|81 81 -10 -8|0.5 120
2497 怡利電|汽車工業|15 23 1|66 66 -31 -2|0.3 37
2498 宏達電|通信網路|-6 -16 5|87 92 -7 0|4.0 209
2501 國建|建材營造|25 46 -25|58 72 -6 -21|0.7 35
2504 國產|建材營造|-4 -1 -5|92 92 5 17|2.1 282
2511 太子|建材營造|60 15 14|76 78 -6 -13|0.8 8
2515 中工|建材營造|40 31 10|60 69 -6 -24|0.8 46
2520 冠德|建材營造|5 28 -25|78 78 5 -8|0.6 212
2524 京城|建材營造|266 849 495|51 51 -25 27|1.5 41
2527 宏璟|建材營造|438 5773 4155|62 76 5 -12|0.4 16
2528 皇普|建材營造|157 36484 26933|78 80 10 -7|1.8 17
2530 華建|建材營造|20204 34073 -25172|68 68 1 -22|0.7 19
2534 宏盛|建材營造|-48 -48 -5|85 85 -2 -1|0.7 24
2535 達欣工|建材營造|0 -16 -21|88 91 8 -5|0.8 18
2536 宏普|建材營造|-98 -47 -1836|81 87 2 -4|1.4 7
2537 聯上發|建材營造|54 -48 -14120|45 45 -27 -39|0.6 15
2538 基泰|建材營造|15 17 -269|67 67 -14 -12|1.0 6
2539 櫻花建|建材營造|na na na|63 63 5 -31|0.5 28
2540 愛山林|建材營造|-36 78 19|42 42 -10 -51|1.9 140
2542 興富發|建材營造|98 26 20|67 67 -3 -20|1.0 338
2543 皇昌|建材營造|0 -6 -24|76 76 -19 23|0.3 290
2545 皇翔|建材營造|-63 183 -236|81 81 5 14|0.6 46
2546 根基|建材營造|-24 13 15|57 73 -4 -22|0.7 6
2547 日勝生|建材營造|-16 -1 -12|90 94 8 6|0.7 28
2548 華固|建材營造|-99 -91 -729|69 69 -10 -16|2.4 406
2597 潤弘|建材營造|16 18 2|62 62 8 -11|1.2 71
2603 長榮|航運業|59 73 12|95 95 21 29|0.7 4060
2605 新興|航運業|-11 -12 -19|77 85 -11 -10|0.4 80
2606 裕民|航運業|3 20 -0|94 95 5 6|1.6 580
2607 榮運|航運業|2 8 -24|88 98 4 -0|0.7 29
2609 陽明|航運業|60 68 18|92 92 20 13|0.6 4714
2610 華航|航運業|15 10 -1|99 99 28 13|0.9 1215
2611 志信|航運業|10 8 -11|63 80 -7 -20|0.5 7
2612 中航|航運業|25 19 4|75 85 -12 -10|0.4 8
2613 中櫃|航運業|8 -1 -6|75 91 5 -8|0.5 44
2614 東森|其他|-3 -4 -2|73 74 -13 -23|0.5 7
2615 萬海|航運業|56 69 15|78 78 -2 7|0.3 991
2617 台航|航運業|-0 4 -7|74 81 -9 -20|0.5 17
2618 長榮航|航運業|3 4 -8|98 98 28 31|0.8 2964
2630 亞航|航運業|44 11 -4|87 99 17 3|8.4 20
2633 台灣高鐵|航運業|7 5 -2|90 90 -5 -10|0.9 58
2634 漢翔|航運業|24 1 1|76 85 -7 -17|1.7 125
2636 台驊控股|航運業|60 69 -2|73 86 -4 -10|0.5 28
2637 慧洋-KY|航運業|-0 13 -12|82 82 -10 -2|1.5 613
