# 2023-05 月末(2023-05-31)全池量化快照(1109 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
2230 泰茂|居家生活|-13 5 9|95 95 8 175|0.3 21
2231 為升|汽車工業|47 45 29|92 92 13 22|0.9 137
2233 宇隆|汽車工業|-10 -8 -6|90 90 5 14|0.3 19
2236 百達-KY|汽車工業|25 34 21|98 98 10 127|1.3 13
2239 英利-KY|汽車工業|70 38 14|99 99 27 33|2.3 11
2247 汎德永業|汽車工業|-16 37 23|91 91 22 36|1.3 130
2301 光寶科|電腦及週|-13 -12 -10|100 100 29 45|2.1 639
2302 麗正|半導體業|6 10 -2|90 90 19 11|0.9 17
2303 聯電|半導體業|-19 -19 -34|97 97 2 12|1.7 2030
2305 全友|電腦及週|41 25 22|66 79 -0 -21|1.8 7
2308 台達電|電子零組|16 14 -9|100 100 9 7|1.5 1384
2312 金寶|其他電子|-2 -3 -28|91 94 0 -3|1.5 48
2313 華通|電子零組|-12 -19 -27|88 91 1 -3|1.2 321
2314 台揚|通信網路|-0 12 -13|72 89 3 24|0.4 60
2317 鴻海|其他電子|-12 -15 -25|94 100 4 6|1.8 2877
2323 中環|光電業|-9 -10 4|100 100 47 68|5.4 165
2324 仁寶|電腦及週|47 2 11|99 99 20 39|2.2 769
2327 國巨*|電子零組|-11 -11 -13|88 88 -4 13|2.0 1368
2328 廣宇|電子零組|-5 7 3|99 99 5 20|2.6 58
2329 華泰|半導體業|-16 -13 -5|95 95 7 11|2.0 24
2330 台積電|半導體業|-14 -6 -36|98 98 8 15|2.7 11263
2331 精英|電腦及週|-44 -39 -22|100 100 40 36|2.8 212
2332 友訊|通信網路|8 3 -9|100 100 19 44|2.0 123
2337 旺宏|半導體業|-22 -33 -6|87 89 -4 -4|0.8 243
2338 光罩|半導體業|-19 -9 -22|84 84 -2 1|0.5 161
2340 台亞|半導體業|-36 -28 1|78 89 -4 1|0.5 34
2342 茂矽|半導體業|-36 -31 -23|86 86 0 11|0.4 32
2344 華邦電|半導體業|-36 -32 -10|94 99 11 24|1.1 645
2345 智邦|通信網路|12 28 -3|99 99 24 34|2.6 661
2347 聯強|電子通路|-5 -7 -6|93 97 0 10|2.3 215
2351 順德|半導體業|-9 0 0|83 91 1 29|0.7 131
2352 佳世達|電腦及週|-18 -15 -10|100 100 39 47|1.3 421
2353 宏碁|電腦及週|-28 -28 -4|99 99 20 25|1.2 484
2354 鴻準|其他電子|-17 -4 8|96 96 -2 9|1.0 75
2355 敬鵬|電子零組|9 -1 3|95 95 8 -0|0.6 18
2356 英業達|電腦及週|-17 -9 -7|98 98 38 57|4.0 648
2357 華碩|電腦及週|-6 -10 -2|99 99 9 15|1.3 697
2358 廷鑫|其他|28 -19 11|59 70 -23 -21|0.6 10
2359 所羅門|其他電子|-38 -26 -36|91 91 18 33|0.2 66
2360 致茂|其他電子|-7 3 -24|100 100 31 26|2.4 350
2362 藍天|電腦及週|272 81 77|92 98 4 4|1.0 21
2363 矽統|半導體業|-36 -12 9|84 93 -5 5|0.7 12
2364 倫飛|電腦及週|40 35 12|69 83 -6 -15|0.3 22
2367 燿華|電子零組|-2 1 -27|76 91 -4 -5|0.7 33
2368 金像電|電子零組|-6 -9 -21|98 98 41 28|2.0 1581
2369 菱生|半導體業|-20 -22 8|74 93 -4 4|0.7 8
2371 大同|電機機械|83 66 32|100 100 27 33|3.9 1386
2373 震旦行|其他電子|77 32 26|93 99 1 3|2.8 7
2374 佳能|光電業|-22 -11 -42|77 89 -3 -7|1.0 8
2375 凱美|電子零組|-9 -11 13|88 88 7 26|0.2 26
2376 技嘉|電腦及週|-4 4 18|100 100 55 77|3.3 2376
2377 微星|電腦及週|-16 -10 8|98 98 19 36|2.6 868
2379 瑞昱|半導體業|-21 -26 -13|92 95 1 17|1.1 720
2382 廣達|電腦及週|17 -2 -14|100 100 55 77|2.7 3598
2383 台光電|電子零組|-9 -15 -4|93 100 12 13|3.1 727
2385 群光|電子零組|-2 -12 -11|100 100 15 31|1.3 198
2387 精元|電腦及週|52 2 1|88 88 4 2|0.4 31
2388 威盛|半導體業|40 21 -2|84 84 -8 14|1.1 443
2392 正崴|電子零組|-17 -2 -14|96 96 6 17|1.0 28
2393 億光|光電業|1 -10 10|100 100 22 28|1.2 84
2395 研華|電腦及週|16 12 -3|100 100 17 28|1.6 364
2397 友通|電腦及週|-13 -4 -6|100 100 14 28|2.2 10
2399 映泰|電腦及週|7 13 29|95 95 29 42|3.9 14
2401 凌陽|半導體業|-36 -38 -3|74 95 -2 3|1.4 23
2402 毅嘉|電子零組|22 17 -4|98 98 52 63|0.6 305
2404 漢唐|其他電子|166 188 48|96 96 -0 31|0.7 189
2405 輔信|電腦及週|-21 -8 1|79 94 2 0|0.7 10
2406 國碩|光電業|-42 -37 -13|76 88 -6 1|0.4 17
2408 南亞科|半導體業|-66 -67 -12|100 100 28 23|1.5 717
2409 友達|光電業|-8 -26 13|90 91 -4 7|0.9 384
2412 中華電|通信網路|-3 4 1|98 98 8 16|2.3 1147
2413 環科|電子零組|5 57 19|79 79 10 18|0.3 61
2417 圓剛|電腦及週|-18 -17 -3|84 86 -7 -1|0.4 8
2419 仲琦|通信網路|32 14 -27|89 93 -7 9|0.5 28
2420 新巨|電子零組|-29 -16 -8|100 100 7 18|0.6 7
2421 建準|電子零組|25 20 12|98 98 100 88|3.2 1207
2423 固緯|其他電子|32 17 7|96 96 29 41|1.3 21
2425 承啟|電腦及週|-1 -7 4|93 93 -3 26|4.7 29
2426 鼎元|光電業|-15 -20 7|87 96 4 8|0.9 7
2427 三商電|資訊服務|-2 13 0|100 100 95 114|0.6 83
2428 興勤|電子零組|-6 2 4|94 94 9 33|0.6 92
2430 燦坤|電子通路|-19 -14 -4|92 92 -5 15|0.6 8
2436 偉詮電|半導體業|-6 -25 8|78 94 0 18|0.6 33
