# 2023-08 月末(2023-08-31)全池量化快照(1064 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1702 南僑|食品工業|11 9 1|94 94 -2 5|0.4 11
1707 葡萄王|生技醫療|0 -0 -6|83 83 -9 -13|0.6 48
1708 東鹼|化學工業|-34 -27 -34|68 81 -6 -20|0.8 27
1709 和益|化學工業|-27 -24 -21|84 84 -11 -10|0.9 25
1710 東聯|化學工業|53 21 30|87 87 -7 -0|0.5 58
1711 永光|化學工業|-13 -14 0|87 87 -12 2|0.2 14
1712 興農|化學工業|-28 -27 -22|86 94 2 -7|0.9 17
1717 長興|化學工業|-16 -17 -1|84 84 -13 -8|0.7 35
1720 生達|生技醫療|22 5 -18|85 85 -9 10|0.4 36
1721 三晃|化學工業|-35 -37 -14|74 74 -18 -12|0.3 6
1722 台肥|化學工業|-22 57 51|96 96 3 6|1.3 112
1723 中碳|化學工業|-33 -33 -26|96 96 1 0|0.3 13
1727 中華化|化學工業|-25 -24 -10|70 70 -27 12|0.2 22
1734 杏輝|生技醫療|16 4 -11|88 88 -5 8|0.3 20
1736 喬山|運動休閒|38 40 22|91 95 22 12|0.8 50
1737 臺鹽|食品工業|-12 -1 9|91 91 6 8|6.9 13
1752 南光|生技醫療|-3 7 -19|70 70 -13 -5|0.2 23
1760 寶齡富錦|生技醫療|-28 -39 -29|55 56 -27 -39|0.6 89
1762 中化生|生技醫療|-19 -5 -27|61 61 -30 -16|0.3 37
1773 勝一|化學工業|-14 -20 -2|91 92 -1 9|0.5 15
1783 和康生|生技醫療|15 7 -8|81 81 -1 -2|0.2 23
1784 訊聯|生技醫療|7 21 5|86 86 3 44|0.4 44
1785 光洋科|其他電子|-18 -22 6|91 91 5 5|0.3 49
1786 科妍|生技醫療|18 29 1|94 94 26 24|1.0 27
1789 神隆|生技醫療|-32 -17 -25|81 81 4 3|0.2 30
1795 美時|生技醫療|119 59 1|75 75 -19 -8|0.4 1365
1796 金穎生技|食品工業|35 41 11|64 64 -22 6|0.3 10
1802 台玻|玻璃陶瓷|12 3 12|78 88 3 -13|1.1 450
1808 潤隆|建材營造|16243 7350 5438|100 100 18 23|1.1 79
1809 中釉|玻璃陶瓷|-8 -9 -13|87 87 -9 -1|0.2 7
1810 和成|玻璃陶瓷|2 1 10|76 76 -14 11|2.0 28
1815 富喬|電子零組|-48 -36 -11|87 87 12 7|0.4 33
1903 士紙|造紙工業|38 11 13|82 82 38 26|0.8 40
1904 正隆|造紙工業|-11 -8 2|82 82 -13 2|0.6 86
1905 華紙|造紙工業|-23 -23 -22|73 73 -18 37|0.2 222
1907 永豐餘|造紙工業|-15 -13 -6|81 81 -12 18|0.2 90
1909 榮成|造紙工業|-5 -10 4|80 83 -11 -17|0.5 26
2002 中鋼|鋼鐵工業|-28 -28 -4|85 87 -7 -12|1.3 627
2006 東和鋼鐵|鋼鐵工業|-1 2 7|99 99 5 1|0.7 81
2009 第一銅|鋼鐵工業|-25 -18 4|78 78 -8 -16|0.5 36
2010 春源|鋼鐵工業|-1 -11 7|93 93 8 6|0.5 10
2014 中鴻|鋼鐵工業|6 -25 9|79 82 -4 -19|0.4 171
2015 豐興|鋼鐵工業|-14 -15 0|94 94 -2 -5|0.9 10
2017 官田鋼|鋼鐵工業|-18 -13 8|78 78 -10 -19|0.4 11
2020 美亞|鋼鐵工業|28 42 32|93 93 10 10|0.3 11
2022 聚亨|鋼鐵工業|7 -11 -3|82 82 -12 4|3.0 12
2023 燁輝|鋼鐵工業|-13 -18 3|89 90 -1 -11|0.5 24
2027 大成鋼|鋼鐵工業|-17 -15 -9|90 90 -2 2|0.4 210
2030 彰源|鋼鐵工業|-26 -24 -4|76 83 -14 -17|0.3 12
2031 新光鋼|鋼鐵工業|31 9 1|89 89 -1 5|0.5 94
2034 允強|鋼鐵工業|-16 -22 -4|91 92 -1 -8|0.5 12
2038 海光|鋼鐵工業|-30 -24 -15|77 80 -9 -20|0.7 5
2049 上銀|電機機械|-19 -19 -3|80 80 -12 -20|0.5 229
2059 川湖|電子零組|-36 -35 -21|92 92 115 138|0.8 2042
2066 世德|電機機械|-8 -3 -19|81 81 -4 -2|0.3 17
2101 南港|橡膠工業|7 2 11|94 94 0 6|1.3 22
2103 台橡|橡膠工業|-20 -16 -10|82 83 -6 -17|0.4 18
2104 國際中橡|橡膠工業|-34 -32 -21|88 88 -2 -3|0.3 34
2105 正新|橡膠工業|-6 -4 -4|96 96 2 18|1.8 126
2106 建大|橡膠工業|-14 -19 -15|89 100 3 2|0.8 13
2107 厚生|橡膠工業|-23 4 30|99 100 5 -1|1.1 7
2108 南帝|橡膠工業|-3 -23 14|82 82 -6 -12|0.4 8
2201 裕隆|汽車工業|-2 7 4|94 94 -5 8|1.5 381
2204 中華|汽車工業|16 36 17|94 94 -6 63|0.5 197
2206 三陽工業|汽車工業|21 33 -0|78 78 -16 86|0.4 625
2207 和泰車|汽車工業|13 23 6|80 80 -16 11|1.3 144
2208 台船|航運業|43 30 -3|83 83 -8 1|0.6 48
2211 長榮鋼|鋼鐵工業|14 7 29|97 97 19 41|0.2 117
2228 劍麟|汽車工業|7 20 1|85 85 7 4|0.2 18
2230 泰茂|居家生活|40 34 24|100 100 70 77|0.9 61
2231 為升|汽車工業|27 20 0|79 79 -12 -10|0.5 41
2233 宇隆|汽車工業|-4 -5 -1|90 90 -1 -2|0.5 12
2236 百達-KY|汽車工業|55 31 10|100 100 48 76|0.5 18
2241 艾姆勒|汽車工業|53 41 61|93 93 9 14|1.1 15
2247 汎德永業|汽車工業|38 39 15|88 88 7 33|0.2 36
2301 光寶科|電腦及週|-15 -14 -6|87 87 45 92|0.6 6428
2303 聯電|半導體業|-23 -23 -22|90 90 -4 -5|1.1 1676
2305 全友|電腦及週|-3 19 9|56 77 -15 -25|0.2 6
2308 台達電|電子零組|5 9 -11|93 93 11 18|0.5 1989
2312 金寶|其他電子|-18 -11 -23|91 91 19 19|0.3 243
2313 華通|電子零組|-12 -15 -10|90 93 3 3|0.7 257
2314 台揚|通信網路|-35 -10 -30|75 75 -16 -14|0.6 30
2316 楠梓電|電子零組|-20 -32 -4|72 72 25 24|0.6 120
2317 鴻海|其他電子|-1 -10 -14|95 95 4 6|0.9 2561
2323 中環|光電業|6 -0 12|83 83 -4 52|0.4 241
2324 仁寶|電腦及週|-13 -18 -1|86 86 13 35|0.8 1664
2327 國巨*|電子零組|-15 -16 -11|86 90 -5 -11|0.8 629
2328 廣宇|電子零組|10 5 3|86 86 -8 -2|0.3 93
2329 華泰|半導體業|17 4 12|93 93 127 141|0.9 1289
2330 台積電|半導體業|-5 -7 -24|93 93 -1 6|1.0 11150
2331 精英|電腦及週|-41 -39 -2|98 98 29 87|4.3 190
2332 友訊|通信網路|-6 -5 -9|97 97 18 45|1.6 429
2337 旺宏|半導體業|-39 -40 -5|95 97 6 1|3.4 162
2338 光罩|半導體業|-8 -6 -9|74 74 -11 -17|0.4 111
2340 台亞|半導體業|-11 -16 16|87 87 32 31|0.4 231
2342 茂矽|半導體業|-29 -33 -14|78 78 -10 -12|0.5 15
2344 華邦電|半導體業|-15 -22 4|90 90 -6 6|0.6 506
2345 智邦|通信網路|10 7 -16|93 93 41 61|1.1 1679
2347 聯強|電子通路|-3 -8 -2|99 99 2 -0|0.8 133
2351 順德|半導體業|-9 -8 -4|75 75 -15 -17|0.2 75
2352 佳世達|電腦及週|-22 -18 -6|78 78 9 54|0.4 537
2353 宏碁|電腦及週|2 -11 13|91 91 16 48|0.7 1070
2354 鴻準|其他電子|39 6 10|94 94 3 2|0.5 104
2355 敬鵬|電子零組|4 -9 -3|100 100 24 34|3.4 284
2356 英業達|電腦及週|-11 -1 5|78 78 61 114|0.5 4599
2357 華碩|電腦及週|2 -5 5|94 94 35 46|1.1 4093
2359 所羅門|其他電子|7 -8 -3|96 96 28 39|0.7 213
2360 致茂|其他電子|-36 -20 -35|95 95 32 60|0.8 702
2362 藍天|電腦及週|-13 -13 -18|88 88 -1 4|0.3 15
2363 矽統|半導體業|-45 -40 -11|100 100 109 100|3.8 3077
2364 倫飛|電腦及週|6 6 -14|68 91 -1 -5|6.0 12
2367 燿華|電子零組|-28 -15 -24|77 94 -1 -4|2.3 43
2368 金像電|電子零組|-2 -16 -16|100 100 62 140|0.7 2973
2369 菱生|半導體業|-1 -6 20|97 97 30 25|2.1 34
2371 大同|電機機械|68 89 32|89 89 22 48|0.3 591
2374 佳能|光電業|6 -15 -15|94 100 17 9|1.3 41
2375 凱美|電子零組|-22 -24 0|81 81 -11 -15|0.6 14
2376 技嘉|電腦及週|17 24 27|96 96 65 191|1.5 11647
2377 微星|電腦及週|7 -6 12|79 79 -4 18|0.9 891
2379 瑞昱|半導體業|-8 -10 8|95 95 8 8|1.1 920
2382 廣達|電腦及週|-33 -21 -22|93 93 117 231|0.9 28527
2383 台光電|電子零組|11 -2 10|98 98 113 129|0.9 4625
2385 群光|電子零組|-22 -17 -8|96 96 6 18|0.4 245
2387 精元|電腦及週|-25 -1 -1|99 99 14 20|0.8 42
2388 威盛|半導體業|101 60 28|76 76 31 32|1.5 2259
2392 正崴|電子零組|2 -15 -15|100 100 17 22|1.8 112
2393 億光|光電業|-14 -18 2|89 89 -1 22|0.4 53
2395 研華|電腦及週|-19 -9 -16|85 85 -2 7|0.8 387
2399 映泰|電腦及週|-8 5 16|84 84 4 49|0.5 56
2401 凌陽|半導體業|8 -13 20|100 100 30 26|1.4 277
2402 毅嘉|電子零組|29 25 -0|100 100 36 144|2.5 676
2404 漢唐|其他電子|17 38 -89|93 93 4 -1|0.5 317
2405 輔信|電腦及週|1 -12 0|82 82 10 8|0.2 50
2406 國碩|光電業|-55 -61 -23|71 79 -12 -18|0.5 9
2408 南亞科|半導體業|-45 -53 8|87 87 -5 17|0.6 377
2409 友達|光電業|22 11 37|87 87 0 -3|0.4 582
2412 中華電|通信網路|2 4 1|94 94 -3 2|0.9 696
2413 環科|電子零組|-8 -8 -38|67 67 -18 -9|0.3 16
2415 錩新|電子零組|17 3 7|90 90 37 27|0.6 33
2419 仲琦|通信網路|-46 -26 -51|75 75 46 40|0.4 205
2420 新巨|電子零組|-22 -24 -10|93 93 5 15|0.3 16
2421 建準|電子零組|-6 -12 -13|90 90 59 218|0.8 2638
2423 固緯|其他電子|-8 -5 -10|89 89 -9 19|0.7 11
2425 承啟|電腦及週|59 11 20|81 81 29 41|0.5 305
2426 鼎元|光電業|1 -6 16|84 84 -5 -2|0.3 8
2427 三商電|資訊服務|3 -22 -20|71 71 -21 74|0.1 42
2428 興勤|電子零組|-1 -3 -1|88 88 3 8|0.4 92
2436 偉詮電|半導體業|27 18 38|98 98 33 42|4.3 85
2439 美律|通信網路|-27 -10 -17|92 92 -1 4|0.9 49
2440 太空梭|電子零組|13 -8 13|100 100 41 37|2.1 27
2441 超豐|半導體業|-8 -18 14|99 99 8 13|1.8 97
2442 新美齊|建材營造|35 138 88|95 95 4 33|0.4 20
2449 京元電子|半導體業|-11 -14 -3|97 97 53 74|1.6 1106
2450 神腦|通信網路|-1 4 4|100 100 9 13|0.9 6
2451 創見|半導體業|-21 -17 3|97 97 0 10|0.4 20
2453 凌群|資訊服務|3 15 10|68 68 -24 3|0.1 71
2454 聯發科|半導體業|-22 -29 -7|98 98 3 -1|0.8 3435
2455 全新|通信網路|18 0 35|99 99 29 78|1.7 360
2457 飛宏|電子零組|14 2 -2|85 85 -15 47|0.5 500
2458 義隆|半導體業|2 -20 17|99 99 17 21|0.6 278
2460 建通|電子零組|9 -15 16|97 97 18 39|1.2 70
2461 光群雷|其他電子|1 -9 -1|86 86 6 19|0.2 30
2462 良得電|電子零組|-20 -29 -10|97 97 19 15|0.7 105
2464 盟立|其他電子|-18 -26 -17|93 93 10 6|0.9 46
2465 麗臺|電腦及週|-34 -32 3|81 87 -7 -15|0.5 10
2468 華經|資訊服務|-17 35 16|66 66 7 3|0.5 23
2471 資通|資訊服務|-14 -4 -1|79 79 -15 28|0.2 22
2472 立隆電|電子零組|-17 -18 -3|85 85 -3 -9|0.7 18
2474 可成|其他電子|-38 -3 8|98 98 1 2|1.6 347
2476 鉅祥|電子零組|-24 -16 -11|84 86 -2 -2|0.5 21
2480 敦陽科|資訊服務|4 12 6|91 91 3 25|0.2 31
2481 強茂|半導體業|-10 -2 11|83 83 -6 -7|0.2 128
2482 連宇|其他電子|-13 15 -118|66 66 -26 -2|0.2 66
2484 希華|電子零組|-37 -35 -12|83 87 -6 -13|1.1 16
2485 兆赫|通信網路|-10 6 -7|100 100 48 55|6.9 25
2486 一詮|光電業|-4 -11 8|82 82 5 61|0.9 213
2488 漢平|其他電子|-28 -23 -13|98 98 17 18|0.8 21
2489 瑞軒|光電業|34 -2 20|80 80 -17 13|0.3 14
2492 華新科|電子零組|1 -8 8|92 92 -3 -1|0.6 136
2493 揚博|電子零組|-5 -13 -14|98 98 3 34|0.6 23
2495 普安|電腦及週|-29 -21 -43|79 79 -16 0|1.0 34
2497 怡利電|汽車工業|53 27 -1|71 79 -9 -15|0.5 35
2498 宏達電|通信網路|-21 -2 5|77 81 -17 -19|0.5 231
2501 國建|建材營造|-52 35 -52|89 89 -5 -11|0.5 9
2504 國產|建材營造|-8 -1 -2|96 96 0 5|0.4 33
2505 國揚|建材營造|-58 -83 -37|94 96 1 -4|0.5 6
2515 中工|建材營造|31 68 48|91 91 -8 19|0.2 46
2520 冠德|建材營造|-19 -5 -19|99 99 16 17|0.8 62
2528 皇普|建材營造|110 128065 95989|98 98 1 59|0.5 8
2530 華建|建材營造|-29 -20 -16814|95 95 4 45|0.7 19
2534 宏盛|建材營造|-67 -67 -100|80 86 -8 -15|0.2 17
2535 達欣工|建材營造|-17 -19 -16|99 99 1 10|0.8 12
2536 宏普|建材營造|10 25 -17|96 96 1 10|0.7 9
2538 基泰|建材營造|-37 -58 -59|92 92 14 12|1.6 32
2539 櫻花建|建材營造|-100 na na|94 94 17 34|0.6 27
2540 愛山林|建材營造|55 113 81|97 97 17 19|1.4 49
2542 興富發|建材營造|2306 1239 908|96 99 1 3|0.7 84
2546 根基|建材營造|-20 19 -27|100 100 16 45|0.4 6
2548 華固|建材營造|-85 -90 -44|97 97 -2 7|0.5 56
2603 長榮|航運業|-63 -62 -21|80 98 29 17|0.2 1610
2605 新興|航運業|15 1 -5|76 79 -2 -23|0.8 60
2606 裕民|航運業|11 1 9|79 81 -1 -21|0.7 194
2607 榮運|航運業|-25 -20 -44|85 99 7 4|0.5 42
2608 嘉里大榮|航運業|-5 -6 1|95 100 3 3|1.3 9
2609 陽明|航運業|-69 -68 -17|69 78 -2 -12|0.3 661
2610 華航|航運業|27 29 20|82 82 2 13|0.3 1347
2611 志信|航運業|-20 -19 12|71 87 -7 -15|0.3 7
2612 中航|航運業|-9 -16 -12|91 91 4 -4|0.3 24
2614 東森|其他|-8 -2 -1|45 54 -33 -45|1.2 28
2615 萬海|航運業|-66 -67 -13|49 61 -15 -39|0.5 276
2617 台航|航運業|-6 -3 -14|89 89 4 -10|0.5 28
2618 長榮航|航運業|58 52 15|78 78 -10 14|0.5 2743
2630 亞航|航運業|-12 8 -10|61 61 -14 123|2.3 168
2633 台灣高鐵|航運業|36 83 29|91 91 -7 0|0.9 67
2634 漢翔|航運業|19 24 -19|97 97 10 60|1.8 927
2636 台驊控股|航運業|-47 -53 6|96 96 6 11|0.2 25
2637 慧洋-KY|航運業|-47 -42 -18|73 75 -9 -25|0.7 151
2640 大車隊|數位雲端|6 16 -1|78 78 -19 6|0.3 10
2641 正德|航運業|-22 -19 -0|77 77 -10 -21|1.0 19
2645 長榮航太|航運業|43 33 6|na na 29 na|2.4 589
2702 華園|觀光餐旅|-6 -5 -38|78 78 -9 -17|0.3 7
2704 國賓|觀光餐旅|-9 14 12|97 97 17 57|2.4 15
2705 六福|觀光餐旅|9 133 59|66 66 -10 -5|0.3 22
2706 第一店|觀光餐旅|46 48 16|80 80 -13 1|0.3 7
2707 晶華|觀光餐旅|16 49 16|72 72 -23 -22|0.4 137
2719 燦星旅|觀光餐旅|3094 2045 789|53 53 -16 10|0.4 8
2722 夏都|觀光餐旅|-19 20 -0|52 52 -17 13|0.5 19
2723 美食-KY|觀光餐旅|0 6 -1|68 70 -24 -27|2.2 83
2727 王品|觀光餐旅|19 41 17|75 75 -23 -0|0.7 290
2729 瓦城|觀光餐旅|26 50 21|95 95 12 23|0.7 59
2731 雄獅|觀光餐旅|1058 1323 714|69 69 -28 7|0.4 284
2732 六角|觀光餐旅|-2 -1 -1|65 65 -33 -29|0.5 39
2734 易飛網|觀光餐旅|349 397 -50|54 54 -25 24|0.4 21
2736 富野|觀光餐旅|-22 69 26|61 61 -20 20|0.4 29
2739 寒舍|觀光餐旅|33 108 23|51 51 -42 -35|0.7 17
2743 山富|觀光餐旅|1542 1610 527|62 62 -21 73|0.8 55
2745 五福|觀光餐旅|5418 5636 3228|66 66 -4 73|0.9 71
2748 雲品|觀光餐旅|12 48 6|65 65 -15 -18|0.7 183
2753 八方雲集|觀光餐旅|8 6 -5|68 75 -8 -27|0.3 50
2754 亞洲藏壽司|觀光餐旅|23 48 11|63 67 -26 -33|0.7 23
2801 彰銀|金融保險|-2 14 -6|97 97 0 4|0.5 214
2809 京城銀|金融保險|21 375 235|99 99 5 9|0.6 31
2812 台中銀|金融保險|9 17 2|97 97 6 12|0.4 42
2816 旺旺保|金融保險|21 38 20|96 96 43 50|6.6 12
2820 華票|金融保險|193 93 73|91 97 -2 -2|0.4 9
2832 台產|金融保險|5 12 14|100 100 9 18|0.9 8
2834 臺企銀|金融保險|9 14 -8|93 94 -3 -6|0.8 195
2838 聯邦銀|金融保險|8 32 13|91 91 -9 -5|2.8 18
2845 遠東銀|金融保險|14 16 -6|97 97 6 5|0.4 34
2850 新產|金融保險|16 11 5|100 100 14 17|0.6 8
2851 中再保|金融保險|40 12 10|94 94 14 27|1.0 39
2855 統一證|金融保險|169 127 -145|95 95 13 15|0.5 26
2880 華南金|金融保險|-7 12 3|89 92 -6 -9|1.4 218
2881 富邦金|金融保險|7 -8 57|96 96 6 9|0.8 742
2882 國泰金|金融保險|62 26 63|97 97 3 6|0.8 642
2883 凱基金|金融保險|-19 -34 34|85 89 -9 -11|0.7 353
2884 玉山金|金融保險|-8 18 9|92 94 -3 3|0.9 339
2885 元大金|金融保險|29 18 25|98 98 7 12|0.8 403
2886 兆豐金|金融保險|1 45 29|92 92 2 13|0.8 720
2887 台新新光金|金融保險|45 34 18|97 97 2 15|0.8 214
2889 國票金|金融保險|7 42 49|87 87 -3 -9|0.6 24
2890 永豐金|金融保險|14 20 13|95 95 4 5|0.7 271
2891 中信金|金融保險|16 4 50|93 93 1 9|0.7 981
2892 第一金|金融保險|-13 -1 -8|95 95 0 4|1.1 517
2903 遠百|貿易百貨|-0 12 7|99 99 3 8|2.1 24
2905 三商|貿易百貨|51 114 87|78 81 -10 -18|1.7 6
2906 高林|貿易百貨|-7 -21 -10|89 93 6 -4|0.7 16
2908 特力|貿易百貨|1 -7 7|98 98 1 3|0.9 5
2912 統一超|貿易百貨|9 10 -1|95 95 -2 2|0.7 236
2913 農林|貿易百貨|-5 12 8|76 76 -4 3|0.3 287
2915 潤泰全|貿易百貨|-6 -14 -11|90 96 6 -4|0.9 126
3003 健和興|電子零組|-25 -18 -6|84 84 -9 3|0.4 42
3004 豐達科|鋼鐵工業|47 35 -24|85 85 3 17|1.4 174
3005 神基|電腦及週|-1 -3 -19|96 96 -1 33|0.4 185
3006 晶豪科|半導體業|-18 -31 15|80 80 -14 -3|0.7 98
3008 大立光|光電業|-11 -16 -15|86 86 -9 -13|0.9 1041
3010 華立|電子通路|-10 -10 2|99 99 11 8|1.6 38
3011 今皓|電子零組|-37 -23 6|100 100 50 108|2.2 46
3013 晟銘電|電腦及週|-4 4 -17|78 78 48 80|0.5 527
3014 聯陽|半導體業|51 40 50|91 91 33 69|0.6 413
3015 全漢|電子零組|-9 -5 3|95 95 8 26|0.9 17
3016 嘉晶|半導體業|-30 -30 -16|66 82 -7 -16|0.3 28
3017 奇鋐|電腦及週|6 8 -3|88 88 69 187|0.6 5127
3019 亞光|光電業|-6 -9 2|91 93 -2 -9|0.4 37
3021 鴻名|電子零組|-36 -29 -20|90 90 15 15|2.2 47
3022 威強電|電腦及週|-26 -2 -37|83 83 -8 1|0.5 81
3023 信邦|電子零組|2 11 -9|84 84 -11 6|0.4 126
3024 憶聲|光電業|-24 13 13|90 90 15 19|0.3 25
3025 星通|通信網路|-18 32 32|77 77 -8 80|0.1 100
3026 禾伸堂|電子零組|-5 -10 1|99 99 1 10|0.6 12
3027 盛達|通信網路|70 146 82|75 75 -0 -7|0.2 70
3028 增你強|電子通路|-12 -21 4|95 95 -4 9|0.3 9
3029 零壹|資訊服務|11 5 -0|87 87 -7 18|0.3 100
3030 德律|其他電子|-42 -47 -27|97 97 -1 1|0.3 11
3032 偉訓|電子零組|35 40 27|84 84 8 82|0.3 484
3033 威健|電子通路|14 7 7|87 87 -0 10|0.3 55
3034 聯詠|半導體業|41 19 43|91 91 -0 2|0.5 1202
3035 智原|半導體業|-9 -12 -20|91 91 105 89|1.0 6626
3036 文曄|電子通路|15 -1 -10|98 98 10 10|0.4 124
3037 欣興|電子零組|-27 -30 -28|91 91 8 43|0.7 3151
