# 2023-06 月末(2023-06-30)全池量化快照(1183 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1451 年興|紡織纖維|-24 -26 -14|80 92 -5 5|1.0 5
1467 南緯|紡織纖維|-31 -37 -15|90 98 6 11|4.8 13
1471 首利|電子零組|40 6 13|96 96 69 77|3.3 22
1472 三洋實業|建材營造|78 101 -48|98 98 25 83|3.8 10
1476 儒鴻|紡織纖維|-25 -31 -23|98 98 4 10|1.2 444
1477 聚陽|紡織纖維|-3 -1 -4|100 100 36 34|2.8 1524
1503 士電|電機機械|9 12 -2|96 96 85 153|0.4 1277
1504 東元|電機機械|6 6 -3|94 94 28 102|0.6 1265
1506 正道|電機機械|-7 -5 -4|81 81 -10 7|0.5 6
1513 中興電|電機機械|32 12 -1|100 100 43 109|1.1 3375
1514 亞力|電機機械|20 21 -12|100 100 62 112|0.8 927
1515 力山|電機機械|12 -15 46|92 92 20 11|1.5 56
1519 華城|電機機械|-1 68 65|89 89 110 207|0.4 2227
1522 堤維西|汽車工業|7 -2 -11|99 99 24 42|1.6 272
1524 耿鼎|汽車工業|10 -1 -16|83 90 -7 7|0.4 43
1525 江申|汽車工業|37 35 -5|95 95 81 106|1.4 115
1526 日馳|電機機械|-63 -53 -40|72 91 -2 -0|0.7 7
1527 鑽全|電機機械|-50 -43 -13|92 92 -2 3|1.0 10
1528 恩德|電機機械|-2 -1 -9|97 97 56 70|2.5 134
1529 樂事綠能|電機機械|630 381 245|91 91 46 105|0.6 358
1532 勤美|電機機械|2 -16 14|98 98 4 29|1.2 26
1533 車王電|汽車工業|113 74 40|100 100 35 38|2.9 263
1535 中宇|電機機械|31 19 9|99 99 12 29|0.5 7
1536 和大|汽車工業|3 2 -9|76 95 -0 3|1.1 74
1537 廣隆|電機機械|-8 -15 -62|99 99 -0 4|0.8 10
1539 巨庭|電機機械|-34 -43 1|59 85 -12 -3|0.6 6
1540 喬福|電機機械|33 0 -75|96 96 6 17|1.7 10
1558 伸興|電機機械|15 3 -11|85 88 -1 -7|0.8 8
1560 中砂|電機機械|-9 -8 -13|72 93 5 11|0.7 334
1565 精華|生技醫療|-3 -8 2|86 86 -10 -2|0.8 36
1568 倉佑|汽車工業|-11 -11 2|87 95 12 18|0.5 22
1580 新麥|電機機械|0 19 20|92 92 23 44|0.4 25
1582 信錦|電子零組|-21 -22 -3|88 96 1 3|1.0 7
1584 精剛|其他|71 68 1|88 88 26 74|0.5 227
1589 永冠-KY|電機機械|9 29 11|84 84 -9 30|0.9 116
1590 亞德客-KY|電機機械|5 11 7|83 83 -15 12|0.7 655
1591 駿吉-KY|電機機械|-94 -93 na|97 97 38 114|2.0 46
1598 岱宇|運動休閒|13 4 21|79 79 -9 -5|3.2 18
1603 華電|電器電纜|61 22 -29|100 100 26 33|2.9 58
1604 聲寶|電器電纜|3 -1 3|98 98 3 11|0.8 7
1605 華新|電器電纜|0 2 -3|73 73 -14 -11|2.0 1767
1608 華榮|電器電纜|-18 -12 -3|94 94 59 68|0.5 124
1609 大亞|電器電纜|-13 -9 -0|95 95 48 91|0.5 1495
1611 中電|電器電纜|-24 -20 -7|91 92 19 39|0.3 37
1612 宏泰|電器電纜|-2 -8 -4|95 95 34 62|0.6 112
1616 億泰|電器電纜|14 9 -1|92 92 21 41|0.9 14
1618 合機|電器電纜|-20 59 16|90 90 17 40|0.3 36
1701 中化|生技醫療|1 2 -7|71 71 1 -14|1.0 29
1702 南僑|食品工業|12 15 7|96 96 6 11|0.5 17
1707 葡萄王|生技醫療|-8 -1 -6|92 92 -3 8|0.4 35
1708 東鹼|化學工業|-9 -14 -40|74 86 -9 -5|0.4 34
1709 和益|化學工業|-40 -4 -6|91 91 -2 11|0.2 17
1710 東聯|化學工業|5 -11 11|94 94 14 23|0.5 90
1711 永光|化學工業|-15 -20 -8|98 98 18 21|0.9 64
1712 興農|化學工業|-21 -22 -26|84 90 -4 5|0.5 18
1717 長興|化學工業|-18 -20 -7|93 93 4 7|0.5 37
1720 生達|生技醫療|2 14 -16|92 92 31 25|0.5 79
1721 三晃|化學工業|-37 -40 -24|85 85 10 4|0.2 19
1722 台肥|化學工業|-4 -9 -5|94 97 8 14|0.6 61
1723 中碳|化學工業|-36 -24 -30|98 98 0 10|1.8 58
1727 中華化|化學工業|-20 -26 -19|80 80 35 35|0.4 83
1731 美吾華|生技醫療|29 27 24|94 94 23 24|1.0 11
1733 五鼎|生技醫療|-35 -24 -19|99 99 16 18|0.8 16
1734 杏輝|生技醫療|3 13 -5|93 93 17 10|1.9 103
1736 喬山|運動休閒|38 21 10|84 94 8 -4|2.0 46
1737 臺鹽|食品工業|7 -9 2|100 100 5 8|3.3 8
1742 台蠟|化學工業|97 -1 5|96 96 31 31|0.7 7
1752 南光|生技醫療|22 34 6|81 81 11 12|0.6 121
1760 寶齡富錦|生技醫療|-42 -30 -29|71 71 -21 -21|0.8 200
1762 中化生|生技醫療|50 9 -16|90 90 17 51|0.9 122
1773 勝一|化學工業|-21 -22 -8|80 95 6 15|0.6 22
1777 生泰|生技醫療|15 14 -43|92 92 7 9|0.5 7
1783 和康生|生技醫療|7 21 2|89 89 15 36|1.5 49
1784 訊聯|生技醫療|24 20 9|91 91 46 57|0.9 34
1785 光洋科|其他電子|-22 -21 6|91 97 6 20|2.0 72
1786 科妍|生技醫療|42 35 4|100 100 38 68|2.4 47
1789 神隆|生技醫療|-45 -15 -28|100 100 16 18|1.7 51
1795 美時|生技醫療|52 58 12|95 95 26 42|1.3 2147
1796 金穎生技|食品工業|46 46 18|71 71 22 54|0.3 33
1802 台玻|玻璃陶瓷|-5 6 20|77 82 -7 -9|2.0 224
1806 冠軍|玻璃陶瓷|21 -1 11|92 92 17 16|0.4 32
1808 潤隆|建材營造|4327 1683 1263|99 99 11 17|1.6 13
1809 中釉|玻璃陶瓷|-7 -11 -19|90 90 7 19|0.2 13
1810 和成|玻璃陶瓷|10 -2 4|86 86 34 37|0.4 81
1815 富喬|電子零組|-24 -27 -7|89 92 12 15|0.7 48
1903 士紙|造紙工業|1 18 23|88 88 20 4|0.5 35
1904 正隆|造紙工業|-8 -11 -2|99 99 25 30|1.9 158
1905 華紙|造紙工業|-20 -11 -16|96 96 75 73|1.0 517
1907 永豐餘|造紙工業|-11 -6 -1|95 95 40 54|1.8 436
1909 榮成|造紙工業|-5 -10 4|91 91 2 14|1.0 36
2002 中鋼|鋼鐵工業|-25 -24 -5|92 92 -5 -1|1.0 418
2006 東和鋼鐵|鋼鐵工業|9 -4 0|98 99 5 24|0.9 78
2009 第一銅|鋼鐵工業|-31 -21 1|85 85 -6 2|0.4 28
2010 春源|鋼鐵工業|-11 -16 1|100 100 14 14|3.5 10
2013 中鋼構|鋼鐵工業|52 23 4|95 95 -1 -1|1.3 5
2014 中鴻|鋼鐵工業|-41 -35 0|82 82 -7 -10|1.6 136
2015 豐興|鋼鐵工業|-11 -14 -1|99 99 4 18|0.4 13
2017 官田鋼|鋼鐵工業|-21 -32 -10|88 88 -4 22|1.1 17
2023 燁輝|鋼鐵工業|-27 -19 4|90 90 1 -7|1.3 25
2027 大成鋼|鋼鐵工業|-16 -19 -17|98 98 4 10|0.7 326
2028 威致|鋼鐵工業|-11 -16 -0|78 78 -13 -16|0.9 6
2029 盛餘|鋼鐵工業|-3 -23 6|96 96 -2 4|0.9 7
2030 彰源|鋼鐵工業|-20 -26 -11|90 95 -1 -1|1.1 17
2031 新光鋼|鋼鐵工業|2 -11 -15|86 86 -3 11|0.3 85
2034 允強|鋼鐵工業|-24 -12 4|94 94 0 2|1.0 14
2038 海光|鋼鐵工業|-7 -5 -5|85 85 -7 -11|0.8 7
2049 上銀|電機機械|-19 -19 -8|90 90 -3 31|0.8 283
2059 川湖|電子零組|-29 -29 -28|100 100 74 71|2.9 473
2065 世豐|鋼鐵工業|-15 -3 1|97 97 6 26|0.6 7
2066 世德|電機機械|-3 2 -18|90 90 9 22|0.4 19
2101 南港|橡膠工業|-3 -9 0|95 95 2 17|0.7 28
2102 泰豐|橡膠工業|-66 -52 -53|87 88 -12 -5|0.7 9
2103 台橡|橡膠工業|-13 -11 -10|90 90 -6 -1|0.9 24
2104 國際中橡|橡膠工業|-26 -23 -20|94 94 9 12|1.5 72
2105 正新|橡膠工業|3 5 3|97 97 14 24|1.0 243
2106 建大|橡膠工業|-21 -13 -14|86 100 3 6|1.1 14
2107 厚生|橡膠工業|-42 -38 -7|95 95 0 2|1.6 8
2108 南帝|橡膠工業|-37 -39 5|84 84 -7 4|0.6 20
2201 裕隆|汽車工業|22 13 8|92 92 10 40|0.5 811
2204 中華|汽車工業|43 27 12|93 93 46 89|0.5 519
2206 三陽工業|汽車工業|52 45 9|92 92 129 167|0.6 1798
2207 和泰車|汽車工業|44 31 17|94 94 29 39|0.7 237
2208 台船|航運業|-11 35 11|88 88 5 27|0.4 86
2211 長榮鋼|鋼鐵工業|-4 3 27|98 98 20 28|1.5 147
2227 裕日車|汽車工業|104 46 28|88 98 4 5|0.8 7
2228 劍麟|汽車工業|29 13 -7|100 100 18 32|1.3 56
2230 泰茂|居家生活|55 18 14|100 100 48 293|2.3 29
2231 為升|汽車工業|22 33 14|85 85 -11 13|0.4 111
2233 宇隆|汽車工業|-6 -7 -4|90 90 3 11|0.2 14
2236 百達-KY|汽車工業|23 36 21|100 100 66 171|1.0 59
2239 英利-KY|汽車工業|135 87 47|97 97 11 36|1.0 31
2247 汎德永業|汽車工業|55 25 5|98 98 37 71|1.2 269
2301 光寶科|電腦及週|-15 -15 -11|93 93 41 70|1.3 1968
2302 麗正|半導體業|10 3 -10|87 87 -11 18|0.5 31
2303 聯電|半導體業|-23 -21 -30|95 95 -0 24|1.5 2591
2305 全友|電腦及週|77 40 27|67 86 -5 -7|0.5 9
2308 台達電|電子零組|12 13 -9|94 94 20 25|1.2 3912
2312 金寶|其他電子|-3 -3 -23|97 97 15 10|1.2 193
2313 華通|電子零組|-8 -15 -20|88 99 2 1|1.1 315
2314 台揚|通信網路|1 -5 -30|77 86 5 17|0.4 43
2317 鴻海|其他電子|-9 -14 -23|98 98 8 13|1.7 4333
2323 中環|光電業|-3 -6 8|94 94 79 91|2.1 817
2324 仁寶|電腦及週|-7 6 16|98 98 22 34|0.9 815
2327 國巨*|電子零組|-14 -14 -13|85 85 -5 8|0.6 1198
2328 廣宇|電子零組|-4 -4 -5|93 93 3 6|0.5 165
2329 華泰|半導體業|-6 -13 -4|99 99 17 36|1.0 168
2330 台積電|半導體業|-5 -12 -35|97 97 8 27|0.9 14056
2331 精英|電腦及週|-35 -41 -17|100 100 38 53|1.1 360
2332 友訊|通信網路|-1 1 -7|100 100 19 38|2.5 175
2337 旺宏|半導體業|-36 -31 -2|92 92 -1 -1|0.9 486
2338 光罩|半導體業|0 -9 -19|86 86 -9 -3|1.1 141
2340 台亞|半導體業|-16 -28 5|91 91 14 28|6.6 132
2342 茂矽|半導體業|-37 -34 -22|84 84 -16 9|0.3 28
2344 華邦電|半導體業|-30 -31 -6|94 94 9 37|1.5 1072
2345 智邦|通信網路|5 9 -21|91 91 12 38|0.7 1235
2347 聯強|電子通路|-10 -10 -8|94 94 1 0|0.6 216
2348 海悅|其他|10 -21 0|90 98 5 11|0.7 6
2351 順德|半導體業|-11 -5 -2|96 96 1 34|1.0 130
2352 佳世達|電腦及週|-12 -15 -9|94 94 45 74|1.0 653
2353 宏碁|電腦及週|-18 -22 3|96 96 16 44|1.1 995
2354 鴻準|其他電子|-29 -18 -4|97 97 0 10|1.7 143
2355 敬鵬|電子零組|-13 -4 2|95 95 -4 9|0.8 23
2356 英業達|電腦及週|17 -4 -2|94 94 36 68|1.0 2035
2357 華碩|電腦及週|-5 -7 1|97 97 15 18|1.2 730
2358 廷鑫|其他|-68 -33 5|60 62 -28 -30|0.4 8
2359 所羅門|其他電子|-14 -15 -20|91 91 8 31|0.5 173
2360 致茂|其他電子|-8 -9 -34|97 97 41 41|0.9 612
2362 藍天|電腦及週|-1 88 83|97 99 15 14|2.6 42
2363 矽統|半導體業|-29 -30 -7|87 96 -2 16|1.1 25
2364 倫飛|電腦及週|22 34 9|65 85 -6 -6|0.3 17
2365 昆盈|電腦及週|6 -21 5|100 100 16 23|2.9 13
2367 燿華|電子零組|-8 -4 -26|74 91 -7 1|0.9 34
2368 金像電|電子零組|-25 -13 -20|100 100 55 68|1.0 1897
2369 菱生|半導體業|-13 -20 10|92 98 2 17|1.1 14
2371 大同|電機機械|92 72 30|99 99 64 61|1.8 2312
2373 震旦行|其他電子|19 35 25|92 99 1 3|0.9 5
2374 佳能|光電業|-21 -17 -37|79 93 2 0|1.2 11
2375 凱美|電子零組|-22 -18 6|84 84 -7 21|0.3 28
2376 技嘉|電腦及週|39 12 19|94 94 83 141|1.3 5241
2377 微星|電腦及週|-13 -12 6|95 95 23 51|0.8 872
2379 瑞昱|半導體業|-14 -19 -4|93 93 1 36|0.7 899
2382 廣達|電腦及週|-4 -1 -13|100 100 83 131|1.3 8003
2383 台光電|電子零組|-10 -12 1|98 98 33 41|0.9 1003
2385 群光|電子零組|-14 -11 -8|100 100 11 22|1.2 357
2387 精元|電腦及週|33 21 15|92 92 -1 11|0.5 27
2388 威盛|半導體業|2 8 -10|85 85 -4 17|0.8 751
2390 云辰|其他電子|20 8 -1|74 97 5 2|0.8 6
2392 正崴|電子零組|-26 -13 -20|97 97 2 15|1.3 53
2393 億光|光電業|-20 -13 8|100 100 27 40|1.2 119
2395 研華|電腦及週|4 9 -4|98 98 10 23|0.9 407
2397 友通|電腦及週|8 -2 -4|97 97 15 35|0.9 16
2399 映泰|電腦及週|21 14 26|100 100 43 72|0.6 207
2401 凌陽|半導體業|-24 -33 4|92 92 15 26|0.9 137
2402 毅嘉|電子零組|25 20 -2|92 92 22 83|0.6 245
2404 漢唐|其他電子|70 154 21|91 91 4 18|0.9 254
2405 輔信|電腦及週|-13 -6 5|91 97 20 26|2.8 70
2406 國碩|光電業|-59 -44 -16|79 87 -9 -3|0.8 20
2408 南亞科|半導體業|-63 -66 -6|93 93 14 42|1.2 904
2409 友達|光電業|-1 -14 23|92 92 1 27|1.2 628
2412 中華電|通信網路|2 2 -1|95 95 1 9|1.3 1021
2413 環科|電子零組|-20 8 -24|79 79 -4 25|0.3 47
2417 圓剛|電腦及週|-24 -17 -1|85 85 -7 -2|0.4 7
2419 仲琦|通信網路|11 18 -25|100 100 13 33|6.9 32
2420 新巨|電子零組|-29 -24 -13|99 99 5 17|0.6 9
2421 建準|電子零組|0 12 5|100 100 77 103|0.5 1197
2423 固緯|其他電子|13 18 8|95 95 19 39|0.5 23
2425 承啟|電腦及週|-9 -5 6|99 99 27 40|1.0 260
2426 鼎元|光電業|-16 -18 8|94 94 -3 9|0.7 9
2427 三商電|資訊服務|-26 -16 -23|92 92 79 131|2.9 296
2428 興勤|電子零組|-1 1 3|99 99 6 39|0.9 98
2430 燦坤|電子通路|-15 -16 -6|93 93 2 15|0.6 6
2431 聯昌|電子零組|-53 -48 -15|94 94 13 19|0.6 9
2436 偉詮電|半導體業|6 -11 20|89 89 8 30|0.4 118
2439 美律|通信網路|10 15 1|97 97 8 20|0.9 106
2441 超豐|半導體業|-21 -27 6|90 99 8 23|0.9 45
2442 新美齊|建材營造|163 168 145|89 89 19 37|0.4 35
2444 兆勁|通信網路|-4 -9 -10|56 62 -29 -39|0.7 8
2449 京元電子|半導體業|-17 -19 -16|99 99 17 56|1.2 676
2450 神腦|通信網路|7 -2 -1|100 100 7 20|0.9 11
2451 創見|半導體業|-18 -19 1|99 99 7 19|0.9 70
2453 凌群|資訊服務|39 16 11|87 87 1 174|0.5 385
2454 聯發科|半導體業|-39 -38 -21|96 96 -2 16|0.7 4375
2455 全新|通信網路|-2 -26 14|93 93 31 81|0.5 597
2457 飛宏|電子零組|11 5 -4|91 91 28 84|0.3 1773
2458 義隆|半導體業|-31 -33 6|83 94 2 23|0.6 151
2460 建通|電子零組|-28 -31 6|91 91 22 36|0.6 17
2461 光群雷|其他電子|-21 -22 -15|95 95 7 28|0.5 30
2462 良得電|電子零組|-26 -22 -10|91 91 8 14|3.7 33
2464 盟立|其他電子|-32 -17 -15|93 96 1 0|1.0 8
2465 麗臺|電腦及週|-39 -20 17|81 81 -10 -7|0.4 11
2467 志聖|電子零組|-32 -36 -24|93 93 8 20|0.4 23
2468 華經|資訊服務|133 54 33|97 97 71 56|0.5 71
2471 資通|資訊服務|-5 -0 -4|85 85 19 117|0.1 129
2472 立隆電|電子零組|-20 -20 -9|86 86 -5 12|0.4 15
2474 可成|其他電子|33 25 37|95 95 -2 11|2.0 377
2476 鉅祥|電子零組|-10 -6 -6|83 85 -13 7|0.4 28
2478 大毅|電子零組|-7 -15 8|96 96 7 15|1.0 9
2480 敦陽科|資訊服務|25 14 8|95 95 24 45|0.3 109
2481 強茂|半導體業|-0 -5 9|96 96 -2 14|0.8 145
2482 連宇|其他電子|15 86 -49|91 91 13 174|0.4 666
2483 百容|電子零組|-15 -20 -6|87 92 5 15|0.6 10
2484 希華|電子零組|-40 -35 -18|86 89 -5 5|0.2 29
2485 兆赫|通信網路|32 15 2|100 100 6 24|1.9 30
2486 一詮|光電業|-18 -18 1|97 97 56 106|0.6 357
2488 漢平|其他電子|-31 -38 -43|99 99 5 14|0.9 6
2489 瑞軒|光電業|-9 -11 16|97 97 45 51|0.7 89
2492 華新科|電子零組|-18 -20 0|86 86 -0 23|0.6 229
2493 揚博|電子零組|-6 -0 -10|93 93 22 52|0.8 22
2495 普安|電腦及週|-30 -0 -31|86 86 6 9|0.6 74
2497 怡利電|汽車工業|23 17 -15|77 86 -8 -2|0.4 61
2498 宏達電|通信網路|18 27 35|83 83 -8 2|0.6 429
2501 國建|建材營造|-19 61 -58|93 93 -4 8|0.9 14
2504 國產|建材營造|13 4 -1|100 100 6 19|1.2 114
2515 中工|建材營造|110 61 51|96 96 20 34|0.3 216
2520 冠德|建材營造|17 -11 -18|94 98 0 7|1.0 21
2528 皇普|建材營造|110 -30 -83|92 92 31 68|0.5 14
2530 華建|建材營造|-99 -99 -16899|94 94 32 41|0.5 23
2534 宏盛|建材營造|-60 -54 -102|84 90 -4 -5|1.6 17
2535 達欣工|建材營造|-8 -14 -19|99 99 7 20|0.4 13
2536 宏普|建材營造|-11 71 37|100 100 10 21|1.6 10
2538 基泰|建材營造|-67 -21 -54|89 96 3 9|0.6 6
2539 櫻花建|建材營造|-71 na na|98 98 13 30|0.8 19
2540 愛山林|建材營造|108 91 80|80 92 4 8|1.2 33
2542 興富發|建材營造|904 331 249|95 98 4 7|0.5 89
2545 皇翔|建材營造|-59 -75 -47|95 95 0 12|1.6 21
2546 根基|建材營造|66 41 -17|98 98 8 44|0.4 8
2548 華固|建材營造|-86 26 -64|98 98 5 11|0.7 52
2597 潤弘|建材營造|3 -3 -16|90 90 -7 -4|1.4 10
2603 長榮|航運業|-61 -61 -38|61 98 8 4|3.7 5698
2605 新興|航運業|-11 11 9|76 76 -16 1|0.8 55
2606 裕民|航運業|0 -3 3|77 77 -13 -4|1.0 203
2607 榮運|航運業|-16 -12 -70|82 99 4 2|1.3 51
2608 嘉里大榮|航運業|-7 -9 -2|91 99 3 4|0.6 6
2609 陽明|航運業|-66 -67 -34|66 91 -0 -4|2.0 1381
2610 華航|航運業|18 21 13|94 94 34 40|1.3 3004
2611 志信|航運業|-19 -22 4|72 87 -1 -3|0.6 13
2612 中航|航運業|-17 -15 -20|90 90 4 1|0.9 13
2614 東森|其他|4 -3 -5|61 73 -4 -20|0.7 24
2615 萬海|航運業|-67 -66 -28|55 68 -14 -26|1.1 496
2617 台航|航運業|4 10 -6|89 89 -1 13|0.7 28
2618 長榮航|航運業|40 43 9|96 96 47 44|1.4 5639
2630 亞航|航運業|38 42 17|95 95 247 290|0.6 654
2633 台灣高鐵|航運業|123 69 -32|97 97 7 12|0.7 114
2634 漢翔|航運業|52 56 9|92 92 43 80|0.5 1523
2636 台驊控股|航運業|-58 -60 -5|84 95 -2 8|0.9 44
2637 慧洋-KY|航運業|-38 -37 -30|70 77 -15 -16|0.8 169
2640 大車隊|數位雲端|23 21 -3|83 83 3 41|0.7 28
2641 正德|航運業|-6 -15 -7|83 86 -9 5|0.8 15
2643 捷迅|航運業|-42 -52 -41|97 97 3 13|0.7 9
2645 長榮航太|航運業|11 15 -8|na na 13 na|0.6 214
2701 萬企|觀光餐旅|48 30 11|93 93 12 18|0.5 28
2702 華園|觀光餐旅|5 15 -32|93 93 17 21|1.4 41
2704 國賓|觀光餐旅|44 4 -21|95 95 50 68|1.8 62
2705 六福|觀光餐旅|267 138 -2|92 92 42 48|1.2 243
2706 第一店|觀光餐旅|51 48 11|93 93 23 29|0.6 83
2707 晶華|觀光餐旅|73 43 5|83 83 -4 6|1.2 776
2712 遠雄來|觀光餐旅|306 164 -110|97 97 17 26|0.7 26
2719 燦星旅|觀光餐旅|1284 1503 422|82 82 79 163|1.1 43
2722 夏都|觀光餐旅|57 21 -253|90 90 100 201|0.5 267
2723 美食-KY|觀光餐旅|13 19 13|87 87 2 5|0.4 118
2727 王品|觀光餐旅|65 47 19|86 86 1 101|0.4 771
2729 瓦城|觀光餐旅|79 48 14|96 96 19 54|0.6 75
2731 雄獅|觀光餐旅|1165 866 408|90 90 17 80|0.4 827
2732 六角|觀光餐旅|9 1 -4|89 89 -3 47|0.4 129
2734 易飛網|觀光餐旅|421 499 60|90 90 94 150|1.9 126
2736 富野|觀光餐旅|178 70 -62|88 88 91 126|1.5 189
2739 寒舍|觀光餐旅|197 102 -16|82 82 18 129|0.8 90
2743 山富|觀光餐旅|1329 1473 284|100 100 185 213|0.2 104
2745 五福|觀光餐旅|5833 3633 2053|96 96 172 200|1.6 62
2748 雲品|觀光餐旅|103 35 -56|78 78 4 62|0.9 960
2753 八方雲集|觀光餐旅|4 6 -7|72 72 -4 -6|0.5 190
2754 亞洲藏壽司|觀光餐旅|78 43 -170|88 88 29 47|0.5 117
2755 揚秦|觀光餐旅|16 14 -7|100 100 26 131|1.8 16
2801 彰銀|金融保險|23 18 -5|99 99 8 8|0.8 269
2809 京城銀|金融保險|11 204 162|99 99 6 7|0.7 66
2812 台中銀|金融保險|16 16 1|100 100 10 19|1.1 61
2820 華票|金融保險|96 79 83|93 98 3 6|1.2 8
2832 台產|金融保險|24 20 26|99 99 11 12|0.9 7
2834 臺企銀|金融保險|17 23 -2|96 96 8 10|0.7 171
2838 聯邦銀|金融保險|17 35 26|98 98 6 3|1.0 14
2845 遠東銀|金融保險|3 11 -7|100 100 8 8|2.1 80
2850 新產|金融保險|9 6 2|94 100 11 15|0.9 10
2851 中再保|金融保險|-8 -6 -2|81 98 21 17|0.6 43
2855 統一證|金融保險|67 49 -189|98 98 11 12|0.6 20
2880 華南金|金融保險|8 2 -6|94 94 0 -2|0.7 156
2881 富邦金|金融保險|-24 -49 22|98 98 7 8|0.9 777
2882 國泰金|金融保險|18 -25 23|89 97 6 10|0.8 761
2883 凱基金|金融保險|-60 -70 -1|87 93 -1 -1|0.8 356
2884 玉山金|金融保險|-3 20 18|92 98 5 9|0.9 364
2885 元大金|金融保險|3 -3 11|97 97 7 10|1.4 530
2886 兆豐金|金融保險|25 28 22|99 99 17 25|1.2 649
2887 台新新光金|金融保險|37 21 16|99 99 15 26|0.9 303
2889 國票金|金融保險|2 5 31|84 88 -3 7|0.8 42
2890 永豐金|金融保險|16 9 5|95 98 5 5|0.9 252
2891 中信金|金融保險|-12 -31 17|99 99 15 15|0.9 700
2892 第一金|金融保險|-5 -3 -14|98 98 5 5|1.0 327
2897 王道銀行|金融保險|18 20 -20|99 99 6 23|0.7 40
2903 遠百|貿易百貨|26 12 1|98 98 6 12|1.6 29
2905 三商|貿易百貨|306 66 30|81 90 -1 1|1.2 6
2906 高林|貿易百貨|-51 -24 -16|90 93 8 9|5.1 11
2908 特力|貿易百貨|-13 -6 8|98 100 4 10|0.6 6
2912 統一超|貿易百貨|12 10 -3|97 97 5 5|0.9 241
2913 農林|貿易百貨|6 7 -2|92 92 7 5|1.0 260
2915 潤泰全|貿易百貨|-4 6 1|82 88 6 -7|0.6 135
2916 滿心|居家生活|60 39 -36|99 99 60 120|0.7 18
