# 2024-03 月末(2024-03-29)全池量化快照(1277 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
3483 力致|電腦及週|1 22 4|84 84 2 14|0.5 577
3484 崧騰|電子零組|1 -3 30|98 98 5 16|2.5 19
3489 森寶|建材營造|152 52 55|98 98 70 117|1.9 11
3490 單井|光電業|-59 -52 -17|94 94 20 18|0.4 8
3491 昇達科|通信網路|-21 4 11|87 91 -3 -3|0.5 125
3498 陽程|其他電子|-80 -79 -88|86 95 34 22|4.6 27
3499 環天科|通信網路|5 67 42|90 90 10 25|0.6 8
3501 維熹|電子零組|-20 4 14|99 99 11 13|1.2 18
3504 揚明光|光電業|-42 -17 11|66 80 -9 -4|0.3 26
3508 位速|其他電子|-27 -29 3|72 89 -7 -11|1.2 9
3512 皇龍|建材營造|-35 -48 -398|100 100 13 15|5.0 37
3515 華擎|電腦及週|4 18 -3|82 82 -0 17|0.4 696
3516 亞帝歐|光電業|-23 47 23|65 65 19 22|0.5 11
3518 柏騰|其他電子|-54 -8 -6|71 76 -14 -10|0.7 8
3520 華盈|電子零組|-48 8 13|72 80 7 11|0.2 10
3521 台鋼建設|建材營造|99 -2 -15|79 88 -6 -3|0.6 9
3522 御嵿|觀光餐旅|77 26 -0|81 81 -4 19|0.3 8
3526 凡甲|電子零組|-12 33 15|95 95 13 25|0.5 86
3527 聚積|半導體業|-27 0 19|79 82 -9 7|1.3 9
3529 力旺|半導體業|23 15 7|77 77 -0 26|1.2 1484
3530 晶相光|半導體業|-43 -13 -8|81 81 9 51|0.3 75
3532 台勝科|半導體業|-24 -11 1|88 88 -12 16|0.7 228
3533 嘉澤|電子零組|-23 10 16|100 100 37 70|0.8 2591
3535 晶彩科|光電業|-74 -79 -5|80 80 9 9|0.2 17
3537 堡達|電子零組|5 1 -16|100 100 2 8|1.2 9
3540 曜越|電腦及週|1 1 -35|81 85 5 25|0.7 154
3543 州巧|光電業|2 20 6|80 80 -2 15|0.3 6
