# 2023-02 月末(2023-02-24)全池量化快照(1027 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1402 遠東新|紡織纖維|-8 -7 -17|97 97 6 3|0.5 216
1409 新纖|紡織纖維|-33 -27 -27|92 98 4 -0|0.6 35
1417 嘉裕|紡織纖維|-14 -15 -34|88 88 18 33|0.2 30
1432 大魯閣|運動休閒|57 27 -61|95 95 55 41|2.5 35
1434 福懋|紡織纖維|-15 -12 -16|99 100 6 1|1.0 25
1437 勤益控|其他|-22 -2 -19|100 100 24 22|3.9 29
1440 南紡|紡織纖維|-22 -8 -16|77 94 7 -6|1.2 19
1442 名軒|建材營造|-73 1625 1267|83 83 -9 20|0.9 25
1443 立益物流|其他|-34 -32 -34|94 94 43 41|0.6 16
1444 力麗|紡織纖維|-32 -29 -39|88 88 1 -6|2.8 16
1451 年興|紡織纖維|-17 -19 -26|86 86 8 -14|1.2 9
1453 大將|建材營造|50 0 -54399|46 69 6 -29|0.5 7
1455 集盛|紡織纖維|-52 -47 -27|69 100 7 1|1.0 6
1457 宜進|紡織纖維|-45 -26 -26|99 99 4 5|0.7 5
1467 南緯|紡織纖維|-33 -32 -22|77 90 -8 -3|0.3 18
1473 台南|紡織纖維|1 5 -33|100 100 32 17|3.8 13
1475 業旺|紡織纖維|18 21 -274|91 95 8 12|1.0 8
1476 儒鴻|紡織纖維|-43 -31 -38|83 94 10 3|0.9 350
1477 聚陽|紡織纖維|-16 -10 -20|88 88 -3 15|0.8 368
1503 士電|電機機械|7 11 -0|94 94 41 28|4.9 109
1504 東元|電機機械|-3 2 -8|96 99 11 4|3.6 170
1506 正道|電機機械|-8 -4 -12|95 95 35 35|3.6 16
1513 中興電|電機機械|34 12 1|98 98 70 46|1.4 2584
1514 亞力|電機機械|24 35 -2|95 95 38 14|4.0 197
1515 力山|電機機械|-74 -77 -0|70 88 1 -15|0.8 15
1516 川飛|其他|13 na na|69 85 -4 -9|1.9 6
1517 利奇|電機機械|-61 -45 -45|81 81 -9 -17|1.0 8
1519 華城|電機機械|-39 -21 -8|97 97 56 61|2.6 624
1522 堤維西|汽車工業|1 6 -9|88 91 5 -8|1.4 68
1524 耿鼎|汽車工業|-28 1 -19|84 84 4 -7|0.7 116
1526 日馳|電機機械|-32 -24 -39|75 75 -5 -20|0.9 6
1527 鑽全|電機機械|-37 -30 -12|99 100 7 6|2.3 12
1529 樂事綠能|電機機械|178 76 29|79 94 47 41|1.2 94
1532 勤美|電機機械|-49 -50 -28|98 100 19 12|2.8 13
1533 車王電|汽車工業|-12 2 -15|73 82 2 -19|3.0 9
1535 中宇|電機機械|-19 -4 -6|100 100 12 0|5.6 6
1536 和大|汽車工業|-5 4 -7|76 76 1 -8|0.7 74
1537 廣隆|電機機械|-26 -13 -65|98 98 3 -1|0.8 11
1539 巨庭|電機機械|-72 -71 -46|61 61 -7 -39|0.6 11
1540 喬福|電機機械|52 31 -52|98 98 7 11|2.6 6
1558 伸興|電機機械|-32 5 1|90 93 8 -6|1.1 6
1560 中砂|電機機械|-11 -4 -17|67 72 4 -27|0.3 222
1565 精華|生技醫療|-29 -21 -11|93 97 13 -0|0.7 38
1568 倉佑|汽車工業|-37 -23 -17|77 79 -0 -19|0.6 6
1569 濱川|電腦及週|-33 -27 -36|87 87 4 -12|1.1 6
1580 新麥|電機機械|-7 -13 -8|96 99 14 -1|1.1 8
1582 信錦|電子零組|-46 -41 -36|89 90 4 -10|1.3 8
1584 精剛|其他|23 55 -7|96 96 63 39|1.2 402
1589 永冠-KY|電機機械|-21 4 -2|96 97 28 21|2.3 69
1590 亞德客-KY|電機機械|-25 -6 -8|96 96 27 30|1.0 755
1591 駿吉-KY|電機機械|-86 -60 na|95 95 28 39|1.8 30
1593 祺驊|運動休閒|24 42 57|100 100 32 33|2.3 6
1597 直得|電機機械|-20 -22 -9|92 97 2 8|2.2 6
1598 岱宇|運動休閒|9 -3 31|92 92 20 7|1.4 26
1603 華電|電器電纜|3 40 -5|83 91 -1 0|1.4 12
1605 華新|電器電纜|12 -2 -20|97 97 31 44|0.7 3078
1608 華榮|電器電纜|-5 -11 -13|73 98 10 2|0.6 16
1609 大亞|電器電纜|-25 -16 -13|85 96 31 12|1.5 237
1611 中電|電器電纜|-26 -21 -9|70 80 1 -20|1.1 12
1612 宏泰|電器電纜|-28 10 11|67 95 20 10|0.5 22
1618 合機|電器電纜|-32 31 12|92 92 8 13|0.5 6
1701 中化|生技醫療|2 13 5|75 75 32 22|0.5 225
1702 南僑|食品工業|-9 -1 -4|98 100 6 1|1.5 14
1707 葡萄王|生技醫療|-5 3 -1|100 100 38 31|0.8 127
1708 東鹼|化學工業|-25 -6 -73|62 82 -2 -18|1.2 72
1709 和益|化學工業|-33 -14 -23|81 97 8 1|3.7 13
1710 東聯|化學工業|-23 -20 0|85 98 7 4|0.5 11
1711 永光|化學工業|-35 -25 -19|71 88 6 -12|0.5 15
1712 興農|化學工業|-20 -7 -25|87 87 5 -10|0.9 44
1717 長興|化學工業|-39 -22 -17|81 90 1 -5|0.5 33
1720 生達|生技醫療|3 16 -10|89 89 22 19|0.2 66
1721 三晃|化學工業|-40 -20 -23|62 85 7 -15|0.9 10
1722 台肥|化學工業|-22 -31 -46|73 90 4 -9|1.0 81
1723 中碳|化學工業|-19 -13 -39|91 96 6 -4|1.5 28
1727 中華化|化學工業|-25 -13 -27|53 81 6 -19|0.5 7
1732 毛寶|化學工業|-24 -16 -9|58 76 -1 -17|0.2 6
1733 五鼎|生技醫療|-12 -13 -19|91 91 7 -6|0.5 5
1734 杏輝|生技醫療|-5 8 -8|85 85 5 -4|0.2 40
1736 喬山|運動休閒|-20 10 3|82 82 -4 30|0.3 61
1752 南光|生技醫療|16 27 17|85 85 65 52|0.2 182
1760 寶齡富錦|生技醫療|-25 -8 -29|85 85 -9 4|0.3 648
1762 中化生|生技醫療|83 26 -4|97 97 16 9|0.8 60
1773 勝一|化學工業|-30 -24 -22|67 86 11 -15|2.3 25
1777 生泰|生技醫療|46 65 19|98 98 11 23|0.8 7
1783 和康生|生技醫療|20 30 12|95 95 44 48|1.6 196
1784 訊聯|生技醫療|-10 10 4|90 90 11 2|1.1 34
1785 光洋科|其他電子|-41 -37 -16|72 95 11 -4|0.5 49
1786 科妍|生技醫療|78 30 7|100 100 36 35|1.3 35
1789 神隆|生技醫療|-11 57 37|90 90 7 -7|0.4 27
1795 美時|生技醫療|112 53 24|95 95 46 60|0.8 4297
1796 金穎生技|食品工業|3 4 -16|100 100 61 83|2.8 28
1802 台玻|玻璃陶瓷|-22 -18 -2|93 93 -3 31|0.2 60
1808 潤隆|建材營造|27 -1 68|95 95 17 18|0.7 26
1809 中釉|玻璃陶瓷|-42 -20 -36|94 97 6 8|0.5 24
1810 和成|玻璃陶瓷|-23 -23 -18|87 87 38 70|0.8 108
1815 富喬|電子零組|-26 -25 -12|83 87 3 -13|1.1 12
1903 士紙|造紙工業|-21 -15 13|75 86 -2 -13|1.5 6
1904 正隆|造紙工業|-27 -20 -15|85 99 6 2|0.6 32
1905 華紙|造紙工業|-19 -5 -12|75 95 1 -4|1.5 9
1907 永豐餘|造紙工業|-33 -19 -11|82 97 -2 10|1.2 33
1909 榮成|造紙工業|-38 -24 -18|89 100 17 19|0.6 54
2002 中鋼|鋼鐵工業|-34 -29 -22|87 98 8 8|0.6 503
2006 東和鋼鐵|鋼鐵工業|-29 -18 -19|79 100 15 9|1.1 80
2007 燁興|鋼鐵工業|-27 -23 -19|59 98 23 1|0.6 19
2009 第一銅|鋼鐵工業|-41 -35 -24|71 97 13 28|0.4 167
2010 春源|鋼鐵工業|-40 -30 -21|69 100 10 0|1.0 9
2013 中鋼構|鋼鐵工業|11 6 -15|99 99 5 2|0.9 12
2014 中鴻|鋼鐵工業|-28 -35 -18|66 97 21 7|0.6 411
2015 豐興|鋼鐵工業|-35 -19 -18|77 98 15 5|0.8 15
2017 官田鋼|鋼鐵工業|-32 -39 -25|100 100 50 36|2.5 39
2023 燁輝|鋼鐵工業|-31 -33 -24|72 99 16 11|0.7 46
2027 大成鋼|鋼鐵工業|9 -0 -16|84 97 8 8|0.4 300
2028 威致|鋼鐵工業|-41 -5 1|71 93 23 8|0.4 22
2029 盛餘|鋼鐵工業|-44 -39 -23|70 100 6 0|0.6 8
2030 彰源|鋼鐵工業|-39 -32 -37|63 92 5 -8|0.5 24
2031 新光鋼|鋼鐵工業|-36 6 -15|66 92 18 16|0.7 80
2032 新鋼|鋼鐵工業|-36 -9 -6|59 95 14 0|0.3 11
2033 佳大|鋼鐵工業|-60 -35 -23|64 97 20 7|0.7 6
2034 允強|鋼鐵工業|-23 -19 -13|88 99 9 3|1.0 58
2038 海光|鋼鐵工業|-44 -27 -32|69 95 17 -0|0.5 22
2049 上銀|電機機械|-40 -26 -29|92 100 39 15|2.0 986
2059 川湖|電子零組|-35 -9 -28|86 87 4 -7|1.3 116
2062 橋椿|居家生活|-59 -34 -16|84 93 10 -6|1.2 6
2063 世鎧精密|鋼鐵工業|-16 -4 -3|98 98 32 32|0.6 6
2065 世豐|鋼鐵工業|-20 -13 -2|99 99 16 16|1.0 6
2066 世德|電機機械|5 19 -6|93 93 11 5|0.8 17
2069 運錩|鋼鐵工業|-26 -28 -28|63 90 8 -10|0.6 7
2101 南港|橡膠工業|-20 -15 -7|85 92 5 -5|1.6 24
2102 泰豐|橡膠工業|-18 -12 -27|75 98 10 7|1.7 21
2103 台橡|橡膠工業|-12 -11 -14|85 97 10 -1|0.9 41
2104 國際中橡|橡膠工業|-18 -20 -22|74 94 1 -1|1.2 31
2105 正新|橡膠工業|-26 -15 -11|86 86 1 -3|1.4 87
2106 建大|橡膠工業|-20 -9 -18|83 86 1 -7|1.0 13
2108 南帝|橡膠工業|-48 -43 6|59 100 19 2|1.0 41
2201 裕隆|汽車工業|-14 -3 -1|96 96 50 104|0.6 2026
2204 中華|汽車工業|2 15 14|95 95 14 30|0.4 91
2206 三陽工業|汽車工業|8 6 -17|95 95 11 12|1.8 145
2207 和泰車|汽車工業|-18 2 1|93 93 -0 2|1.3 109
2208 台船|航運業|-7 5 -9|97 97 35 26|3.7 113
2211 長榮鋼|鋼鐵工業|-62 -58 -41|85 85 2 -13|0.5 11
2227 裕日車|汽車工業|-31 9 14|85 96 11 -4|1.0 6
2228 劍麟|汽車工業|-4 7 -11|97 97 1 11|1.2 13
2230 泰茂|居家生活|-39 -13 -3|97 97 128 111|2.6 150
2231 為升|汽車工業|-13 4 5|97 97 7 4|1.6 176
2233 宇隆|汽車工業|-24 -5 -7|86 92 9 -8|1.2 12
2236 百達-KY|汽車工業|6 6 2|100 100 108 100|1.1 49
2243 宏旭-KY|汽車工業|5476 1797 1287|100 100 62 28|2.9 13
2247 汎德永業|汽車工業|-4 5 2|100 100 11 13|2.3 12
2301 光寶科|電腦及週|-26 -13 -16|99 99 6 7|0.9 409
2302 麗正|半導體業|-43 -5 -16|91 91 -8 -8|0.7 9
2303 聯電|半導體業|-4 5 -24|98 98 9 21|0.8 3042
2305 全友|電腦及週|-34 -24 -15|67 67 -25 -33|0.7 12
2308 台達電|電子零組|13 19 -4|94 94 -2 7|1.0 1924
2312 金寶|其他電子|1 18 -12|80 91 -1 3|0.9 49
2313 華通|電子零組|-23 -11 -31|85 85 -5 -10|0.6 330
2314 台揚|通信網路|69 49 25|62 84 17 -12|1.5 68
2317 鴻海|其他電子|48 8 -8|89 91 1 -8|0.8 3081
2324 仁寶|電腦及週|-24 -34 -22|96 100 14 4|0.8 281
2327 國巨*|電子零組|-17 2 -9|91 94 19 30|0.8 1635
2328 廣宇|電子零組|-15 -3 -9|94 94 13 11|0.5 134
2329 華泰|半導體業|-21 -15 -11|88 98 6 5|1.1 61
2330 台積電|半導體業|16 30 -12|81 94 7 2|0.8 16794
2331 精英|電腦及週|-44 -47 -46|81 82 -1 -18|0.9 21
2332 友訊|通信網路|21 6 -7|97 97 20 1|1.7 34
2337 旺宏|半導體業|-41 -40 -24|81 92 1 5|0.5 190
2338 光罩|半導體業|-16 4 -21|81 85 13 10|0.3 321
2340 台亞|半導體業|-49 -42 -15|70 94 0 -6|1.4 80
2342 茂矽|半導體業|-21 -14 -22|92 96 14 1|0.8 52
2344 華邦電|半導體業|-44 -31 -22|67 97 7 3|1.6 727
2345 智邦|通信網路|19 26 -3|97 97 10 -2|1.0 905
2347 聯強|電子通路|-16 -16 -20|85 97 10 12|0.6 199
2351 順德|半導體業|-20 -12 -15|78 99 24 6|0.9 333
2352 佳世達|電腦及週|-23 -16 -20|96 100 4 3|1.1 120
2353 宏碁|電腦及週|-46 -34 -17|91 98 3 14|0.8 221
2354 鴻準|其他電子|2 22 29|89 98 12 9|0.8 194
2355 敬鵬|電子零組|-13 -12 -7|79 90 -7 -2|1.3 21
2356 英業達|電腦及週|-6 -12 -17|99 99 9 12|0.5 166
2357 華碩|電腦及週|-37 -25 -21|84 98 8 9|0.5 436
2358 廷鑫|其他|-49 -22 -10|59 90 -1 2|0.3 38
2359 所羅門|其他電子|-42 -2 -33|81 95 7 -6|0.5 46
2360 致茂|其他電子|-8 7 -21|91 91 -2 3|1.8 200
2362 藍天|電腦及週|-15 -27 -9|87 87 -2 -3|1.2 8
2363 矽統|半導體業|-43 -4 17|86 89 10 -10|1.7 36
2364 倫飛|電腦及週|25 35 21|73 73 -9 -16|0.4 90
2367 燿華|電子零組|-17 -15 -47|79 79 1 -12|0.9 72
2368 金像電|電子零組|-17 1 -20|90 90 -6 2|1.9 927
2369 菱生|半導體業|-37 -35 -11|65 94 8 -5|1.8 31
2371 大同|電機機械|30 49 29|91 95 5 -4|0.7 164
2374 佳能|光電業|-20 -10 -62|74 86 -3 -14|1.1 8
2375 凱美|電子零組|-48 -34 -9|61 89 18 -1|1.9 59
2376 技嘉|電腦及週|-42 -12 4|90 98 10 39|0.8 821
2377 微星|電腦及週|-35 -27 -13|93 97 9 20|0.9 370
2379 瑞昱|半導體業|-46 -32 -34|82 99 17 18|1.3 1348
2380 虹光|電腦及週|-51 -22 -24|73 76 -19 -17|0.7 8
2382 廣達|電腦及週|-11 -9 -22|92 99 14 1|0.8 404
2383 台光電|電子零組|-38 -22 -18|70 96 10 16|0.8 361
2385 群光|電子零組|-29 -16 -22|100 100 13 12|0.8 131
2387 精元|電腦及週|-40 -20 -21|94 94 -2 5|0.7 12
2388 威盛|半導體業|-27 10 -19|98 98 28 20|2.5 789
2390 云辰|其他電子|14 16 12|57 79 -4 -14|1.3 7
2392 正崴|電子零組|10 -2 -15|98 98 12 6|0.6 58
2393 億光|光電業|-24 -23 -1|79 98 4 -2|1.4 39
2395 研華|電腦及週|5 6 -10|93 97 15 9|0.8 244
2399 映泰|電腦及週|-21 -39 -19|71 97 15 5|2.5 20
2401 凌陽|半導體業|-52 -47 -28|75 97 8 -3|1.7 62
2402 毅嘉|電子零組|2 19 1|96 96 4 21|0.6 38
2404 漢唐|其他電子|113 139 42|100 100 30 41|1.1 256
2405 輔信|電腦及週|8 -9 -6|78 78 -0 -20|0.9 18
2406 國碩|光電業|-44 -39 -20|73 87 8 -14|0.4 21
2408 南亞科|半導體業|-67 -65 -26|75 96 0 9|0.7 393
2409 友達|光電業|-43 -43 -7|83 95 14 9|1.6 1006
2412 中華電|通信網路|2 0 -3|90 94 6 -5|0.8 1012
2413 環科|電子零組|-10 24 3|91 91 -2 32|0.7 66
2415 錩新|電子零組|-36 -36 -38|68 86 9 -5|1.0 6
2417 圓剛|電腦及週|-42 -22 -5|71 96 8 1|0.4 7
2419 仲琦|通信網路|39 53 16|89 92 8 -9|0.7 48
2420 新巨|電子零組|-15 -10 -9|100 100 9 4|1.6 5
2421 建準|電子零組|-30 -15 -17|90 90 -3 2|0.5 29
2425 承啟|電腦及週|-35 -27 -21|96 96 29 31|1.7 94
2426 鼎元|光電業|-26 -32 -8|67 95 2 -4|2.0 5
2428 興勤|電子零組|-21 -9 -7|94 94 22 4|0.7 71
2430 燦坤|電子通路|-14 -10 -7|87 100 17 2|2.5 10
2436 偉詮電|半導體業|-53 -38 -15|56 91 13 -9|1.4 103
2439 美律|通信網路|13 -11 -14|92 92 -2 6|1.0 40
2441 超豐|半導體業|-50 -43 -21|76 88 10 -12|0.4 52
2444 兆勁|通信網路|-17 13 8|81 81 32 23|0.7 36
2449 京元電子|半導體業|-17 -12 -20|97 100 18 11|1.2 186
2451 創見|半導體業|-35 -30 -12|100 100 7 6|1.2 20
2453 凌群|資訊服務|0 0 -1|100 100 85 68|1.4 162
2454 聯發科|半導體業|-49 -28 -35|70 96 0 8|0.9 4573
2455 全新|通信網路|-61 -48 -15|74 95 23 15|0.6 349
2457 飛宏|電子零組|-33 -13 -23|94 96 23 17|3.7 202
2458 義隆|半導體業|-39 -49 -17|69 98 26 9|1.7 210
2462 良得電|電子零組|-49 -29 -23|85 97 28 10|2.1 29
2464 盟立|其他電子|-14 -5 -13|96 96 4 -3|0.9 7
2465 麗臺|電腦及週|-72 -51 -9|65 94 11 23|0.4 76
2468 華經|資訊服務|-22 -2 -9|84 84 -14 27|0.5 79
2471 資通|資訊服務|8 -7 -17|96 96 49 43|3.8 66
2472 立隆電|電子零組|-34 -20 -21|96 97 14 11|3.5 44
2474 可成|其他電子|-58 -38 -6|97 97 1 8|0.8 383
2476 鉅祥|電子零組|-24 -5 -8|83 83 6 -11|2.3 42
2478 大毅|電子零組|-36 -30 -8|85 97 9 8|1.7 8
2480 敦陽科|資訊服務|4 -3 -7|100 100 17 11|2.1 17
2481 強茂|半導體業|-36 -25 -16|65 93 11 -5|0.6 252
2482 連宇|其他電子|173 158 83|94 94 101 81|1.1 187
2483 百容|電子零組|-28 -22 -24|82 82 9 5|1.2 6
2484 希華|電子零組|-19 -14 -13|93 93 9 -5|1.6 160
2485 兆赫|通信網路|-8 16 10|91 91 3 0|1.2 11
2486 一詮|光電業|-30 -25 -10|48 91 25 -8|0.4 46
2489 瑞軒|光電業|-35 -38 -12|71 91 7 -8|1.1 13
2492 華新科|電子零組|-28 -21 -4|67 99 18 7|1.3 348
2493 揚博|電子零組|-7 -1 -17|100 100 22 22|2.0 12
2495 普安|電腦及週|37 24 0|79 79 -5 11|0.4 28
2497 怡利電|汽車工業|-2 17 -24|65 83 4 -3|0.4 141
2498 宏達電|通信網路|-40 -22 -8|95 95 24 7|1.2 2304
2501 國建|建材營造|188 119 24|93 100 15 1|0.7 8
2504 國產|建材營造|-27 -12 -8|91 100 11 9|1.8 44
2511 太子|建材營造|-67 -57 -55|85 95 10 -4|0.7 8
2520 冠德|建材營造|-51 15 7|81 97 5 4|0.6 15
2530 華建|建材營造|-89 -8 -21603|91 91 -7 21|0.7 10
2534 宏盛|建材營造|59 185 110|90 90 -9 -9|1.5 23
2535 達欣工|建材營造|-20 -4 -22|95 99 7 4|1.4 9
2538 基泰|建材營造|17 27 -21|90 91 7 -9|1.0 6
2539 櫻花建|建材營造|na na na|100 100 9 15|0.9 9
2540 愛山林|建材營造|-40 -35 -19|79 79 3 6|0.3 7
2542 興富發|建材營造|-44 46 84|94 94 -4 6|0.4 86
2545 皇翔|建材營造|-66 -68 -81|82 96 8 -3|1.4 11
2546 根基|建材營造|48 66 25|99 99 16 11|1.1 6
2548 華固|建材營造|-28 -74 -1908|99 99 7 -1|1.2 29
2597 潤弘|建材營造|-23 -1 -17|89 95 17 35|0.5 9
2601 益航|航運業|-15 -25 -15|78 99 23 3|4.0 15
2603 長榮|航運業|-54 -42 -69|49 69 6 -30|1.3 3106
2605 新興|航運業|28 10 13|81 100 39 12|3.4 48
2606 裕民|航運業|-15 -22 -20|94 100 46 53|1.7 192
2607 榮運|航運業|-29 -9 -124|68 80 2 -9|0.8 86
2608 嘉里大榮|航運業|-23 -13 -8|82 91 5 -9|0.8 9
2609 陽明|航運業|-64 -54 -63|61 77 5 -23|1.0 1645
2610 華航|航運業|5 -10 -20|66 89 20 -3|1.2 772
2611 志信|航運業|-59 -54 -44|65 86 18 -14|3.5 9
2612 中航|航運業|-6 -1 -24|80 95 24 8|1.8 16
2613 中櫃|航運業|-15 -11 -12|58 80 14 -8|1.7 6
2614 東森|其他|-6 -1 -6|63 93 13 -7|0.3 57
2615 萬海|航運業|-71 -55 -66|51 85 15 -14|1.0 775
2617 台航|航運業|15 19 0|83 100 20 5|2.6 26
2618 長榮航|航運業|42 24 -10|77 81 10 -11|1.3 1233
2633 台灣高鐵|航運業|47 28 -48|100 100 5 2|1.0 81
2634 漢翔|航運業|53 31 -1|98 98 25 8|1.1 503
2636 台驊控股|航運業|-70 -65 -45|54 90 3 -10|0.6 45
2637 慧洋-KY|航運業|-31 -25 -52|66 100 21 9|1.4 183
2640 大車隊|數位雲端|-4 8 -14|98 98 31 31|2.3 12
2641 正德|航運業|-34 -24 -44|73 97 12 -2|2.5 24
2642 宅配通|航運業|-17 -7 -5|58 85 12 -15|0.3 7
2702 華園|觀光餐旅|68 42 -23|93 93 26 -1|4.0 21
2705 六福|觀光餐旅|46 15 -79|94 98 15 13|7.3 5
2707 晶華|觀光餐旅|31 21 -0|100 100 63 87|2.9 432
2723 美食-KY|觀光餐旅|6 3 5|94 94 38 61|1.0 278
2727 王品|觀光餐旅|27 7 -4|100 100 77 129|2.9 1156
2729 瓦城|觀光餐旅|67 26 8|98 98 27 31|2.8 82
2731 雄獅|觀光餐旅|591 314 106|93 93 36 44|1.6 636
2732 六角|觀光餐旅|-1 -4 -7|100 100 37 69|1.8 307
2734 易飛網|觀光餐旅|877 418 168|89 95 40 8|3.9 7
2736 富野|觀光餐旅|36 4 -104|95 99 31 13|4.2 35
2739 寒舍|觀光餐旅|48 47 -39|100 100 100 106|6.2 5
2743 山富|觀光餐旅|1339 876 106|88 88 18 16|1.0 106
2745 五福|觀光餐旅|1642 966 548|73 83 27 7|2.3 7
2748 雲品|觀光餐旅|33 30 -55|93 93 95 120|3.8 553
2752 豆府|觀光餐旅|66 33 -28|99 99 42 53|0.9 14
2753 八方雲集|觀光餐旅|6 9 -5|98 98 22 49|1.6 531
2754 亞洲藏壽司|觀光餐旅|62 30 -184|95 95 44 123|0.4 92
2801 彰銀|金融保險|32 31 10|92 99 2 -1|0.7 86
2809 京城銀|金融保險|115 38 74|88 93 -1 -6|0.4 38
2812 台中銀|金融保險|28 13 1|92 100 8 2|2.0 98
2820 華票|金融保險|-11 -40 -1|92 94 7 -5|0.8 7
2834 臺企銀|金融保險|35 25 5|100 100 13 13|1.2 269
2838 聯邦銀|金融保險|24 10 11|97 97 2 0|0.8 14
2845 遠東銀|金融保險|6 43 32|99 100 10 7|1.3 53
2850 新產|金融保險|3 1 -2|87 87 8 -11|0.7 9
2851 中再保|金融保險|-7 0 -4|64 90 6 -10|0.6 36
2852 第一保|金融保險|5 2 -4|100 100 11 14|1.2 5
2855 統一證|金融保險|2774 907 688|83 99 10 0|0.7 12
2880 華南金|金融保險|13 1 -5|97 97 5 -1|0.9 172
2881 富邦金|金融保險|-74 -121 -62|86 98 8 8|0.8 742
2882 國泰金|金融保險|-42 -71 -24|73 95 5 -5|0.8 950
2883 凱基金|金融保險|-59 -98 -44|72 96 1 -3|1.0 319
2884 玉山金|金融保險|25 7 11|77 88 5 -10|2.6 722
2885 元大金|金融保險|-15 -25 -4|92 99 8 12|0.7 238
2886 兆豐金|金融保險|56 19 20|79 93 9 -6|0.9 480
2887 台新新光金|金融保險|10 2 -6|85 99 13 5|1.0 184
2889 國票金|金融保險|-10 -35 2|81 95 14 -3|0.5 65
2890 永豐金|金融保險|-6 -7 -9|94 94 3 -0|0.6 286
2891 中信金|金融保險|-66 -90 -62|78 95 6 -4|0.6 545
2892 第一金|金融保險|26 8 -2|95 99 6 1|1.4 427
2903 遠百|貿易百貨|10 2 -3|100 100 15 11|2.0 28
2905 三商|貿易百貨|53 -59 -87|81 97 15 -2|1.7 7
2906 高林|貿易百貨|-20 -13 -20|66 91 5 -1|2.7 21
2912 統一超|貿易百貨|12 11 0|93 93 1 -2|1.1 279
2913 農林|貿易百貨|-6 -6 -11|92 92 -1 10|0.9 12
2915 潤泰全|貿易百貨|-27 -10 -12|61 95 5 7|0.4 140
2916 滿心|居家生活|49 18 -48|100 100 34 35|0.8 7
2929 淘帝-KY|貿易百貨|-13 -16 -3|78 78 33 27|0.5 60
3003 健和興|電子零組|-23 -20 -19|81 83 -0 -17|1.1 25
3004 豐達科|鋼鐵工業|46 60 5|100 100 33 40|0.8 22
3005 神基|電腦及週|-3 3 -6|88 100 20 4|1.2 56
3006 晶豪科|半導體業|-54 -55 -20|49 94 5 -4|1.2 399
3008 大立光|光電業|-13 -1 -3|95 95 -3 13|0.6 968
3010 華立|電子通路|-35 -22 -22|85 94 3 -6|1.3 20
3011 今皓|電子零組|-52 -47 -38|84 97 27 10|3.9 19
3013 晟銘電|電腦及週|-1 23 -0|93 93 34 25|1.0 119
3014 聯陽|半導體業|-24 -27 2|85 100 27 26|1.8 80
3016 嘉晶|半導體業|-21 -6 -19|61 83 -3 -17|0.8 47
3017 奇鋐|電腦及週|-35 1 -14|96 96 18 9|1.3 608
