"109年04月07日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"中小型精選50報酬指數","5,816.92","+","86.37","1.51","",
"中小型A級動能50報酬指數","6,978.99","+","145.69","2.13","",
"特選高息低波報酬指數","5,528.28","+","49.08","0.90","",
"臺灣永續報酬指數","5,674.94","+","89.43","1.60","",
"特選內需高收益報酬指數","5,786.10","+","52.88","0.92","",
"價值投資報酬指數","5,916.08","+","186.38","3.25","",
"存股雙十等權重報酬指數","4,832.31","+","73.87","1.55","",
"特選大蘋果報酬指數","5,403.18","+","89.09","1.68","",
"中小型300報酬指數","5,330.16","+","98.89","1.89","",
"特股高息20報酬指數","5,206.73","+","14.36","0.28","",
"臺灣500報酬指數","5,379.29","+","95.23","1.80","",
"特選外資豐擁50報酬指數","5,419.56","+","88.36","1.66","",
"臺灣勞工權益報酬指數","5,055.07","+","71.50","1.43","",
"微波高息精選20報酬指數","4,510.89","+","46.86","1.05","",
"特選世代行動通訊報酬指數","4,278.08","+","69.45","1.65","",
"智慧投資多因子30報酬指數","4,467.98","+","60.43","1.37","",
"特選大蘋果報酬正向兩倍指數","6,620.66","+","214.79","3.35","",
"特選大蘋果報酬反向一倍指數","11,627.47","-","198.26","-1.68","",
"特選價值成長報酬指數","4,106.38","+","85.72","2.13","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

