"109年04月10日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"水泥類報酬指數","262.91","+","2.09","0.80","",
"食品類報酬指數","2,330.83","-","8.93","-0.38","",
"塑膠類報酬指數","334.12","+","3.37","1.02","",
"紡織纖維類報酬指數","620.99","+","6.97","1.14","",
"電機機械類報酬指數","228.51","+","5.39","2.42","",
"電器電纜類報酬指數","56.70","+","1.14","2.05","",
"化學生技醫療類報酬指數","122.08","+","0.97","0.80","",
"化學類報酬指數","134.83","+","1.97","1.48","",
"生技醫療類報酬指數","73.53","+","0.09","0.12","",
"玻璃陶瓷類報酬指數","26.95","+","0.48","1.81","",
"造紙類報酬指數","251.98","-","0.05","-0.02","",
"鋼鐵類報酬指數","127.75","+","1.37","1.08","",
"橡膠類報酬指數","310.43","+","6.87","2.26","",
"汽車類報酬指數","383.99","+","6.08","1.61","",
"電子工業類報酬指數","766.01","-","3.59","-0.47","",
"半導體類報酬指數","308.80","-","3.33","-1.07","",
"電腦及週邊設備類報酬指數","176.62","+","0.68","0.39","",
"光電類報酬指數","42.91","-","0.51","-1.17","",
"通信網路類報酬指數","224.34","+","1.95","0.88","",
"電子零組件類報酬指數","167.87","+","1.58","0.95","",
"電子通路類報酬指數","219.94","+","2.25","1.03","",
"資訊服務類報酬指數","221.42","+","1.28","0.58","",
"其他電子類報酬指數","102.56","-","0.37","-0.36","",
"建材營造類報酬指數","464.22","+","8.78","1.93","",
"航運類報酬指數","72.81","+","0.04","0.05","",
"觀光類報酬指數","94.64","+","0.04","0.04","",
"金融保險類報酬指數","1,799.81","+","45.90","2.62","",
"貿易百貨類報酬指數","347.27","+","0.95","0.27","",
"油電燃氣類報酬指數","155.71","+","1.35","0.87","",
"其他類報酬指數","338.56","+","4.36","1.30","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,746.28","+","7.49","0.20","",
"臺灣中小型公司治理報酬指數","5,799.55","+","43.64","0.76","",
"臺灣IPO報酬指數","5,061.18","+","8.49","0.17","",
"智慧中立報酬指數","5,015.43","-","14.73","-0.29","",
"加權指數掩護性臺指買權價外5%報酬指數","4,294.47","+","7.62","0.18","",
"臺灣5G報酬指數","4,530.03","-","5.47","-0.12","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,588.26","+","18.01","0.27","",
"漲升股利100報酬指數","6,613.34","+","9.21","0.14","",
"藍籌30報酬指數","6,087.12","+","19.41","0.32","",
"工業菁英30報酬指數","6,335.47","-","35.82","-0.56","",
"電子菁英30報酬指數","6,528.38","-","29.59","-0.45","",
"低波動股利精選30報酬指數","6,223.65","+","100.76","1.65","",
"低貝塔100報酬指數","6,180.86","+","82.95","1.36","",
"中小型精選50報酬指數","5,997.23","+","58.30","0.98","",
"中小型A級動能50報酬指數","7,102.78","+","36.27","0.51","",
"特選高息低波報酬指數","5,667.19","+","52.07","0.93","",
"臺灣永續報酬指數","5,768.29","+","22.51","0.39","",
"特選內需高收益報酬指數","5,899.80","+","37.89","0.65","",
"價值投資報酬指數","6,174.22","+","60.56","0.99","",
"存股雙十等權重報酬指數","4,946.21","+","33.13","0.67","",
"特選大蘋果報酬指數","5,455.40","-","15.04","-0.27","",
"中小型300報酬指數","5,493.57","+","44.03","0.81","",
"特股高息20報酬指數","5,265.34","+","40.27","0.77","",
"臺灣500報酬指數","5,465.22","+","19.41","0.36","",
"特選外資豐擁50報酬指數","5,496.66","+","16.96","0.31","",
"臺灣勞工權益報酬指數","5,146.19","+","30.22","0.59","",
"微波高息精選20報酬指數","4,617.03","+","50.71","1.11","",
"特選世代行動通訊報酬指數","4,375.07","+","53.02","1.23","",
"智慧投資多因子30報酬指數","4,555.36","-","2.93","-0.06","",
"特選大蘋果報酬正向兩倍指數","6,745.76","-","37.30","-0.55","",
"特選大蘋果報酬反向一倍指數","11,510.03","+","31.56","0.27","",
"特選價值成長報酬指數","4,257.55","+","24.90","0.59","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

